GSS_CODE,population_density,NAME
E05000634,0.028900901,Church Street
E05000635,0.027723232,Harrow Road
E05000638,0.024001587,Lancaster Gate
E05000642,0.023910806,Queen's Park
E05000485,0.023827725,Green Street East
E05000388,0.02283878,Earl's Court
E05000631,0.022486486,Bayswater
E05000589,0.021797386,Whitechapel
E05000141,0.021722951,King's Cross
E05000240,0.021715137,Hoxton
E05000232,0.021631579,Cazenove
E05000645,0.020961712,Tachbrook
E05000385,0.020846547,Colville
E05000421,0.02078898,Ferndale
E05000486,0.020757764,Green Street West
E05000648,0.020710682,Westbourne
E05000094,0.020425656,Kilburn
E05000250,0.020280289,Addison
E05000633,0.020180624,Churchill
E05000588,0.020035944,Weavers
E05000578,0.020005587,Bromley-by-Bow
E05000639,0.020004717,Little Venice
E05000537,0.019951397,Chaucer
E05000476,0.019717249,Boleyn
E05000094,0.019659958,Kilburn
E05000136,0.019393443,Haverstock
E05000632,0.019316736,Bryanston and Dorset Square
E05000251,0.019225296,Askew
E05000380,0.019223457,St. Peter's
E05000236,0.019092238,De Beauvoir
E05000584,0.019052063,St. Dunstan's and Stepney Green
E05000573,0.019038882,Bethnal Green North
E05000587,0.018965517,Spitalfields and Banglatown
E05000131,0.018890501,Cantelowes
E05000234,0.018840456,Clissold
E05000134,0.018782923,Gospel Oak
E05000237,0.018767949,Hackney Central
E05000247,0.018744382,Stoke Newington Central
E05000425,0.018726157,Larkhall
E05000128,0.018619231,Belsize
E05000544,0.018567308,Newington
E05000231,0.018541023,Brownswood
E05000429,0.01850748,Stockwell
E05000371,0.018439956,Finsbury Park
E05000647,0.01837108,Warwick
E05000640,0.018360681,Maida Vale
E05000235,0.018338727,Dalston
E05000254,0.01822039,Fulham Broadway
E05000581,0.018176667,Mile End and Globe Town
E05000546,0.018011468,Peckham
E05000596,0.017920935,Grove Green
E05000646,0.017896501,Vincent Square
E05000248,0.017833333,Victoria
E05000386,0.017746888,Courtfield
E05000377,0.017714286,Mildmay
E05000257,0.017598716,Munster
E05000079,0.017495298,North End
E05000535,0.017438974,Camberwell Green
E05000373,0.017433457,Highbury West
E05000382,0.017408585,Abingdon
E05000381,0.017327037,Tollington
E05000580,0.01730648,Limehouse
E05000489,0.01730581,Plaistow North
E05000367,0.017298439,Bunhill
E05000574,0.017287174,Bethnal Green South
E05000233,0.017242024,Chatham
E05000244,0.01717294,New River
E05000582,0.017113084,Mile End East
E05000375,0.016956392,Holloway
E05000366,0.016920482,Barnsbury
E05000210,0.016901538,Town
E05000586,0.016853583,Shadwell
E05000636,0.016748697,Hyde Park
E05000369,0.016727385,Canonbury
E05000268,0.016698174,Bruce Grove
E05000480,0.016680462,East Ham Central
E05000590,0.01665814,Cann Hall
E05000579,0.016340686,East India and Lansbury
E05000374,0.016312727,Hillrise
E05000541,0.01627138,Faraday
E05000378,0.016230496,St. George's
E05000608,0.016221221,William Morris
E05000481,0.016178097,East Ham North
E05000395,0.016120661,Queen's Gate
E05000461,0.016112103,Graveney
E05000484,0.016049497,Forest Gate South
E05000435,0.016008746,Tulse Hill
E05000145,0.015927847,West Hampstead
E05000390,0.015856884,Hans Town
E05000200,0.015678008,Grange
E05000081,0.015673188,St. Mary's
E05000550,0.015558068,South Bermondsey
E05000394,0.015469262,Pembridge
