Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AvoidBrain,1.880,13.830,9.615,4109,-1.052
AvoidBrain,1.884,24.971,8.451,4160,-1.094
AvoidBrain,1.868,36.062,8.426,4144,-0.912
AvoidBrain,1.777,47.019,8.364,4199,-0.754
AvoidBrain,1.752,57.757,8.190,4123,-0.612
AvoidBrain,1.784,69.287,8.924,4134,-0.551
AvoidBrain,1.906,80.632,8.630,4182,-0.541
AvoidBrain,1.911,92.387,8.948,4098,-0.561
AvoidBrain,1.938,103.812,8.674,4181,-0.528
AvoidBrain,1.778,115.777,9.240,4214,-0.447
AvoidBrain,1.770,126.876,8.509,4156,-0.402
AvoidBrain,1.866,140.150,8.948,4164,-0.371
AvoidBrain,1.750,151.384,8.615,4214,-0.313
AvoidBrain,1.896,162.781,8.661,4219,-0.297
AvoidBrain,1.916,174.569,8.996,4214,-0.181
AvoidBrain,1.844,185.480,8.258,4187,-0.097
AvoidBrain,1.793,196.884,8.743,4177,-0.026
AvoidBrain,1.846,208.231,8.686,4131,0.038
AvoidBrain,1.789,219.008,8.187,4114,0.103
AvoidBrain,1.733,230.159,8.611,4153,0.166
AvoidBrain,1.695,241.748,8.989,4217,0.225
AvoidBrain,1.751,253.266,8.904,4192,0.267
AvoidBrain,1.705,264.426,8.644,4107,0.299
AvoidBrain,1.908,275.566,8.429,4106,0.322
AvoidBrain,1.793,286.872,8.661,4124,0.353
AvoidBrain,1.758,298.115,8.625,4116,0.366
AvoidBrain,1.736,310.029,9.324,4143,0.374
AvoidBrain,1.706,321.467,8.908,4219,0.376
AvoidBrain,1.752,333.150,9.134,4222,0.378
AvoidBrain,1.715,345.195,9.455,4197,0.382
AvoidBrain,2.004,357.046,9.047,4125,0.384
AvoidBrain,1.907,369.131,9.311,4101,0.388
AvoidBrain,1.714,380.883,9.242,4187,0.396
AvoidBrain,1.776,392.656,9.170,4147,0.399
AvoidBrain,1.696,403.995,8.866,4173,0.406
AvoidBrain,1.772,415.787,9.161,4138,0.414
AvoidBrain,1.834,427.405,9.008,4111,0.417
AvoidBrain,1.873,439.391,9.273,4108,0.418
AvoidBrain,1.708,451.744,9.720,4140,0.422
AvoidBrain,2.016,464.239,9.619,4156,0.427
AvoidBrain,1.726,476.332,9.542,4108,0.433
AvoidBrain,1.696,487.828,8.995,4110,0.430
AvoidBrain,1.738,500.009,9.588,4207,0.422
AvoidBrain,1.752,511.689,9.110,4224,0.425
