Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.986,47.435,37.751,5131,-0.997
GoalBrain_4_2,3.263,92.596,37.606,5129,-0.988
GoalBrain_4_2,4.153,136.277,35.363,5121,-0.982
GoalBrain_4_2,3.558,180.844,36.691,5122,-0.976
GoalBrain_4_2,3.476,224.746,36.131,5126,-0.965
GoalBrain_4_2,3.642,268.757,36.046,5126,-0.962
GoalBrain_4_2,3.464,313.461,36.842,5132,-0.955
GoalBrain_4_2,3.466,356.578,35.439,5132,-0.953
GoalBrain_4_2,3.446,398.782,34.848,5134,-0.941
GoalBrain_4_2,3.260,440.305,34.236,5122,-0.933
GoalBrain_4_2,3.260,481.644,34.225,5131,-0.928
GoalBrain_4_2,4.616,529.965,39.249,5123,-0.918
GoalBrain_4_2,3.254,582.402,44.032,5131,-0.904
GoalBrain_4_2,3.624,624.932,34.942,5134,-0.896
GoalBrain_4_2,3.360,668.397,35.943,5124,-0.887
GoalBrain_4_2,3.459,710.147,34.428,5124,-0.878
GoalBrain_4_2,3.198,751.558,34.322,5132,-0.871
GoalBrain_4_2,3.201,792.940,34.301,5133,-0.866
GoalBrain_4_2,3.266,834.338,34.069,5129,-0.858
GoalBrain_4_2,3.265,875.068,33.708,5134,-0.854
GoalBrain_4_2,3.211,915.669,33.633,5126,-0.845
GoalBrain_4_2,3.300,956.496,33.709,5124,-0.839
GoalBrain_4_2,3.249,997.356,33.793,5123,-0.835
GoalBrain_4_2,3.227,1037.944,33.581,5125,-0.827
GoalBrain_4_2,3.172,1078.028,33.194,5122,-0.825
GoalBrain_4_2,3.202,1118.649,33.609,5169,-0.821
GoalBrain_4_2,3.440,1159.793,33.842,5126,-0.817
GoalBrain_4_2,3.398,1202.815,35.386,5157,-0.813
GoalBrain_4_2,3.309,1243.967,33.975,5132,-0.809
GoalBrain_4_2,3.811,1293.141,40.736,5121,-0.803
GoalBrain_4_2,3.426,1335.118,34.453,5122,-0.802
GoalBrain_4_2,3.203,1375.929,33.760,5121,-0.798
GoalBrain_4_2,3.163,1417.517,34.457,5130,-0.795
GoalBrain_4_2,3.509,1457.664,32.914,5145,-0.792
GoalBrain_4_2,3.451,1498.404,33.538,5123,-0.788
GoalBrain_4_2,3.365,1538.360,32.895,5129,-0.785
