Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.523,53.696,44.501,5141,-0.954
GoalBrain_4_2,3.301,103.064,41.820,5131,-0.965
GoalBrain_4_2,3.220,150.572,40.267,5134,-0.935
GoalBrain_4_2,3.316,197.719,39.953,5143,-0.908
GoalBrain_4_2,3.508,253.223,47.741,5240,-0.838
GoalBrain_4_2,3.307,307.196,46.544,5179,-0.775
GoalBrain_4_2,3.613,359.837,45.084,5130,-0.685
GoalBrain_4_2,3.318,412.957,45.791,5193,-0.589
GoalBrain_4_2,3.282,467.366,47.009,5204,-0.511
GoalBrain_4_2,3.309,521.886,46.782,5124,-0.428
GoalBrain_4_2,3.282,573.824,44.698,5122,-0.368
GoalBrain_4_2,3.362,625.628,44.473,5160,-0.295
GoalBrain_4_2,3.222,681.001,47.855,5187,-0.199
GoalBrain_4_2,3.213,734.404,46.063,5224,-0.128
GoalBrain_4_2,3.240,788.295,46.479,5181,-0.055
GoalBrain_4_2,3.242,842.525,46.937,5154,0.015
GoalBrain_4_2,3.324,896.253,46.293,5166,0.085
GoalBrain_4_2,3.127,950.108,46.570,5141,0.133
GoalBrain_4_2,3.362,1003.247,45.476,5121,0.182
GoalBrain_4_2,3.218,1057.791,47.189,5124,0.234
GoalBrain_4_2,3.636,1111.160,45.738,5121,0.271
GoalBrain_4_2,3.921,1166.667,47.436,5173,0.308
GoalBrain_4_2,3.261,1220.868,46.852,5169,0.340
GoalBrain_4_2,3.997,1275.894,46.903,5150,0.376
GoalBrain_4_2,3.281,1330.388,46.997,5125,0.406
GoalBrain_4_2,3.524,1383.614,45.600,5145,0.430
GoalBrain_4_2,3.273,1437.523,46.472,5139,0.454
GoalBrain_4_2,3.435,1492.894,47.751,5149,0.476
GoalBrain_4_2,3.246,1547.538,47.035,5150,0.496
GoalBrain_4_2,3.669,1602.770,47.385,5142,0.515
GoalBrain_4_2,3.383,1658.669,48.169,5130,0.532
GoalBrain_4_2,3.259,1712.172,46.116,5136,0.548
GoalBrain_4_2,3.275,1765.600,46.008,5135,0.562
GoalBrain_4_2,3.248,1819.106,46.069,5136,0.576
GoalBrain_4_2,3.501,1873.419,46.594,5149,0.586
GoalBrain_4_2,3.170,1927.810,47.015,5138,0.597
GoalBrain_4_2,3.217,1982.075,46.819,5243,0.608
