Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,1.911,28.063,21.388,4134,-1.022
GoalBrain_4,1.983,53.756,20.437,4125,-1.011
GoalBrain_4,1.908,79.332,20.268,4133,-1.015
GoalBrain_4,1.714,104.066,19.704,4182,-1.013
GoalBrain_4,1.737,128.574,19.496,4138,-1.019
GoalBrain_4,1.706,152.657,19.293,4111,-1.020
GoalBrain_4,1.744,177.475,19.834,4193,-1.022
GoalBrain_4,1.693,200.857,19.053,4103,-1.022
GoalBrain_4,1.699,224.310,19.162,4128,-1.022
GoalBrain_4,1.726,247.691,19.144,4128,-1.022
GoalBrain_4,1.830,271.613,19.579,4128,-1.022
GoalBrain_4,1.718,294.961,19.118,4128,-1.022
GoalBrain_4,1.690,318.810,19.396,4128,-1.022
GoalBrain_4,1.697,342.303,19.272,4128,-1.022
GoalBrain_4,1.692,365.715,19.269,4128,-1.022
GoalBrain_4,1.717,389.134,19.248,4128,-1.022
GoalBrain_4,1.745,412.478,19.203,4128,-1.022
GoalBrain_4,1.714,435.860,19.237,4128,-1.022
GoalBrain_4,1.731,459.247,19.240,4128,-1.022
GoalBrain_4,1.724,482.540,19.048,4128,-1.022
GoalBrain_4,1.691,506.029,19.296,4128,-1.022
GoalBrain_4,1.756,529.536,19.320,4128,-1.022
GoalBrain_4,1.701,552.909,19.203,4128,-1.022
GoalBrain_4,1.724,576.466,19.316,4128,-1.022
GoalBrain_4,1.696,600.354,19.363,4128,-1.022
GoalBrain_4,1.710,624.366,19.635,4173,-1.129
GoalBrain_4,1.542,648.822,20.312,4128,-1.129
GoalBrain_4,1.522,672.059,19.250,4176,-1.133
GoalBrain_4,1.624,694.492,18.561,4128,-1.133
GoalBrain_4,1.456,717.618,19.256,4128,-1.133
GoalBrain_4,1.583,739.906,18.200,4119,-1.154
GoalBrain_4,1.717,762.802,18.439,4183,-1.149
GoalBrain_4,1.459,786.309,19.119,4160,-1.141
GoalBrain_4,1.484,809.453,18.558,4167,-1.132
GoalBrain_4,1.592,831.914,18.352,4167,-1.137
GoalBrain_4,1.464,854.430,18.553,4220,-1.141
GoalBrain_4,1.507,877.639,18.667,4224,-1.139
GoalBrain_4,2.444,903.881,21.036,4170,-1.143
GoalBrain_4,1.766,928.764,20.143,4203,-1.152
GoalBrain_4,1.784,953.476,19.924,4184,-1.155
GoalBrain_4,1.726,977.625,19.728,4195,-1.159
GoalBrain_4,1.808,1001.812,19.594,4144,-1.160
GoalBrain_4,1.765,1025.559,19.448,4108,-1.167
GoalBrain_4,1.748,1049.187,19.436,4128,-1.167
GoalBrain_4,1.745,1072.891,19.558,4128,-1.167
GoalBrain_4,1.833,1097.089,19.582,4139,-1.166
GoalBrain_4,1.853,1121.685,19.842,4191,-1.165
GoalBrain_4,1.751,1145.793,19.687,4150,-1.164
GoalBrain_4,1.960,1169.942,19.498,4128,-1.164
GoalBrain_4,1.730,1193.967,19.468,4116,-1.169
GoalBrain_4,1.733,1218.119,19.544,4203,-1.169
GoalBrain_4,1.769,1241.869,19.310,4122,-1.168
GoalBrain_4,1.764,1266.005,19.483,4168,-1.173
GoalBrain_4,1.751,1289.763,19.280,4135,-1.170
GoalBrain_4,1.860,1314.407,19.585,4152,-1.165
GoalBrain_4,1.764,1340.208,20.982,4170,-1.164
GoalBrain_4,1.767,1364.659,19.777,4194,-1.163
GoalBrain_4,1.810,1389.272,19.936,4128,-1.163
GoalBrain_4,1.918,1413.890,20.130,4128,-1.163
GoalBrain_4,1.844,1438.004,19.755,4128,-1.163
GoalBrain_4,1.697,1461.958,19.484,4128,-1.163
GoalBrain_4,1.707,1485.429,19.287,4128,-1.163
GoalBrain_4,1.721,1509.163,19.479,4144,-1.190
GoalBrain_4,1.992,1533.320,19.278,4136,-1.181
GoalBrain_4,1.732,1557.622,19.969,4106,-1.186
GoalBrain_4,1.730,1581.167,19.369,4128,-1.186
GoalBrain_4,1.682,1604.510,19.144,4128,-1.186
GoalBrain_4,1.675,1627.968,19.387,4128,-1.186
GoalBrain_4,1.694,1651.681,19.589,4128,-1.186
GoalBrain_4,1.948,1675.576,19.509,4128,-1.186
GoalBrain_4,1.685,1700.786,20.448,4126,-1.191
GoalBrain_4,1.715,1725.434,20.303,4173,-1.188
GoalBrain_4,1.958,1750.355,20.020,4128,-1.188
