Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,6.283,46.988,33.668,10258,-1.039
GoalBrain_4,6.038,92.347,33.964,10282,-1.004
GoalBrain_4,5.995,135.394,32.107,10253,-0.956
GoalBrain_4,6.242,178.905,32.342,10261,-0.886
GoalBrain_4,5.703,223.029,33.329,10274,-0.798
GoalBrain_4,5.730,266.404,32.607,10276,-0.629
GoalBrain_4,6.667,310.224,32.301,10243,-0.507
GoalBrain_4,4.248,349.493,30.415,10254,-0.335
GoalBrain_4,4.183,381.897,24.850,10353,-0.225
GoalBrain_4,4.645,417.493,26.676,10364,-0.105
GoalBrain_4,3.874,450.543,25.634,10312,-0.047
GoalBrain_4,4.322,483.243,24.875,10266,-0.006
GoalBrain_4,4.290,515.125,24.118,10253,0.025
GoalBrain_4,4.365,548.939,25.797,10242,0.043
GoalBrain_4,4.212,581.311,24.614,10328,0.060
GoalBrain_4,4.158,615.484,26.144,10278,0.068
GoalBrain_4,4.119,648.498,25.094,10247,0.087
GoalBrain_4,4.273,681.458,24.957,10269,0.100
GoalBrain_4,4.299,714.189,24.864,10340,0.108
GoalBrain_4,4.172,746.660,24.636,10357,0.113
GoalBrain_4,4.259,778.261,24.018,10245,0.127
GoalBrain_4,4.293,810.280,24.323,10244,0.149
GoalBrain_4,4.489,844.389,25.743,10286,0.173
GoalBrain_4,4.162,876.423,24.510,10327,0.180
GoalBrain_4,4.825,909.799,25.240,10297,0.175
GoalBrain_4,4.191,942.242,24.742,10366,0.194
GoalBrain_4,4.588,977.379,26.515,10286,0.197
GoalBrain_4,4.123,1008.937,24.233,10245,0.198
GoalBrain_4,4.165,1042.156,25.069,10252,0.209
GoalBrain_4,5.099,1076.651,25.680,10313,0.212
GoalBrain_4,4.278,1110.647,26.248,10247,0.211
GoalBrain_4,4.200,1142.805,24.554,10329,0.232
GoalBrain_4,4.429,1175.266,24.705,10282,0.242
GoalBrain_4,4.199,1211.150,27.567,10309,0.247
GoalBrain_4,4.187,1242.800,23.965,10277,0.259
GoalBrain_4,4.095,1273.879,23.558,10251,0.275
GoalBrain_4,4.128,1304.958,23.532,10247,0.286
GoalBrain_4,4.088,1336.276,23.680,10242,0.299
GoalBrain_4,4.049,1368.118,23.965,10317,0.310
GoalBrain_4,4.016,1399.238,23.734,10289,0.315
GoalBrain_4,4.111,1430.597,23.851,10392,0.323
GoalBrain_4,4.007,1461.990,23.933,10302,0.334
GoalBrain_4,4.203,1493.789,24.069,10260,0.347
GoalBrain_4,4.087,1526.400,24.771,10316,0.356
GoalBrain_4,4.166,1558.284,24.168,10354,0.367
GoalBrain_4,4.080,1589.496,23.654,10329,0.374
GoalBrain_4,4.024,1620.565,23.545,10336,0.378
GoalBrain_4,4.032,1651.835,23.742,10308,0.384
GoalBrain_4,4.076,1683.470,23.828,10314,0.393
GoalBrain_4,4.072,1714.270,23.275,10284,0.396
GoalBrain_4,4.038,1745.312,23.670,10298,0.392
GoalBrain_4,4.024,1776.291,23.550,10341,0.394
GoalBrain_4,4.068,1806.895,23.166,10260,0.393
GoalBrain_4,4.007,1837.397,23.237,10243,0.393
GoalBrain_4,4.023,1868.428,23.597,10263,0.394
GoalBrain_4,4.035,1899.412,23.494,10265,0.394
GoalBrain_4,4.026,1930.380,23.436,10264,0.403
GoalBrain_4,3.995,1961.470,23.457,10259,0.407
GoalBrain_4,4.106,1992.795,23.670,10275,0.409
GoalBrain_4,4.085,2023.742,23.390,10286,0.410
GoalBrain_4,4.041,2054.649,23.436,10359,0.413
GoalBrain_4,4.102,2085.885,23.776,10358,0.416
GoalBrain_4,4.050,2116.844,23.490,10294,0.419
GoalBrain_4,3.970,2147.806,23.502,10334,0.420
GoalBrain_4,4.058,2178.510,23.442,10306,0.414
GoalBrain_4,4.076,2209.482,23.592,10264,0.413
GoalBrain_4,4.129,2241.141,23.986,10369,0.420
GoalBrain_4,4.081,2272.582,23.722,10267,0.424
GoalBrain_4,4.153,2303.500,23.443,10260,0.420
GoalBrain_4,4.226,2334.876,23.724,10255,0.427
GoalBrain_4,3.949,2365.838,23.651,10270,0.429
GoalBrain_4,4.136,2396.889,23.668,10336,0.428
GoalBrain_4,4.102,2427.920,23.575,10269,0.427
GoalBrain_4,4.145,2459.195,23.595,10285,0.432
GoalBrain_4,4.070,2489.998,23.471,10258,0.430
GoalBrain_4,4.087,2521.048,23.727,10333,0.431
GoalBrain_4,3.994,2552.123,23.810,10322,0.431
GoalBrain_4,4.071,2583.175,23.712,10352,0.429
GoalBrain_4,4.084,2614.249,23.765,10340,0.427
GoalBrain_4,4.086,2645.123,23.331,10272,0.428
GoalBrain_4,4.064,2676.241,23.569,10271,0.426
GoalBrain_4,4.039,2707.208,23.553,10272,0.425
GoalBrain_4,4.137,2738.021,23.525,10248,0.425
GoalBrain_4,4.056,2769.035,23.650,10324,0.425
GoalBrain_4,4.117,2800.225,23.721,10349,0.426
GoalBrain_4,4.201,2830.776,23.286,10255,0.426
GoalBrain_4,4.113,2861.521,23.653,10354,0.418
GoalBrain_4,4.134,2892.558,23.677,10329,0.414
GoalBrain_4,4.167,2923.765,23.653,10314,0.415
GoalBrain_4,4.048,2954.579,23.428,10294,0.414
GoalBrain_4,4.386,2987.559,24.920,10252,0.417
GoalBrain_4,4.314,3021.038,25.315,10294,0.417
GoalBrain_4,4.333,3054.899,25.618,10365,0.420
GoalBrain_4,4.717,3089.696,26.204,10285,0.424
GoalBrain_4,4.051,3122.906,25.430,10311,0.427
GoalBrain_4,4.259,3154.597,24.084,10260,0.426
