Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,4.799,96.415,81.489,10242,-1.005
GoalBrain_4,4.466,184.760,75.917,10246,-1.013
GoalBrain_4,4.524,271.083,74.048,10284,-1.008
GoalBrain_4,4.569,355.874,72.699,10270,-0.981
GoalBrain_4,4.580,441.114,72.862,10300,-0.922
GoalBrain_4,4.543,525.717,72.442,10287,-0.879
GoalBrain_4,4.718,610.714,72.660,10281,-0.806
GoalBrain_4,4.834,700.844,76.635,10297,-0.720
GoalBrain_4,4.620,792.498,78.116,10244,-0.639
GoalBrain_4,4.797,882.247,76.253,10267,-0.566
GoalBrain_4,5.109,970.701,75.084,10271,-0.501
GoalBrain_4,4.694,1062.323,78.111,10363,-0.451
GoalBrain_4,4.616,1149.542,74.648,10299,-0.395
GoalBrain_4,4.708,1238.475,76.053,10322,-0.347
GoalBrain_4,4.912,1329.587,77.013,10285,-0.315
GoalBrain_4,4.597,1418.010,75.671,10247,-0.281
GoalBrain_4,4.557,1508.919,78.036,10289,-0.246
GoalBrain_4,4.816,1600.319,77.857,10245,-0.217
GoalBrain_4,4.975,1691.092,77.492,10354,-0.189
GoalBrain_4,4.929,1784.461,79.247,10351,-0.165
GoalBrain_4,5.039,1873.959,76.200,10266,-0.141
GoalBrain_4,4.535,1961.734,75.242,10281,-0.118
GoalBrain_4,4.517,2047.593,73.575,10342,-0.100
GoalBrain_4,4.675,2137.428,76.798,10312,-0.085
GoalBrain_4,4.996,2226.916,76.514,10299,-0.072
GoalBrain_4,4.597,2314.137,74.733,10346,-0.053
GoalBrain_4,4.553,2402.291,75.321,10346,-0.031
GoalBrain_4,4.533,2487.303,73.163,10289,-0.020
GoalBrain_4,4.518,2573.324,73.322,10290,-0.003
GoalBrain_4,4.561,2658.945,73.416,10293,0.015
GoalBrain_4,4.593,2744.041,73.043,10293,0.028
GoalBrain_4,4.494,2828.839,73.274,10327,0.038
GoalBrain_4,4.556,2913.009,72.619,10282,0.043
GoalBrain_4,4.545,2997.220,72.298,10269,0.045
GoalBrain_4,4.533,3082.174,72.986,10342,0.052
GoalBrain_4,4.538,3166.697,73.019,10294,0.059
GoalBrain_4,4.486,3251.658,73.530,10364,0.065
GoalBrain_4,4.545,3336.457,72.873,10241,0.075
GoalBrain_4,4.576,3421.363,72.790,10241,0.087
GoalBrain_4,4.558,3508.388,74.550,10301,0.094
GoalBrain_4,4.592,3593.682,73.129,10301,0.107
GoalBrain_4,4.701,3683.627,76.798,10311,0.115
GoalBrain_4,4.592,3772.641,75.835,10245,0.123
GoalBrain_4,4.669,3861.969,75.820,10245,0.134
GoalBrain_4,4.534,3949.945,75.138,10242,0.147
GoalBrain_4,4.536,4035.423,73.223,10275,0.157
GoalBrain_4,4.826,4123.139,74.822,10266,0.159
GoalBrain_4,4.565,4214.409,78.406,10356,0.163
