Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,0.888,50.918,41.087,10248,-1.013
GoalBrain_4,0.870,98.983,39.397,10275,-1.020
GoalBrain_4,0.807,146.121,38.667,10256,-1.018
GoalBrain_4,0.869,194.516,39.687,10247,-1.024
GoalBrain_4,0.987,242.948,39.463,10252,-1.026
GoalBrain_4,0.948,292.742,40.666,10246,-1.012
GoalBrain_4,0.879,341.997,40.214,10245,-1.008
GoalBrain_4,0.853,389.227,38.763,10260,-0.999
GoalBrain_4,0.850,436.797,39.048,10250,-0.989
GoalBrain_4,0.864,483.239,37.893,10241,-0.980
GoalBrain_4,0.755,528.066,36.821,10298,-0.968
GoalBrain_4,0.747,572.628,36.597,10245,-0.957
GoalBrain_4,0.744,617.140,36.513,10299,-0.938
GoalBrain_4,0.745,661.559,36.445,10257,-0.921
GoalBrain_4,0.724,706.166,36.659,10263,-0.906
GoalBrain_4,0.757,750.626,36.608,10272,-0.887
GoalBrain_4,0.727,795.620,37.012,10305,-0.858
GoalBrain_4,0.745,840.135,36.672,10278,-0.834
GoalBrain_4,0.748,884.628,36.529,10261,-0.817
