Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,0.932,51.786,41.588,10258,-1.066
GoalBrain_4,0.830,104.134,42.678,10269,-1.066
GoalBrain_4,0.849,152.298,39.390,10246,-1.063
GoalBrain_4,0.863,199.324,38.428,10265,-1.072
GoalBrain_4,0.851,246.420,38.390,10271,-1.069
GoalBrain_4,0.785,292.612,37.762,10266,-1.065
GoalBrain_4,0.796,338.385,37.425,10251,-1.062
GoalBrain_4,0.820,384.277,37.539,10286,-1.054
GoalBrain_4,0.798,429.944,37.326,10284,-1.052
GoalBrain_4,0.768,475.538,37.155,10251,-1.043
GoalBrain_4,0.849,520.803,36.981,10253,-1.026
GoalBrain_4,0.813,566.412,37.270,10305,-1.010
GoalBrain_4,0.799,611.319,36.821,10292,-0.993
GoalBrain_4,0.780,656.537,37.068,10299,-0.975
GoalBrain_4,0.761,702.399,37.549,10292,-0.955
GoalBrain_4,0.784,747.857,37.165,10257,-0.933
GoalBrain_4,0.750,792.607,36.829,10246,-0.916
GoalBrain_4,0.789,837.725,37.040,10291,-0.905
GoalBrain_4,0.788,882.816,37.014,10257,-0.883
