Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,0.972,28.414,22.375,5145,-0.993
GoalBrain_4_2,0.949,55.132,21.999,5139,-1.025
GoalBrain_4_2,0.939,82.102,22.217,5171,-1.033
GoalBrain_4_2,0.859,107.992,21.407,5142,-1.029
GoalBrain_4_2,0.978,133.885,21.249,5160,-1.013
GoalBrain_4_2,0.890,159.621,21.228,5134,-1.007
GoalBrain_4_2,0.820,186.870,22.913,5182,-1.004
GoalBrain_4_2,0.901,212.682,21.371,5175,-0.994
GoalBrain_4_2,0.877,238.494,21.284,5168,-0.973
GoalBrain_4_2,0.852,263.908,20.763,5174,-0.949
GoalBrain_4_2,0.857,289.371,21.025,5140,-0.924
GoalBrain_4_2,0.856,314.929,21.167,5152,-0.876
GoalBrain_4_2,0.823,340.705,21.213,5147,-0.793
GoalBrain_4_2,0.863,366.314,21.049,5144,-0.685
GoalBrain_4_2,1.132,395.949,24.207,5164,-0.714
GoalBrain_4_2,0.921,425.683,24.488,5130,-0.763
GoalBrain_4_2,0.815,452.816,22.407,5160,-0.776
GoalBrain_4_2,0.797,479.110,21.859,5173,-0.768
GoalBrain_4_2,0.823,505.059,21.493,5179,-0.744
GoalBrain_4_2,0.844,531.120,21.454,5125,-0.711
GoalBrain_4_2,0.871,559.274,23.212,5152,-0.685
GoalBrain_4_2,0.855,585.063,21.413,5149,-0.660
GoalBrain_4_2,0.856,610.636,21.134,5128,-0.639
GoalBrain_4_2,0.819,636.262,21.156,5159,-0.602
GoalBrain_4_2,0.849,661.798,21.059,5137,-0.567
GoalBrain_4_2,0.880,687.227,21.037,5164,-0.549
GoalBrain_4_2,0.869,713.764,21.958,5178,-0.530
GoalBrain_4_2,0.830,739.477,21.255,5137,-0.498
GoalBrain_4_2,0.839,765.889,21.621,5126,-0.470
GoalBrain_4_2,0.793,792.115,21.702,5165,-0.444
GoalBrain_4_2,0.871,817.736,21.164,5134,-0.421
GoalBrain_4_2,0.828,843.067,20.877,5124,-0.400
GoalBrain_4_2,0.850,869.507,21.768,5131,-0.379
GoalBrain_4_2,0.860,897.137,22.665,5133,-0.356
GoalBrain_4_2,1.000,923.913,21.963,5126,-0.344
GoalBrain_4_2,0.873,950.396,21.789,5151,-0.327
GoalBrain_4_2,0.860,976.768,21.722,5161,-0.310
GoalBrain_4_2,0.842,1002.935,21.592,5144,-0.290
GoalBrain_4_2,0.840,1029.369,21.702,5170,-0.272
GoalBrain_4_2,0.902,1055.667,21.665,5149,-0.255
GoalBrain_4_2,0.845,1081.687,21.519,5150,-0.234
GoalBrain_4_2,0.873,1107.907,21.550,5121,-0.217
GoalBrain_4_2,0.770,1133.485,21.228,5166,-0.201
