Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,31.414,90.565,50.813,5129,-1.002
GoalBrain_4_2,28.538,172.219,48.158,5127,-1.010
GoalBrain_4_2,29.525,255.404,48.690,5169,-1.011
GoalBrain_4_2,29.122,336.224,46.924,5137,-1.012
GoalBrain_4_2,29.334,416.124,45.993,5155,-1.015
GoalBrain_4_2,31.310,497.220,45.361,5135,-1.017
GoalBrain_4_2,28.575,575.963,45.682,5157,-1.013
GoalBrain_4_2,29.537,654.319,44.531,5145,-1.008
GoalBrain_4_2,31.159,735.165,45.007,5133,-0.988
GoalBrain_4_2,31.118,816.804,45.437,5137,-0.976
GoalBrain_4_2,28.384,894.065,44.332,5125,-0.953
GoalBrain_4_2,27.577,970.731,44.774,5178,-0.936
GoalBrain_4_2,28.312,1047.942,44.564,5169,-0.915
GoalBrain_4_2,28.396,1124.675,44.025,5163,-0.875
GoalBrain_4_2,27.952,1200.761,43.789,5151,-0.845
GoalBrain_4_2,27.811,1278.060,45.071,5184,-0.807
GoalBrain_4_2,27.843,1353.102,42.817,5133,-0.776
GoalBrain_4_2,31.032,1434.451,45.736,5166,-0.732
GoalBrain_4_2,29.011,1511.547,43.242,5149,-0.699
GoalBrain_4_2,27.928,1589.727,45.758,5168,-0.669
GoalBrain_4_2,28.776,1667.859,44.927,5183,-0.632
GoalBrain_4_2,27.869,1744.372,44.256,5174,-0.613
GoalBrain_4_2,28.273,1821.819,44.796,5183,-0.598
GoalBrain_4_2,28.068,1898.084,43.799,5169,-0.579
GoalBrain_4_2,27.680,1974.918,44.803,5171,-0.557
GoalBrain_4_2,28.185,2051.542,44.145,5152,-0.537
GoalBrain_4_2,33.475,2136.934,47.240,5133,-0.514
GoalBrain_4_2,28.321,2216.131,46.167,5172,-0.499
GoalBrain_4_2,30.855,2297.091,45.113,5151,-0.477
GoalBrain_4_2,27.293,2374.015,45.229,5175,-0.454
GoalBrain_4_2,29.891,2454.136,45.546,5184,-0.439
GoalBrain_4_2,28.087,2533.569,46.620,5163,-0.425
GoalBrain_4_2,29.232,2611.993,44.782,5130,-0.407
GoalBrain_4_2,27.730,2689.007,44.853,5144,-0.393
GoalBrain_4_2,27.770,2764.714,43.524,5179,-0.370
GoalBrain_4_2,28.812,2845.334,47.050,5181,-0.352
GoalBrain_4_2,28.229,2922.648,44.733,5152,-0.337
GoalBrain_4_2,28.743,2999.543,43.739,5181,-0.328
GoalBrain_4_2,28.504,3078.172,45.194,5123,-0.310
GoalBrain_4_2,28.147,3156.416,45.580,5137,-0.294
GoalBrain_4_2,28.400,3233.353,44.039,5176,-0.283
GoalBrain_4_2,29.536,3313.381,45.962,5177,-0.275
GoalBrain_4_2,28.453,3390.790,44.568,5137,-0.259
GoalBrain_4_2,28.629,3468.609,44.803,5172,-0.245
GoalBrain_4_2,28.856,3547.153,45.263,5171,-0.232
GoalBrain_4_2,29.455,3626.573,45.495,5128,-0.218
GoalBrain_4_2,28.912,3706.410,46.296,5166,-0.205
GoalBrain_4_2,29.221,3786.204,45.639,5164,-0.195
GoalBrain_4_2,28.770,3863.678,44.233,5156,-0.192
GoalBrain_4_2,28.936,3941.587,44.831,5129,-0.187
GoalBrain_4_2,28.438,4018.870,44.490,5143,-0.170
GoalBrain_4_2,28.668,4095.131,43.251,5175,-0.163
GoalBrain_4_2,28.658,4171.963,43.881,5134,-0.159
GoalBrain_4_2,28.127,4248.523,44.125,5121,-0.149
GoalBrain_4_2,28.788,4326.900,45.114,5169,-0.142
GoalBrain_4_2,27.790,4405.082,45.944,5172,-0.136
GoalBrain_4_2,28.734,4483.271,45.253,5149,-0.133
GoalBrain_4_2,27.881,4563.189,46.907,5124,-0.125
GoalBrain_4_2,28.224,4641.278,45.428,5123,-0.116
GoalBrain_4_2,29.435,4720.106,45.087,5178,-0.114
GoalBrain_4_2,29.419,4799.759,45.666,5148,-0.105
GoalBrain_4_2,28.075,4876.938,44.872,5139,-0.104
GoalBrain_4_2,28.345,4954.664,45.031,5180,-0.097
GoalBrain_4_2,28.973,5033.024,45.068,5154,-0.090
GoalBrain_4_2,28.553,5110.994,45.317,5178,-0.089
GoalBrain_4_2,28.195,5187.691,44.457,5133,-0.087
GoalBrain_4_2,29.108,5266.260,44.654,5181,-0.082
GoalBrain_4_2,28.486,5344.140,45.066,5141,-0.075
GoalBrain_4_2,28.671,5423.592,46.136,5181,-0.067
GoalBrain_4_2,27.726,5499.881,44.339,5128,-0.062
GoalBrain_4_2,28.046,5578.147,45.983,5135,-0.059
GoalBrain_4_2,27.789,5656.651,46.401,5126,-0.055
GoalBrain_4_2,29.178,5735.049,44.900,5170,-0.048
GoalBrain_4_2,27.455,5811.372,44.368,5132,-0.040
GoalBrain_4_2,27.498,5886.957,43.871,5122,-0.034
GoalBrain_4_2,28.471,5964.551,44.744,5137,-0.030
GoalBrain_4_2,28.370,6042.704,44.989,5161,-0.028
GoalBrain_4_2,28.185,6119.891,44.653,5173,-0.023
GoalBrain_4_2,28.175,6197.553,45.175,5140,-0.020
GoalBrain_4_2,28.738,6277.535,46.664,5126,-0.016
GoalBrain_4_2,28.516,6355.485,45.211,5141,-0.009
GoalBrain_4_2,30.051,6434.856,45.113,5159,-0.005
GoalBrain_4_2,31.305,6517.461,46.885,5185,-0.001
GoalBrain_4_2,27.563,6594.717,45.429,5131,0.002
GoalBrain_4_2,28.345,6671.872,44.670,5144,0.006
GoalBrain_4_2,32.501,6756.435,47.428,5169,0.012
GoalBrain_4_2,29.637,6836.902,46.261,5172,0.013
GoalBrain_4_2,30.451,6916.553,44.907,5160,0.018
GoalBrain_4_2,28.051,6995.117,45.972,5154,0.020
GoalBrain_4_2,31.162,7076.318,45.628,5149,0.025
GoalBrain_4_2,32.002,7159.143,46.262,5128,0.029
GoalBrain_4_2,33.067,7246.577,49.423,5126,0.035
GoalBrain_4_2,30.015,7327.314,46.232,5179,0.039
GoalBrain_4_2,31.776,7411.135,47.370,5129,0.044
GoalBrain_4_2,33.968,7499.829,49.497,5154,0.046
