Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.162,36.079,28.318,5162,-1.008
GoalBrain_4_2,2.841,68.651,26.647,5148,-1.044
GoalBrain_4_2,2.911,100.797,26.182,5157,-0.970
GoalBrain_4_2,2.871,132.000,25.320,5144,-0.884
GoalBrain_4_2,3.406,167.149,28.285,5238,-0.756
GoalBrain_4_2,3.295,203.699,29.601,5236,-0.610
GoalBrain_4_2,3.380,239.133,28.658,5124,-0.435
GoalBrain_4_2,3.360,274.665,28.724,5169,-0.259
GoalBrain_4_2,3.420,310.651,29.050,5178,-0.110
GoalBrain_4_2,3.239,346.589,28.906,5121,0.036
GoalBrain_4_2,3.296,382.334,28.975,5153,0.151
GoalBrain_4_2,3.203,418.002,28.979,5134,0.237
GoalBrain_4_2,3.301,453.726,28.926,5149,0.316
GoalBrain_4_2,3.308,489.550,29.044,5125,0.380
GoalBrain_4_2,3.304,525.494,29.114,5156,0.435
GoalBrain_4_2,3.335,561.461,29.113,5165,0.480
GoalBrain_4_2,3.202,597.573,29.386,5172,0.514
GoalBrain_4_2,3.432,635.923,30.955,5133,0.545
GoalBrain_4_2,3.205,672.115,29.402,5145,0.569
GoalBrain_4_2,3.291,708.365,29.222,5140,0.590
GoalBrain_4_2,3.147,744.058,29.088,5172,0.612
GoalBrain_4_2,3.205,779.494,28.828,5135,0.630
GoalBrain_4_2,3.490,816.061,29.501,5129,0.645
GoalBrain_4_2,3.183,852.888,30.015,5166,0.659
GoalBrain_4_2,3.307,890.048,30.240,5170,0.674
GoalBrain_4_2,3.235,926.034,29.244,5144,0.686
GoalBrain_4_2,3.210,961.921,29.200,5140,0.697
GoalBrain_4_2,3.285,998.041,29.316,5183,0.706
GoalBrain_4_2,3.327,1035.340,30.046,5131,0.715
GoalBrain_4_2,3.283,1071.958,29.623,5145,0.723
GoalBrain_4_2,3.186,1107.538,28.874,5174,0.731
GoalBrain_4_2,3.143,1142.884,28.704,5121,0.737
GoalBrain_4_2,3.179,1178.018,28.609,5127,0.743
GoalBrain_4_2,3.146,1213.406,28.802,5140,0.749
GoalBrain_4_2,3.124,1248.602,28.697,5136,0.754
GoalBrain_4_2,3.164,1284.255,28.907,5135,0.759
GoalBrain_4_2,3.170,1319.641,28.777,5149,0.763
GoalBrain_4_2,3.321,1355.418,28.993,5135,0.768
