Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,0.948,11.310,7.736,5157,-1.030
GoalBrain_4_2,1.031,21.148,7.720,5155,-1.018
GoalBrain_4_2,0.991,30.947,7.673,5123,-1.013
GoalBrain_4_2,0.822,40.542,7.682,5159,-1.010
GoalBrain_4_2,0.750,49.119,6.886,5179,-1.016
GoalBrain_4_2,0.759,57.410,6.674,5176,-1.009
GoalBrain_4_2,0.733,65.672,6.628,5122,-1.011
GoalBrain_4_2,0.914,73.978,6.519,5131,-1.010
GoalBrain_4_2,0.703,82.045,6.494,5156,-1.003
GoalBrain_4_2,0.738,90.041,6.402,5136,-0.992
GoalBrain_4_2,0.711,98.701,6.973,5177,-0.989
GoalBrain_4_2,0.930,107.608,6.935,5129,-0.985
GoalBrain_4_2,0.808,116.841,7.335,5152,-0.982
GoalBrain_4_2,0.719,125.516,6.935,5146,-0.981
GoalBrain_4_2,0.890,133.879,6.563,5128,-0.976
GoalBrain_4_2,0.728,142.235,6.720,5142,-0.967
GoalBrain_4_2,0.896,150.808,6.763,5138,-0.957
GoalBrain_4_2,0.693,159.670,7.148,5143,-0.936
GoalBrain_4_2,0.719,168.604,7.174,5146,-0.904
GoalBrain_4_2,0.735,177.294,6.990,5148,-0.892
GoalBrain_4_2,0.776,185.675,6.720,5164,-0.886
GoalBrain_4_2,0.926,194.428,6.863,5167,-0.877
GoalBrain_4_2,0.751,203.060,6.918,5134,-0.866
GoalBrain_4_2,0.841,211.608,6.733,5154,-0.845
GoalBrain_4_2,0.954,220.094,6.617,5140,-0.819
GoalBrain_4_2,0.713,229.267,7.357,5128,-0.801
GoalBrain_4_2,0.722,237.799,6.830,5133,-0.771
GoalBrain_4_2,0.753,245.879,6.475,5147,-0.732
GoalBrain_4_2,0.719,254.991,7.315,5135,-0.712
GoalBrain_4_2,0.699,263.008,6.434,5127,-0.649
GoalBrain_4_2,1.053,272.701,7.536,5146,-0.602
GoalBrain_4_2,0.886,282.303,7.649,5162,-0.571
GoalBrain_4_2,0.765,290.819,6.784,5159,-0.543
