Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.425,44.355,35.111,5151,-1.023
GoalBrain_4_2,3.047,85.758,33.994,5126,-1.025
GoalBrain_4_2,3.210,126.651,33.473,5123,-1.026
GoalBrain_4_2,3.112,165.928,32.075,5123,-1.026
GoalBrain_4_2,3.135,204.548,31.497,5200,-1.021
GoalBrain_4_2,3.135,242.839,31.115,5156,-1.019
GoalBrain_4_2,3.433,281.504,31.215,5138,-1.008
GoalBrain_4_2,3.469,319.411,30.513,5154,-1.002
GoalBrain_4_2,3.110,356.937,30.542,5142,-0.975
GoalBrain_4_2,3.215,394.616,30.283,5129,-0.955
GoalBrain_4_2,3.131,432.039,30.399,5154,-0.927
GoalBrain_4_2,3.340,470.153,30.754,5200,-0.893
GoalBrain_4_2,3.155,507.395,30.192,5139,-0.861
GoalBrain_4_2,3.129,544.763,30.321,5128,-0.818
GoalBrain_4_2,3.285,583.241,31.250,5228,-0.768
GoalBrain_4_2,3.440,622.638,31.794,5131,-0.722
GoalBrain_4_2,3.381,661.541,31.531,5211,-0.690
GoalBrain_4_2,3.126,701.701,32.741,5220,-0.667
GoalBrain_4_2,3.093,739.915,30.961,5145,-0.642
GoalBrain_4_2,3.093,777.866,30.836,5142,-0.613
GoalBrain_4_2,3.067,815.107,30.334,5135,-0.589
GoalBrain_4_2,3.126,853.172,30.888,5125,-0.562
GoalBrain_4_2,3.273,891.501,31.042,5123,-0.537
GoalBrain_4_2,3.394,930.496,31.536,5155,-0.505
GoalBrain_4_2,3.175,968.532,30.826,5142,-0.478
GoalBrain_4_2,3.306,1009.739,33.351,5184,-0.454
GoalBrain_4_2,3.144,1047.965,30.871,5195,-0.434
GoalBrain_4_2,3.210,1085.880,30.685,5150,-0.409
GoalBrain_4_2,3.165,1123.575,30.372,5121,-0.387
GoalBrain_4_2,3.270,1161.562,30.789,5158,-0.374
GoalBrain_4_2,3.279,1199.514,30.674,5186,-0.356
GoalBrain_4_2,3.321,1237.390,30.617,5125,-0.342
GoalBrain_4_2,3.148,1275.750,31.151,5155,-0.324
GoalBrain_4_2,3.150,1313.354,30.439,5133,-0.308
GoalBrain_4_2,3.143,1350.915,30.483,5144,-0.287
GoalBrain_4_2,3.126,1388.883,30.872,5203,-0.269
GoalBrain_4_2,3.175,1426.682,30.636,5133,-0.254
GoalBrain_4_2,3.130,1464.114,30.356,5125,-0.241
GoalBrain_4_2,3.128,1501.992,30.441,5140,-0.227
GoalBrain_4_2,3.191,1539.664,30.559,5139,-0.214
GoalBrain_4_2,3.197,1577.759,30.920,5164,-0.199
GoalBrain_4_2,3.170,1615.299,30.504,5150,-0.188
GoalBrain_4_2,3.168,1652.874,30.436,5133,-0.173
GoalBrain_4_2,3.138,1690.661,30.765,5148,-0.165
GoalBrain_4_2,3.340,1728.448,30.511,5122,-0.157
GoalBrain_4_2,3.105,1766.056,30.515,5127,-0.148
GoalBrain_4_2,3.177,1803.931,30.769,5132,-0.141
GoalBrain_4_2,3.153,1841.738,30.482,5122,-0.134
GoalBrain_4_2,3.186,1879.390,30.573,5131,-0.130
GoalBrain_4_2,3.193,1917.162,30.625,5139,-0.120
GoalBrain_4_2,3.279,1955.313,30.897,5157,-0.113
GoalBrain_4_2,3.184,1994.193,31.613,5125,-0.105
GoalBrain_4_2,3.166,2034.000,32.508,5221,-0.101
GoalBrain_4_2,3.544,2074.667,32.851,5163,-0.096
GoalBrain_4_2,3.151,2112.903,31.107,5196,-0.091
GoalBrain_4_2,3.296,2151.533,31.386,5175,-0.085
GoalBrain_4_2,3.382,2191.467,32.382,5128,-0.078
GoalBrain_4_2,3.328,2229.707,30.656,5141,-0.070
GoalBrain_4_2,3.147,2268.129,31.304,5184,-0.064
GoalBrain_4_2,3.558,2309.101,33.226,5132,-0.057
GoalBrain_4_2,3.171,2348.881,32.421,5177,-0.048
GoalBrain_4_2,3.136,2387.103,31.087,5143,-0.043
GoalBrain_4_2,3.117,2425.178,30.973,5121,-0.038
GoalBrain_4_2,3.161,2463.640,31.315,5190,-0.032
GoalBrain_4_2,3.220,2501.706,30.934,5184,-0.026
GoalBrain_4_2,3.194,2541.468,32.417,5162,-0.019
GoalBrain_4_2,3.089,2579.848,31.042,5141,-0.012
GoalBrain_4_2,3.409,2618.341,31.093,5175,-0.007
GoalBrain_4_2,3.312,2657.782,31.761,5189,-0.001
GoalBrain_4_2,3.073,2695.642,30.903,5150,0.006
GoalBrain_4_2,3.311,2733.980,31.018,5128,0.013
GoalBrain_4_2,3.216,2772.706,31.365,5145,0.019
GoalBrain_4_2,3.205,2813.463,33.196,5239,0.025
GoalBrain_4_2,3.127,2851.906,31.284,5223,0.031
GoalBrain_4_2,3.946,2890.780,30.915,5157,0.035
GoalBrain_4_2,3.449,2932.242,33.553,5187,0.040
GoalBrain_4_2,3.252,2973.041,32.889,5168,0.046
GoalBrain_4_2,3.252,3011.480,31.193,5148,0.052
GoalBrain_4_2,3.243,3051.275,32.404,5245,0.056
GoalBrain_4_2,4.242,3092.118,32.472,5145,0.062
GoalBrain_4_2,3.379,3134.844,34.800,5140,0.066
GoalBrain_4_2,3.544,3175.097,32.356,5180,0.072
GoalBrain_4_2,3.965,3218.188,34.582,5179,0.076
GoalBrain_4_2,3.382,3257.884,32.025,5140,0.082
GoalBrain_4_2,3.296,3297.357,31.855,5174,0.088
GoalBrain_4_2,3.140,3336.789,31.868,5128,0.092
GoalBrain_4_2,3.191,3375.282,31.232,5181,0.097
GoalBrain_4_2,3.201,3414.109,31.533,5232,0.103
GoalBrain_4_2,3.281,3454.047,32.458,5140,0.108
GoalBrain_4_2,3.283,3494.431,32.964,5183,0.111
GoalBrain_4_2,3.542,3538.048,35.335,5135,0.116
GoalBrain_4_2,3.417,3579.592,33.646,5153,0.118
