Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.638,38.774,29.771,5132,-1.018
GoalBrain_4_2,3.265,77.787,31.195,5149,-1.025
GoalBrain_4_2,3.055,114.667,29.573,5203,-0.994
GoalBrain_4_2,2.978,149.672,28.009,5129,-0.946
GoalBrain_4_2,3.085,185.124,28.381,5179,-0.892
GoalBrain_4_2,2.977,219.808,27.836,5140,-0.842
GoalBrain_4_2,3.605,257.927,30.288,5128,-0.785
GoalBrain_4_2,3.369,297.726,31.821,5172,-0.716
GoalBrain_4_2,3.676,335.757,29.827,5133,-0.630
GoalBrain_4_2,3.168,372.489,29.060,5145,-0.527
GoalBrain_4_2,3.023,407.910,28.283,5138,-0.426
GoalBrain_4_2,3.073,443.869,28.915,5157,-0.423
GoalBrain_4_2,3.230,480.175,29.112,5203,-0.437
GoalBrain_4_2,2.970,515.381,28.332,5125,-0.423
GoalBrain_4_2,3.066,550.669,28.332,5153,-0.404
GoalBrain_4_2,3.318,586.896,28.821,5127,-0.372
GoalBrain_4_2,3.358,623.543,29.039,5222,-0.342
GoalBrain_4_2,3.027,659.016,28.543,5189,-0.306
GoalBrain_4_2,2.979,694.146,28.272,5157,-0.269
GoalBrain_4_2,3.049,729.288,28.112,5127,-0.247
GoalBrain_4_2,3.341,765.700,29.096,5187,-0.219
GoalBrain_4_2,3.022,802.046,29.213,5221,-0.187
GoalBrain_4_2,3.029,837.806,28.752,5162,-0.152
GoalBrain_4_2,3.263,874.250,29.118,5152,-0.129
GoalBrain_4_2,3.086,909.763,28.450,5158,-0.098
GoalBrain_4_2,3.208,945.276,28.530,5156,-0.076
GoalBrain_4_2,3.075,980.896,28.673,5155,-0.047
GoalBrain_4_2,3.298,1017.433,29.074,5122,-0.028
GoalBrain_4_2,3.284,1054.117,28.989,5147,-0.014
GoalBrain_4_2,3.073,1090.244,29.061,5201,0.005
GoalBrain_4_2,3.040,1125.374,28.151,5126,0.020
GoalBrain_4_2,3.485,1161.431,28.586,5129,0.028
GoalBrain_4_2,3.064,1197.205,28.707,5156,0.043
GoalBrain_4_2,3.206,1233.373,28.899,5202,0.061
GoalBrain_4_2,3.358,1269.664,28.883,5127,0.074
GoalBrain_4_2,3.589,1306.947,29.346,5160,0.087
GoalBrain_4_2,3.208,1344.275,29.783,5180,0.098
GoalBrain_4_2,3.345,1381.229,29.359,5143,0.111
GoalBrain_4_2,3.196,1418.774,29.719,5169,0.124
GoalBrain_4_2,3.065,1455.242,29.277,5130,0.121
GoalBrain_4_2,3.031,1490.631,28.521,5124,0.122
GoalBrain_4_2,2.941,1526.199,28.713,5140,0.126
GoalBrain_4_2,3.007,1562.242,29.130,5160,0.126
GoalBrain_4_2,3.078,1597.898,28.667,5132,0.129
GoalBrain_4_2,3.011,1633.765,28.941,5235,0.129
GoalBrain_4_2,3.011,1668.861,28.273,5133,0.132
GoalBrain_4_2,2.959,1703.896,28.136,5123,0.137
GoalBrain_4_2,3.007,1739.450,28.395,5130,0.144
GoalBrain_4_2,2.941,1775.566,29.209,5179,0.140
GoalBrain_4_2,3.067,1811.577,28.999,5133,0.141
GoalBrain_4_2,3.031,1846.948,28.372,5121,0.144
GoalBrain_4_2,3.144,1883.308,29.035,5168,0.146
GoalBrain_4_2,3.166,1919.352,28.730,5123,0.147
GoalBrain_4_2,3.164,1956.028,29.418,5177,0.149
GoalBrain_4_2,3.273,1991.846,28.623,5165,0.150
GoalBrain_4_2,3.236,2027.905,28.892,5188,0.154
GoalBrain_4_2,3.223,2063.518,28.437,5127,0.159
GoalBrain_4_2,3.051,2099.632,28.771,5189,0.166
GoalBrain_4_2,3.032,2135.006,28.510,5157,0.170
GoalBrain_4_2,3.002,2170.886,28.956,5136,0.173
GoalBrain_4_2,2.964,2206.971,29.143,5238,0.178
GoalBrain_4_2,3.247,2245.169,30.750,5159,0.180
GoalBrain_4_2,3.276,2281.241,28.742,5140,0.182
GoalBrain_4_2,3.523,2319.578,30.488,5165,0.185
GoalBrain_4_2,3.086,2355.034,28.480,5139,0.190
GoalBrain_4_2,3.020,2391.334,29.274,5146,0.197
GoalBrain_4_2,3.096,2429.587,30.412,5196,0.198
GoalBrain_4_2,3.155,2465.283,28.568,5136,0.202
GoalBrain_4_2,3.287,2501.178,28.676,5134,0.208
GoalBrain_4_2,3.343,2537.137,28.637,5190,0.212
