Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,2.850,39.504,31.676,5142,-0.968
GoalBrain_4_2,2.713,75.410,29.650,5151,-0.967
GoalBrain_4_2,2.777,110.788,29.144,5128,-0.970
GoalBrain_4_2,2.800,146.212,29.134,5169,-0.947
GoalBrain_4_2,3.019,183.149,30.268,5172,-0.926
GoalBrain_4_2,3.114,221.744,31.682,5166,-0.890
GoalBrain_4_2,3.231,260.281,31.444,5154,-0.841
GoalBrain_4_2,3.365,299.573,31.952,5164,-0.759
GoalBrain_4_2,3.239,339.256,32.230,5123,-0.690
GoalBrain_4_2,3.295,378.421,31.615,5139,-0.578
GoalBrain_4_2,3.067,416.345,30.971,5121,-0.499
GoalBrain_4_2,3.118,455.476,31.947,5121,-0.433
GoalBrain_4_2,3.188,493.889,31.328,5133,-0.341
GoalBrain_4_2,3.115,532.549,31.685,5138,-0.298
GoalBrain_4_2,3.223,571.528,31.855,5147,-0.268
GoalBrain_4_2,3.058,609.736,31.362,5137,-0.234
GoalBrain_4_2,3.291,648.409,31.487,5168,-0.192
GoalBrain_4_2,3.121,686.791,31.300,5125,-0.159
GoalBrain_4_2,3.013,725.346,31.615,5151,-0.117
GoalBrain_4_2,3.262,764.123,31.377,5140,-0.080
GoalBrain_4_2,3.088,802.532,31.483,5122,-0.050
GoalBrain_4_2,3.264,841.993,32.195,5212,-0.016
GoalBrain_4_2,3.140,880.477,31.519,5154,0.005
GoalBrain_4_2,3.210,919.461,31.876,5148,0.007
GoalBrain_4_2,3.269,958.526,31.864,5143,0.017
GoalBrain_4_2,3.844,998.758,32.387,5206,0.028
GoalBrain_4_2,3.181,1037.631,31.719,5128,0.037
GoalBrain_4_2,3.311,1077.447,32.439,5124,0.049
GoalBrain_4_2,3.449,1116.702,31.619,5147,0.058
GoalBrain_4_2,3.444,1156.140,32.037,5187,0.066
GoalBrain_4_2,3.122,1194.702,31.554,5166,0.079
GoalBrain_4_2,3.200,1234.134,32.253,5249,0.087
GoalBrain_4_2,3.205,1273.250,31.903,5177,0.096
GoalBrain_4_2,3.137,1311.726,31.430,5167,0.105
GoalBrain_4_2,3.366,1351.124,32.142,5201,0.122
GoalBrain_4_2,3.260,1391.896,33.130,5180,0.132
GoalBrain_4_2,3.109,1430.239,31.348,5174,0.143
GoalBrain_4_2,3.031,1471.536,33.810,5128,0.152
GoalBrain_4_2,3.013,1510.058,31.361,5174,0.162
GoalBrain_4_2,3.008,1548.010,31.183,5180,0.172
GoalBrain_4_2,2.987,1585.805,30.963,5132,0.183
GoalBrain_4_2,3.038,1623.652,30.979,5162,0.193
GoalBrain_4_2,3.016,1662.675,32.159,5221,0.197
GoalBrain_4_2,3.030,1701.052,31.529,5135,0.191
GoalBrain_4_2,3.033,1739.783,31.834,5166,0.193
GoalBrain_4_2,3.071,1779.125,32.365,5170,0.187
GoalBrain_4_2,3.092,1817.417,31.394,5162,0.190
GoalBrain_4_2,3.075,1856.943,32.231,5209,0.193
GoalBrain_4_2,3.079,1895.259,31.395,5155,0.196
GoalBrain_4_2,3.136,1933.719,31.508,5142,0.198
GoalBrain_4_2,3.130,1972.672,31.957,5223,0.202
