Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,5.254,66.180,54.666,5147,-1.026
GoalBrain_4_2,5.303,131.930,55.852,5143,-1.005
GoalBrain_4_2,5.535,197.736,55.692,5128,-1.011
GoalBrain_4_2,5.296,262.716,55.039,5135,-0.978
GoalBrain_4_2,5.110,326.887,54.529,5132,-0.957
GoalBrain_4_2,5.675,391.433,54.347,5128,-0.918
GoalBrain_4_2,5.542,455.811,54.388,5182,-0.892
GoalBrain_4_2,5.302,520.340,54.622,5184,-0.829
GoalBrain_4_2,6.012,585.313,54.544,5158,-0.758
GoalBrain_4_2,5.753,651.130,55.069,5222,-0.666
GoalBrain_4_2,5.084,715.408,54.699,5174,-0.581
GoalBrain_4_2,5.563,780.310,54.664,5176,-0.500
GoalBrain_4_2,4.946,844.638,54.905,5168,-0.431
GoalBrain_4_2,5.164,908.570,54.300,5173,-0.390
GoalBrain_4_2,5.390,973.279,54.828,5217,-0.335
GoalBrain_4_2,5.450,1037.188,54.253,5189,-0.313
GoalBrain_4_2,5.085,1100.352,54.263,5204,-0.298
GoalBrain_4_2,5.310,1164.795,54.659,5144,-0.237
GoalBrain_4_2,5.314,1229.106,54.554,5180,-0.200
GoalBrain_4_2,5.269,1294.633,55.435,5164,-0.157
GoalBrain_4_2,5.338,1358.739,54.387,5149,-0.129
GoalBrain_4_2,5.432,1423.709,54.964,5128,-0.083
GoalBrain_4_2,5.898,1489.061,54.792,5137,-0.049
GoalBrain_4_2,5.083,1553.570,54.820,5144,-0.020
GoalBrain_4_2,5.297,1618.732,55.232,5180,0.009
GoalBrain_4_2,5.288,1683.581,55.159,5149,0.035
GoalBrain_4_2,5.625,1749.490,55.638,5214,0.062
GoalBrain_4_2,5.102,1814.479,55.339,5151,0.075
GoalBrain_4_2,5.496,1880.928,55.958,5209,0.079
GoalBrain_4_2,5.270,1946.236,55.415,5163,0.080
GoalBrain_4_2,5.243,2011.581,55.554,5209,0.089
GoalBrain_4_2,5.408,2076.653,55.086,5166,0.101
GoalBrain_4_2,5.306,2141.759,55.170,5161,0.106
GoalBrain_4_2,5.592,2207.634,55.712,5152,0.115
GoalBrain_4_2,5.449,2275.225,57.291,5199,0.120
GoalBrain_4_2,5.112,2339.888,54.863,5144,0.136
GoalBrain_4_2,5.241,2405.015,55.257,5191,0.144
GoalBrain_4_2,5.461,2469.498,54.496,5142,0.151
GoalBrain_4_2,4.980,2533.549,54.293,5126,0.159
GoalBrain_4_2,5.964,2603.409,59.120,5121,0.166
GoalBrain_4_2,5.375,2674.641,60.967,5178,0.177
GoalBrain_4_2,5.316,2740.967,56.478,5151,0.183
GoalBrain_4_2,6.215,2807.844,56.145,5133,0.190
GoalBrain_4_2,5.827,2879.074,60.518,5160,0.197
GoalBrain_4_2,5.505,2950.328,60.907,5151,0.207
GoalBrain_4_2,5.886,3020.433,59.464,5125,0.217
GoalBrain_4_2,3.710,3087.265,58.296,5223,0.227
GoalBrain_4_2,3.647,3140.402,45.140,5163,0.228
GoalBrain_4_2,3.655,3192.720,44.711,5122,0.229
GoalBrain_4_2,3.637,3244.928,44.613,5135,0.229
GoalBrain_4_2,3.645,3297.149,44.498,5126,0.229
GoalBrain_4_2,3.659,3349.843,44.918,5137,0.229
GoalBrain_4_2,3.685,3402.775,45.180,5186,0.232
GoalBrain_4_2,3.646,3455.332,44.840,5165,0.230
GoalBrain_4_2,3.709,3508.777,45.592,5225,0.230
GoalBrain_4_2,3.646,3561.575,45.131,5169,0.233
GoalBrain_4_2,3.701,3614.092,44.794,5148,0.236
GoalBrain_4_2,3.659,3666.718,44.662,5148,0.236
GoalBrain_4_2,3.658,3718.603,44.234,5121,0.232
GoalBrain_4_2,3.744,3770.353,44.126,5130,0.235
GoalBrain_4_2,3.678,3823.520,45.345,5216,0.238
GoalBrain_4_2,3.665,3876.151,44.932,5205,0.240
GoalBrain_4_2,3.683,3928.905,44.969,5190,0.242
GoalBrain_4_2,3.657,3980.882,44.259,5125,0.246
GoalBrain_4_2,3.663,4033.289,44.772,5173,0.247
GoalBrain_4_2,3.655,4085.789,44.854,5125,0.245
GoalBrain_4_2,3.684,4139.059,45.193,5193,0.245
GoalBrain_4_2,3.658,4190.961,44.226,5129,0.250
GoalBrain_4_2,3.667,4243.035,44.420,5121,0.253
GoalBrain_4_2,3.732,4296.409,45.570,5225,0.255
GoalBrain_4_2,3.674,4348.436,44.372,5127,0.260
GoalBrain_4_2,3.664,4401.066,44.989,5189,0.261
GoalBrain_4_2,3.681,4453.524,44.756,5131,0.260
GoalBrain_4_2,3.656,4506.029,44.814,5154,0.262
GoalBrain_4_2,3.647,4557.898,44.259,5124,0.263
GoalBrain_4_2,3.642,4610.269,44.785,5151,0.265
GoalBrain_4_2,3.670,4663.144,44.923,5200,0.269
GoalBrain_4_2,3.799,4715.889,44.879,5162,0.271
GoalBrain_4_2,3.658,4768.530,44.949,5177,0.274
GoalBrain_4_2,3.659,4820.836,44.582,5150,0.276
GoalBrain_4_2,3.649,4873.097,44.554,5128,0.277
GoalBrain_4_2,3.674,4925.817,45.003,5183,0.280
GoalBrain_4_2,3.721,4978.205,44.703,5121,0.281
GoalBrain_4_2,3.669,5030.816,44.904,5177,0.281
GoalBrain_4_2,3.707,5082.868,44.385,5121,0.284
GoalBrain_4_2,3.664,5135.811,44.963,5169,0.285
GoalBrain_4_2,3.680,5188.514,45.080,5178,0.290
GoalBrain_4_2,3.680,5241.602,45.242,5124,0.292
GoalBrain_4_2,3.694,5294.026,44.730,5131,0.294
GoalBrain_4_2,4.015,5351.474,48.825,5189,0.294
GoalBrain_4_2,3.762,5406.319,46.824,5126,0.295
GoalBrain_4_2,3.734,5459.497,45.295,5143,0.293
GoalBrain_4_2,3.725,5512.563,45.230,5124,0.293
GoalBrain_4_2,3.823,5566.007,45.374,5134,0.293
GoalBrain_4_2,3.911,5619.861,45.697,5144,0.292
