Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,6.914,73.286,59.729,5124,-0.997
GoalBrain_4_2,6.148,143.803,59.502,5161,-1.002
GoalBrain_4_2,6.370,213.456,58.435,5127,-1.007
GoalBrain_4_2,6.272,280.810,56.360,5147,-1.008
GoalBrain_4_2,6.014,346.239,54.887,5156,-1.010
GoalBrain_4_2,6.333,413.481,56.220,5215,-1.003
GoalBrain_4_2,6.202,479.207,54.950,5147,-0.986
GoalBrain_4_2,7.057,547.308,56.349,5133,-0.974
GoalBrain_4_2,6.308,616.721,58.376,5134,-0.955
GoalBrain_4_2,6.365,682.773,54.727,5175,-0.926
GoalBrain_4_2,6.298,752.048,58.274,5159,-0.904
GoalBrain_4_2,6.366,817.708,54.756,5135,-0.890
GoalBrain_4_2,6.278,884.135,55.318,5125,-0.860
GoalBrain_4_2,6.224,949.979,55.091,5151,-0.831
GoalBrain_4_2,6.225,1016.215,55.371,5129,-0.803
GoalBrain_4_2,6.683,1083.312,55.808,5181,-0.769
GoalBrain_4_2,6.458,1152.443,57.791,5166,-0.740
GoalBrain_4_2,6.421,1221.183,57.566,5248,-0.699
GoalBrain_4_2,6.360,1287.862,55.295,5136,-0.673
GoalBrain_4_2,6.317,1355.702,56.772,5177,-0.638
GoalBrain_4_2,6.218,1420.859,54.711,5137,-0.607
GoalBrain_4_2,6.498,1489.439,57.609,5200,-0.585
GoalBrain_4_2,6.202,1556.774,56.577,5186,-0.557
GoalBrain_4_2,6.996,1623.644,56.039,5180,-0.560
GoalBrain_4_2,6.550,1692.176,57.877,5238,-0.552
GoalBrain_4_2,6.644,1759.643,56.399,5225,-0.534
GoalBrain_4_2,6.617,1828.675,57.853,5122,-0.518
GoalBrain_4_2,6.544,1895.015,55.201,5133,-0.480
GoalBrain_4_2,6.697,1964.056,57.228,5122,-0.457
GoalBrain_4_2,6.189,2030.297,55.590,5135,-0.434
GoalBrain_4_2,6.308,2095.607,54.508,5140,-0.412
GoalBrain_4_2,6.463,2162.024,55.349,5160,-0.391
GoalBrain_4_2,6.273,2229.539,56.613,5130,-0.374
GoalBrain_4_2,6.370,2297.394,56.811,5159,-0.353
GoalBrain_4_2,6.600,2364.340,55.692,5136,-0.333
GoalBrain_4_2,6.646,2432.590,56.922,5130,-0.313
GoalBrain_4_2,7.002,2503.931,59.409,5138,-0.294
GoalBrain_4_2,8.189,2575.468,58.391,5133,-0.273
GoalBrain_4_2,6.511,2647.475,60.163,5173,-0.251
GoalBrain_4_2,6.744,2720.729,61.445,5130,-0.230
GoalBrain_4_2,6.336,2790.889,58.993,5153,-0.216
GoalBrain_4_2,6.231,2857.026,55.347,5122,-0.203
GoalBrain_4_2,6.371,2923.889,55.939,5144,-0.191
GoalBrain_4_2,6.471,2990.761,55.807,5150,-0.177
GoalBrain_4_2,6.487,3057.625,55.779,5147,-0.166
GoalBrain_4_2,6.292,3124.517,56.025,5157,-0.151
GoalBrain_4_2,6.030,3191.541,56.515,5125,-0.135
GoalBrain_4_2,5.480,3254.578,53.093,5150,-0.124
GoalBrain_4_2,5.505,3316.737,52.541,5131,-0.113
GoalBrain_4_2,5.515,3379.635,53.200,5180,-0.101
GoalBrain_4_2,5.488,3442.107,52.958,5149,-0.089
GoalBrain_4_2,5.577,3505.428,53.578,5230,-0.076
GoalBrain_4_2,5.581,3569.639,54.419,5178,-0.064
GoalBrain_4_2,6.952,3637.569,56.487,5145,-0.054
GoalBrain_4_2,6.602,3712.067,62.929,5236,-0.043
GoalBrain_4_2,6.338,3782.607,59.622,5130,-0.037
GoalBrain_4_2,6.497,3853.956,60.182,5193,-0.032
GoalBrain_4_2,6.700,3930.005,63.959,5147,-0.031
GoalBrain_4_2,6.357,4004.185,62.900,5134,-0.027
GoalBrain_4_2,6.474,4074.720,59.392,5122,-0.024
GoalBrain_4_2,6.478,4144.648,58.906,5123,-0.021
GoalBrain_4_2,6.839,4215.938,59.683,5146,-0.016
GoalBrain_4_2,6.496,4289.410,62.056,5228,-0.011
GoalBrain_4_2,6.283,4359.804,59.420,5129,-0.009
GoalBrain_4_2,6.316,4431.107,60.229,5140,-0.005
GoalBrain_4_2,6.444,4504.254,61.774,5144,-0.001
GoalBrain_4_2,6.538,4577.352,61.417,5151,-0.001
GoalBrain_4_2,6.360,4646.871,58.575,5132,0.003
GoalBrain_4_2,6.515,4718.955,60.884,5122,0.008
GoalBrain_4_2,6.282,4789.581,59.723,5143,0.013
GoalBrain_4_2,6.419,4858.834,58.291,5148,0.017
GoalBrain_4_2,6.633,4930.156,59.923,5162,0.020
GoalBrain_4_2,6.768,5002.260,60.605,5146,0.025
GoalBrain_4_2,7.096,5080.364,65.896,5146,0.027
GoalBrain_4_2,6.649,5153.291,61.470,5193,0.031
GoalBrain_4_2,7.489,5230.307,64.575,5152,0.037
GoalBrain_4_2,6.539,5307.567,65.303,5205,0.040
GoalBrain_4_2,6.808,5382.695,63.339,5180,0.046
GoalBrain_4_2,6.309,5453.906,60.188,5122,0.047
GoalBrain_4_2,6.307,5523.877,59.017,5133,0.048
GoalBrain_4_2,6.257,5594.206,59.432,5169,0.053
GoalBrain_4_2,6.756,5665.265,59.648,5186,0.056
GoalBrain_4_2,6.591,5736.059,59.473,5167,0.059
GoalBrain_4_2,6.448,5807.928,60.631,5168,0.064
GoalBrain_4_2,6.665,5878.095,58.987,5151,0.068
GoalBrain_4_2,6.853,5948.820,58.781,5124,0.073
GoalBrain_4_2,6.565,6019.212,59.158,5123,0.076
GoalBrain_4_2,6.444,6090.011,59.656,5131,0.079
GoalBrain_4_2,6.639,6160.505,59.212,5167,0.082
GoalBrain_4_2,6.427,6230.964,59.320,5175,0.085
GoalBrain_4_2,6.811,6304.253,61.742,5145,0.088
GoalBrain_4_2,6.843,6375.783,59.932,5125,0.093
GoalBrain_4_2,6.487,6445.742,58.828,5147,0.097
GoalBrain_4_2,6.517,6515.956,58.935,5150,0.101
GoalBrain_4_2,6.538,6586.348,59.238,5164,0.105
