Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.655,22.706,16.487,5142,-1.011
GoalBrain_4_2,3.396,51.616,24.258,5125,-1.002
GoalBrain_4_2,3.328,81.608,25.449,5172,-0.982
GoalBrain_4_2,3.042,109.247,23.380,5154,-0.946
GoalBrain_4_2,2.967,136.312,22.875,5168,-0.926
GoalBrain_4_2,3.020,163.449,22.868,5264,-0.864
GoalBrain_4_2,3.024,190.690,23.006,5133,-0.825
GoalBrain_4_2,3.037,217.009,22.124,5197,-0.790
GoalBrain_4_2,3.005,243.999,22.824,5218,-0.755
GoalBrain_4_2,3.009,270.805,22.653,5234,-0.687
GoalBrain_4_2,2.993,298.264,23.313,5169,-0.631
GoalBrain_4_2,2.974,324.626,22.241,5212,-0.596
GoalBrain_4_2,3.119,351.987,22.999,5230,-0.533
GoalBrain_4_2,3.097,379.129,22.934,5184,-0.499
GoalBrain_4_2,2.997,405.239,21.983,5178,-0.432
GoalBrain_4_2,2.949,431.820,22.502,5128,-0.399
GoalBrain_4_2,3.038,459.780,23.721,5195,-0.354
GoalBrain_4_2,3.043,486.830,22.837,5173,-0.319
GoalBrain_4_2,3.012,515.595,24.514,5165,-0.289
GoalBrain_4_2,3.009,542.242,22.484,5145,-0.245
GoalBrain_4_2,3.143,568.533,22.024,5148,-0.206
GoalBrain_4_2,3.021,594.848,22.179,5149,-0.163
GoalBrain_4_2,2.959,621.320,22.337,5158,-0.144
GoalBrain_4_2,3.006,647.770,22.332,5135,-0.112
GoalBrain_4_2,3.032,674.736,22.786,5231,-0.085
GoalBrain_4_2,3.000,701.300,22.450,5148,-0.064
GoalBrain_4_2,2.993,728.713,23.252,5167,-0.057
GoalBrain_4_2,3.165,755.096,22.114,5176,-0.051
GoalBrain_4_2,3.005,781.787,22.578,5238,-0.036
GoalBrain_4_2,2.981,808.149,22.269,5145,-0.034
GoalBrain_4_2,2.977,835.064,22.810,5150,-0.019
GoalBrain_4_2,2.994,861.651,22.466,5205,-0.014
