Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.718,32.162,23.003,5208,-0.989
GoalBrain_4_2,3.964,61.978,21.967,5134,-0.951
GoalBrain_4_2,3.949,91.940,22.114,5165,-0.884
GoalBrain_4_2,3.490,121.803,22.342,5175,-0.851
GoalBrain_4_2,3.871,152.246,22.460,5139,-0.755
GoalBrain_4_2,3.404,181.241,21.729,5164,-0.666
GoalBrain_4_2,3.796,210.570,21.738,5179,-0.524
GoalBrain_4_2,3.548,239.962,21.902,5221,-0.382
GoalBrain_4_2,4.267,270.730,22.419,5129,-0.237
GoalBrain_4_2,4.323,302.822,23.255,5192,-0.148
GoalBrain_4_2,3.331,333.285,22.983,5141,-0.098
GoalBrain_4_2,3.674,362.690,21.854,5129,-0.036
GoalBrain_4_2,3.787,392.188,21.834,5129,-0.006
GoalBrain_4_2,3.559,421.888,22.221,5213,0.039
GoalBrain_4_2,3.689,451.804,22.292,5139,0.090
GoalBrain_4_2,4.054,484.054,23.816,5140,0.134
GoalBrain_4_2,3.470,514.506,23.019,5246,0.156
GoalBrain_4_2,3.377,544.307,22.459,5149,0.175
GoalBrain_4_2,3.348,573.496,22.004,5216,0.190
GoalBrain_4_2,3.306,602.544,21.607,5167,0.198
GoalBrain_4_2,3.480,631.624,21.937,5132,0.203
GoalBrain_4_2,3.755,661.019,21.822,5122,0.215
GoalBrain_4_2,3.462,690.327,21.933,5167,0.222
GoalBrain_4_2,3.892,720.356,22.211,5210,0.230
GoalBrain_4_2,3.864,751.245,23.207,5164,0.241
GoalBrain_4_2,3.425,781.317,22.469,5167,0.244
GoalBrain_4_2,3.386,809.977,21.549,5151,0.250
GoalBrain_4_2,3.358,838.633,21.546,5175,0.255
GoalBrain_4_2,3.291,867.163,21.420,5155,0.258
GoalBrain_4_2,3.327,895.193,21.390,5153,0.261
GoalBrain_4_2,3.387,923.866,21.864,5202,0.264
GoalBrain_4_2,3.260,952.517,21.825,5230,0.269
GoalBrain_4_2,3.246,981.050,21.654,5129,0.277
GoalBrain_4_2,3.369,1009.905,21.898,5246,0.288
GoalBrain_4_2,3.251,1038.369,21.708,5121,0.291
GoalBrain_4_2,3.574,1066.919,21.459,5150,0.293
GoalBrain_4_2,3.281,1095.363,22.128,5193,0.287
GoalBrain_4_2,3.580,1124.820,22.194,5154,0.285
GoalBrain_4_2,3.500,1153.713,21.707,5129,0.287
GoalBrain_4_2,3.339,1184.014,23.312,5204,0.287
GoalBrain_4_2,3.299,1212.528,21.652,5168,0.288
GoalBrain_4_2,3.348,1241.237,21.860,5185,0.295
GoalBrain_4_2,3.499,1270.310,22.023,5216,0.296
GoalBrain_4_2,3.434,1301.472,23.809,5203,0.293
GoalBrain_4_2,3.563,1331.377,22.931,5247,0.293
GoalBrain_4_2,3.324,1359.794,22.007,5160,0.293
GoalBrain_4_2,3.454,1388.468,21.654,5126,0.291
GoalBrain_4_2,3.434,1417.813,21.935,5223,0.290
GoalBrain_4_2,3.437,1445.880,21.259,5123,0.292
GoalBrain_4_2,3.263,1474.742,21.758,5130,0.304
GoalBrain_4_2,3.291,1503.120,21.622,5208,0.302
GoalBrain_4_2,3.307,1531.483,21.774,5205,0.298
GoalBrain_4_2,3.652,1561.052,22.082,5215,0.303
GoalBrain_4_2,3.405,1589.868,21.934,5201,0.302
GoalBrain_4_2,3.381,1619.083,22.009,5220,0.311
GoalBrain_4_2,3.399,1648.343,22.055,5233,0.319
GoalBrain_4_2,3.345,1677.086,21.645,5203,0.319
GoalBrain_4_2,3.226,1705.577,21.658,5196,0.319
GoalBrain_4_2,3.218,1732.934,21.308,5160,0.319
GoalBrain_4_2,3.232,1760.350,21.440,5160,0.319
GoalBrain_4_2,3.290,1787.700,21.292,5160,0.319
GoalBrain_4_2,3.299,1815.130,21.381,5160,0.319
GoalBrain_4_2,3.244,1843.094,21.880,5160,0.319
GoalBrain_4_2,3.426,1870.910,21.544,5160,0.319
GoalBrain_4_2,3.190,1899.126,21.377,5160,0.280
GoalBrain_4_2,3.244,1927.695,21.882,5208,0.286
GoalBrain_4_2,3.503,1956.344,21.795,5152,0.287
GoalBrain_4_2,3.416,1985.123,21.729,5164,0.284
GoalBrain_4_2,3.911,2016.641,23.248,5165,0.291
GoalBrain_4_2,3.878,2048.066,23.223,5224,0.298
GoalBrain_4_2,3.730,2078.263,22.588,5144,0.300
GoalBrain_4_2,3.703,2108.713,22.609,5232,0.303
GoalBrain_4_2,3.413,2139.658,23.228,5237,0.309
GoalBrain_4_2,3.399,2167.770,21.805,5160,0.309
GoalBrain_4_2,3.581,2196.101,21.936,5160,0.309
GoalBrain_4_2,3.325,2223.883,21.598,5160,0.309
GoalBrain_4_2,3.632,2252.500,21.804,5160,0.309
GoalBrain_4_2,3.290,2281.142,22.374,5160,0.309
GoalBrain_4_2,3.383,2309.300,21.888,5184,0.277
GoalBrain_4_2,3.427,2338.823,22.183,5205,0.283
GoalBrain_4_2,3.301,2368.528,22.513,5220,0.288
GoalBrain_4_2,3.444,2397.317,21.769,5168,0.292
GoalBrain_4_2,3.669,2426.858,22.166,5122,0.295
GoalBrain_4_2,3.228,2454.914,21.215,5184,0.300
GoalBrain_4_2,3.157,2483.717,21.802,5180,0.305
GoalBrain_4_2,3.173,2511.305,20.943,5122,0.285
GoalBrain_4_2,3.200,2540.030,21.595,5166,0.281
GoalBrain_4_2,3.181,2567.953,21.085,5129,0.270
GoalBrain_4_2,3.322,2596.000,21.117,5140,0.256
GoalBrain_4_2,3.318,2624.435,21.795,5216,0.253
GoalBrain_4_2,3.247,2652.269,21.565,5139,0.100
GoalBrain_4_2,3.342,2681.222,21.844,5216,0.092
GoalBrain_4_2,3.797,2710.304,21.584,5145,0.095
GoalBrain_4_2,3.244,2738.648,21.453,5123,0.093
GoalBrain_4_2,3.368,2767.595,21.733,5147,0.088
GoalBrain_4_2,4.198,2799.435,23.630,5143,0.081
GoalBrain_4_2,3.459,2828.825,21.794,5166,0.075
GoalBrain_4_2,3.474,2859.309,22.772,5133,0.078
GoalBrain_4_2,3.334,2888.902,22.224,5146,0.076
GoalBrain_4_2,3.513,2918.087,21.876,5212,0.076
GoalBrain_4_2,3.412,2948.309,22.678,5163,0.073
GoalBrain_4_2,3.619,2977.057,21.914,5228,0.072
GoalBrain_4_2,3.644,3005.783,22.206,5160,0.072
GoalBrain_4_2,3.329,3033.660,21.781,5160,0.072
GoalBrain_4_2,3.221,3060.696,21.145,5160,0.072
GoalBrain_4_2,3.330,3088.398,21.357,5160,0.072
GoalBrain_4_2,3.347,3116.151,21.655,5160,0.072
GoalBrain_4_2,3.595,3145.315,22.006,5144,-0.067
GoalBrain_4_2,3.493,3174.503,21.788,5128,-0.069
GoalBrain_4_2,3.284,3203.893,22.074,5152,-0.062
GoalBrain_4_2,3.485,3233.709,22.271,5183,-0.057
GoalBrain_4_2,3.398,3264.490,23.126,5216,-0.057
GoalBrain_4_2,3.879,3294.938,23.116,5160,-0.057
GoalBrain_4_2,2.804,3320.896,19.857,5172,-0.056
GoalBrain_4_2,2.876,3345.754,18.940,5170,-0.054
GoalBrain_4_2,2.862,3370.130,18.869,5160,-0.054
GoalBrain_4_2,2.740,3394.956,19.059,5136,-0.058
GoalBrain_4_2,2.938,3420.451,19.335,5192,-0.054
GoalBrain_4_2,2.798,3445.292,19.027,5161,-0.053
GoalBrain_4_2,2.788,3469.272,18.834,5160,-0.053
GoalBrain_4_2,2.798,3493.339,18.929,5160,-0.053
GoalBrain_4_2,2.755,3517.227,18.834,5160,-0.053
GoalBrain_4_2,2.765,3541.056,18.727,5153,-0.068
GoalBrain_4_2,2.787,3566.088,19.313,5189,-0.063
GoalBrain_4_2,2.789,3590.941,18.984,5136,-0.061
GoalBrain_4_2,2.813,3614.992,18.830,5176,-0.065
GoalBrain_4_2,2.756,3639.512,18.849,5167,-0.060
GoalBrain_4_2,2.750,3664.381,19.169,5230,-0.061
GoalBrain_4_2,2.735,3688.706,19.031,5230,-0.061
GoalBrain_4_2,2.735,3712.734,18.813,5155,-0.063
GoalBrain_4_2,2.778,3736.540,18.713,5160,-0.063
GoalBrain_4_2,2.750,3760.172,18.621,5160,-0.063
GoalBrain_4_2,2.735,3783.803,18.628,5160,-0.063
GoalBrain_4_2,2.761,3808.749,19.294,5201,-0.072
GoalBrain_4_2,2.798,3833.907,19.045,5197,-0.068
GoalBrain_4_2,2.734,3858.466,19.021,5228,-0.070
GoalBrain_4_2,2.812,3883.046,18.869,5143,-0.067
GoalBrain_4_2,2.752,3907.968,19.100,5137,-0.064
GoalBrain_4_2,2.747,3932.745,19.040,5163,-0.058
GoalBrain_4_2,2.808,3957.561,19.247,5235,-0.058
GoalBrain_4_2,2.718,3982.812,19.365,5195,-0.052
GoalBrain_4_2,2.763,4007.585,18.935,5172,-0.048
GoalBrain_4_2,2.783,4032.600,19.109,5177,-0.044
GoalBrain_4_2,2.783,4057.396,19.055,5186,-0.041
GoalBrain_4_2,2.735,4082.899,19.456,5230,-0.037
GoalBrain_4_2,2.734,4107.456,19.018,5150,-0.044
GoalBrain_4_2,2.749,4132.461,19.211,5203,-0.038
GoalBrain_4_2,2.773,4156.970,18.960,5237,-0.041
GoalBrain_4_2,2.788,4181.496,18.976,5211,-0.039
GoalBrain_4_2,2.797,4206.672,19.256,5240,-0.035
GoalBrain_4_2,2.756,4231.717,19.191,5225,-0.030
GoalBrain_4_2,2.769,4256.395,18.992,5145,-0.026
GoalBrain_4_2,2.786,4281.015,19.167,5207,-0.024
GoalBrain_4_2,2.770,4304.869,18.596,5160,-0.024
GoalBrain_4_2,2.868,4328.554,18.494,5160,-0.024
