Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.047,31.355,23.053,5132,-1.047
GoalBrain_4_2,2.933,60.171,22.135,5139,-1.010
GoalBrain_4_2,2.904,88.249,21.554,5132,-0.995
GoalBrain_4_2,2.937,116.453,21.532,5129,-0.951
GoalBrain_4_2,2.920,144.450,21.446,5181,-0.928
GoalBrain_4_2,2.913,172.420,21.418,5176,-0.891
GoalBrain_4_2,2.951,200.561,21.616,5225,-0.840
GoalBrain_4_2,2.898,228.371,21.298,5196,-0.815
GoalBrain_4_2,2.897,256.039,21.176,5131,-0.751
GoalBrain_4_2,2.927,284.023,21.167,5145,-0.708
GoalBrain_4_2,2.940,312.017,21.406,5243,-0.648
GoalBrain_4_2,3.074,339.828,21.157,5162,-0.574
GoalBrain_4_2,2.919,367.321,20.910,5133,-0.489
GoalBrain_4_2,2.904,394.680,20.858,5129,-0.396
GoalBrain_4_2,2.910,422.465,21.314,5245,-0.366
GoalBrain_4_2,2.931,449.998,20.986,5137,-0.351
GoalBrain_4_2,2.897,477.658,21.121,5222,-0.340
GoalBrain_4_2,2.925,505.029,20.891,5145,-0.333
GoalBrain_4_2,2.932,532.484,21.041,5191,-0.321
GoalBrain_4_2,2.926,560.275,21.021,5130,-0.302
GoalBrain_4_2,2.908,587.733,20.963,5157,-0.296
GoalBrain_4_2,2.934,615.812,21.576,5245,-0.283
GoalBrain_4_2,2.885,643.654,21.397,5175,-0.266
GoalBrain_4_2,2.515,670.801,21.053,5231,-0.252
GoalBrain_4_2,2.507,694.539,18.288,5159,-0.246
GoalBrain_4_2,2.514,718.826,18.735,5137,-0.232
GoalBrain_4_2,2.508,742.048,18.024,5146,-0.219
GoalBrain_4_2,2.511,766.119,18.629,5217,-0.205
GoalBrain_4_2,2.527,789.862,18.532,5123,-0.205
GoalBrain_4_2,2.533,813.032,17.836,5128,-0.193
GoalBrain_4_2,2.517,836.201,18.128,5167,-0.183
GoalBrain_4_2,2.506,860.020,18.304,5165,-0.160
GoalBrain_4_2,2.504,883.438,17.936,5123,-0.137
GoalBrain_4_2,2.495,906.801,17.877,5141,-0.126
GoalBrain_4_2,2.511,930.238,17.990,5209,-0.118
GoalBrain_4_2,2.514,954.313,18.653,5240,-0.117
GoalBrain_4_2,2.519,978.410,18.378,5219,-0.100
GoalBrain_4_2,2.518,1002.898,18.973,5194,-0.093
