Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_1,3.595,33.802,23.990,5148,-1.102
GoalBrain_4_1,3.319,66.316,24.629,5219,-1.055
GoalBrain_4_1,3.140,96.179,22.534,5166,-0.985
GoalBrain_4_1,4.317,128.201,23.414,5145,-0.934
GoalBrain_4_1,3.323,160.112,24.048,5179,-0.809
GoalBrain_4_1,3.532,190.745,22.849,5139,-0.694
GoalBrain_4_1,3.562,221.506,22.928,5157,-0.581
GoalBrain_4_1,3.209,251.628,22.714,5122,-0.433
GoalBrain_4_1,3.143,280.512,21.822,5221,-0.297
GoalBrain_4_1,3.065,310.334,22.480,5140,-0.194
GoalBrain_4_1,3.133,339.021,21.757,5192,-0.099
GoalBrain_4_1,3.075,367.576,21.863,5158,-0.025
GoalBrain_4_1,3.123,396.988,22.378,5176,0.045
GoalBrain_4_1,3.202,426.928,22.706,5127,0.104
GoalBrain_4_1,3.227,456.206,22.237,5161,0.145
GoalBrain_4_1,3.334,485.096,21.785,5125,0.151
GoalBrain_4_1,3.874,516.905,23.592,5200,0.166
GoalBrain_4_1,3.041,546.199,22.356,5192,0.194
GoalBrain_4_1,3.081,574.928,21.731,5142,0.208
GoalBrain_4_1,3.028,603.334,21.501,5136,0.228
GoalBrain_4_1,3.023,631.819,21.683,5185,0.242
GoalBrain_4_1,3.024,660.466,21.753,5164,0.257
GoalBrain_4_1,3.046,689.014,21.721,5172,0.271
GoalBrain_4_1,3.031,717.764,21.846,5137,0.284
GoalBrain_4_1,3.072,746.572,21.848,5179,0.296
GoalBrain_4_1,3.033,775.032,21.541,5143,0.304
GoalBrain_4_1,3.090,803.532,21.622,5128,0.316
GoalBrain_4_1,3.034,831.929,21.592,5121,0.328
GoalBrain_4_1,3.112,861.204,21.977,5125,0.339
GoalBrain_4_1,3.057,890.374,22.319,5146,0.342
GoalBrain_4_1,3.100,920.105,22.731,5234,0.325
GoalBrain_4_1,3.049,949.493,22.437,5193,0.308
GoalBrain_4_1,3.003,978.484,22.195,5167,0.293
GoalBrain_4_1,3.077,1007.499,22.171,5125,0.286
GoalBrain_4_1,3.163,1036.454,22.036,5136,0.283
GoalBrain_4_1,3.104,1065.604,22.319,5212,0.278
GoalBrain_4_1,3.114,1094.399,21.949,5150,0.275
GoalBrain_4_1,3.180,1123.199,21.923,5175,0.273
GoalBrain_4_1,3.146,1152.984,22.493,5130,0.276
GoalBrain_4_1,3.149,1182.268,22.345,5199,0.278
GoalBrain_4_1,3.099,1211.263,22.097,5152,0.282
GoalBrain_4_1,3.141,1239.887,21.765,5128,0.279
GoalBrain_4_1,3.184,1269.331,22.380,5156,0.282
GoalBrain_4_1,3.178,1300.317,23.645,5207,0.286
