Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,2.185,15.277,10.667,4149,-0.973
GoalBrain_4,2.563,28.227,9.463,4155,-1.021
GoalBrain_4,1.686,40.366,9.473,4174,-1.017
GoalBrain_4,1.653,50.956,8.138,4104,-1.014
GoalBrain_4,1.628,61.320,7.983,4099,-1.014
GoalBrain_4,1.642,72.171,8.377,4316,-0.986
GoalBrain_4,1.624,82.980,8.373,4107,-0.958
GoalBrain_4,1.627,93.938,8.494,4212,-0.927
GoalBrain_4,1.631,104.720,8.353,4150,-0.945
GoalBrain_4,1.640,115.424,8.240,4106,-0.921
GoalBrain_4,1.631,126.022,8.186,4125,-0.914
GoalBrain_4,1.867,136.705,8.066,4099,-0.930
GoalBrain_4,1.629,147.426,8.267,4174,-0.939
GoalBrain_4,1.613,157.729,7.973,4171,-0.937
GoalBrain_4,1.650,168.378,8.181,4137,-0.848
GoalBrain_4,1.635,179.150,8.354,4171,-0.782
GoalBrain_4,1.624,189.926,8.324,4191,-0.721
GoalBrain_4,1.628,200.746,8.389,4102,-0.694
GoalBrain_4,1.626,211.367,8.223,4178,-0.654
GoalBrain_4,1.624,222.351,8.536,4190,-0.623
GoalBrain_4,1.627,233.145,8.342,4121,-0.570
GoalBrain_4,1.638,244.139,8.551,4199,-0.530
GoalBrain_4,1.695,255.127,8.459,4204,-0.489
GoalBrain_4,1.646,265.740,8.126,4133,-0.432
GoalBrain_4,1.617,277.021,8.808,4140,-0.405
GoalBrain_4,1.617,287.869,8.418,4193,-0.391
GoalBrain_4,1.603,298.861,8.575,4141,-0.335
GoalBrain_4,1.608,309.406,8.156,4173,-0.317
GoalBrain_4,1.626,320.205,8.353,4149,-0.312
GoalBrain_4,1.622,331.052,8.439,4168,-0.288
GoalBrain_4,1.627,341.808,8.310,4124,-0.253
GoalBrain_4,1.630,352.620,8.358,4224,-0.233
GoalBrain_4,1.650,363.947,8.797,4218,-0.206
GoalBrain_4,1.628,374.536,8.165,4117,-0.189
GoalBrain_4,1.646,385.538,8.499,4173,-0.156
GoalBrain_4,1.604,396.089,8.153,4177,-0.148
GoalBrain_4,1.627,407.606,8.990,4201,-0.127
GoalBrain_4,1.628,418.528,8.449,4147,-0.122
GoalBrain_4,1.648,428.863,7.949,4103,-0.114
GoalBrain_4,1.626,439.976,8.645,4154,-0.112
GoalBrain_4,1.616,451.082,8.695,4194,-0.107
GoalBrain_4,1.611,461.540,8.077,4158,-0.095
GoalBrain_4,1.647,472.401,8.400,4097,-0.080
GoalBrain_4,1.640,482.956,8.118,4107,-0.068
GoalBrain_4,1.650,493.689,8.297,4118,-0.050
GoalBrain_4,1.631,504.582,8.433,4109,-0.037
GoalBrain_4,1.613,515.658,8.632,4209,-0.027
GoalBrain_4,1.650,526.772,8.360,4210,-0.011
GoalBrain_4,1.627,538.368,9.091,4181,-0.003
GoalBrain_4,1.623,549.165,8.413,4202,0.005
GoalBrain_4,1.600,560.392,8.791,4212,0.012
GoalBrain_4,1.629,571.352,8.574,4110,0.007
GoalBrain_4,1.616,581.986,8.248,4178,0.008
GoalBrain_4,1.648,593.087,8.605,4158,0.013
GoalBrain_4,1.644,604.142,8.593,4122,0.016
GoalBrain_4,1.695,615.147,8.510,4196,0.013
GoalBrain_4,1.631,626.215,8.587,4114,0.013
GoalBrain_4,1.618,637.368,8.728,4134,0.028
GoalBrain_4,1.645,648.214,8.396,4118,0.038
GoalBrain_4,1.592,659.106,8.481,4165,0.045
GoalBrain_4,1.627,670.214,8.682,4143,0.066
GoalBrain_4,1.635,681.087,8.393,4112,0.074
GoalBrain_4,1.623,692.078,8.549,4135,0.076
GoalBrain_4,1.721,703.013,8.424,4135,0.073
GoalBrain_4,1.655,714.127,8.618,4183,0.068
GoalBrain_4,1.614,724.975,8.437,4147,0.072
GoalBrain_4,1.755,735.701,8.201,4138,0.067
GoalBrain_4,1.626,746.742,8.623,4124,0.073
GoalBrain_4,1.597,757.889,8.732,4149,0.077
GoalBrain_4,1.708,768.994,8.564,4166,0.083
GoalBrain_4,1.593,779.649,8.291,4101,0.086
GoalBrain_4,1.626,791.143,9.024,4121,0.087
GoalBrain_4,1.656,802.277,8.626,4105,0.091
GoalBrain_4,1.664,813.179,8.444,4102,0.095
GoalBrain_4,1.663,824.083,8.455,4196,0.094
GoalBrain_4,1.635,835.433,8.847,4156,0.097
GoalBrain_4,1.601,846.086,8.286,4112,0.105
