Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,1.449,14.009,9.863,5122,-1.008
GoalBrain_4_2,1.577,26.553,9.687,5127,-1.003
GoalBrain_4_2,1.223,39.154,10.033,5128,-1.013
GoalBrain_4_2,1.227,50.357,8.907,5135,-1.012
GoalBrain_4_2,1.382,61.454,8.659,5134,-1.018
GoalBrain_4_2,1.210,72.627,8.817,5178,-1.019
GoalBrain_4_2,1.401,83.551,8.463,5134,-1.022
GoalBrain_4_2,1.332,94.367,8.401,5184,-1.010
GoalBrain_4_2,1.327,105.135,8.398,5154,-1.007
GoalBrain_4_2,1.306,115.802,8.301,5171,-1.012
GoalBrain_4_2,1.450,126.999,8.653,5180,-1.014
GoalBrain_4_2,1.172,137.655,8.447,5157,-1.007
GoalBrain_4_2,1.323,148.169,8.162,5131,-1.010
GoalBrain_4_2,1.247,159.098,8.603,5168,-1.008
GoalBrain_4_2,1.426,169.997,8.418,5169,-1.006
GoalBrain_4_2,1.244,180.585,8.315,5170,-0.998
GoalBrain_4_2,1.337,191.600,8.563,5166,-0.976
GoalBrain_4_2,1.238,202.118,8.237,5131,-0.969
GoalBrain_4_2,1.505,213.128,8.482,5131,-0.960
GoalBrain_4_2,1.333,224.299,8.756,5180,-0.950
GoalBrain_4_2,1.187,234.842,8.313,5182,-0.933
GoalBrain_4_2,1.654,246.071,8.485,5123,-0.912
GoalBrain_4_2,1.691,258.810,9.748,5177,-0.900
GoalBrain_4_2,1.143,269.451,8.443,5172,-0.862
GoalBrain_4_2,1.384,280.580,8.619,5147,-0.838
GoalBrain_4_2,1.141,291.330,8.538,5135,-0.804
GoalBrain_4_2,1.532,303.898,9.723,5157,-0.775
GoalBrain_4_2,1.375,315.240,8.841,5137,-0.751
GoalBrain_4_2,1.137,326.044,8.609,5136,-0.724
GoalBrain_4_2,1.570,337.283,8.551,5136,-0.704
GoalBrain_4_2,1.151,347.918,8.405,5145,-0.658
GoalBrain_4_2,1.313,359.126,8.798,5132,-0.607
GoalBrain_4_2,1.329,370.415,8.832,5143,-0.591
GoalBrain_4_2,1.370,381.305,8.477,5152,-0.570
GoalBrain_4_2,1.678,392.740,8.674,5133,-0.557
GoalBrain_4_2,1.191,405.015,9.691,5168,-0.536
GoalBrain_4_2,1.396,416.145,8.651,5127,-0.502
GoalBrain_4_2,1.486,427.490,8.768,5165,-0.478
GoalBrain_4_2,1.183,438.772,8.695,5169,-0.455
GoalBrain_4_2,1.352,450.487,9.116,5133,-0.431
GoalBrain_4_2,1.414,461.888,8.895,5153,-0.406
GoalBrain_4_2,1.247,472.831,8.620,5139,-0.383
GoalBrain_4_2,1.636,484.451,8.816,5145,-0.356
GoalBrain_4_2,1.222,495.547,8.751,5122,-0.335
GoalBrain_4_2,1.535,506.908,8.690,5132,-0.311
GoalBrain_4_2,1.335,518.197,8.771,5146,-0.292
GoalBrain_4_2,1.184,529.144,8.674,5163,-0.274
GoalBrain_4_2,1.425,540.251,8.554,5130,-0.257
GoalBrain_4_2,1.325,551.446,8.774,5168,-0.235
GoalBrain_4_2,1.455,562.736,8.707,5134,-0.211
GoalBrain_4_2,1.305,574.113,8.938,5163,-0.198
GoalBrain_4_2,1.196,585.259,8.842,5121,-0.181
GoalBrain_4_2,1.300,596.266,8.590,5159,-0.167
GoalBrain_4_2,1.242,607.336,8.729,5150,-0.157
GoalBrain_4_2,1.382,618.450,8.651,5181,-0.145
GoalBrain_4_2,1.273,629.766,8.899,5136,-0.131
GoalBrain_4_2,1.415,641.210,8.896,5145,-0.121
GoalBrain_4_2,1.235,652.231,8.706,5159,-0.110
GoalBrain_4_2,1.447,663.738,8.919,5195,-0.097
GoalBrain_4_2,1.360,674.861,8.679,5180,-0.086
GoalBrain_4_2,1.203,686.063,8.849,5138,-0.074
GoalBrain_4_2,1.518,697.958,9.160,5142,-0.066
GoalBrain_4_2,1.182,709.133,8.843,5151,-0.054
GoalBrain_4_2,1.383,720.440,8.769,5137,-0.047
GoalBrain_4_2,1.310,731.835,8.906,5179,-0.036
