Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,1.048,11.306,8.135,5137,-1.055
GoalBrain_4_2,1.048,21.176,7.899,5145,-1.018
GoalBrain_4_2,1.130,31.536,8.252,5126,-1.025
GoalBrain_4_2,0.985,41.214,7.800,5134,-1.003
GoalBrain_4_2,1.000,51.184,7.988,5194,-1.000
GoalBrain_4_2,1.161,60.985,7.720,5157,-0.989
GoalBrain_4_2,1.054,70.379,7.427,5139,-0.983
GoalBrain_4_2,1.099,80.048,7.684,5153,-0.959
GoalBrain_4_2,1.036,89.435,7.487,5121,-0.956
GoalBrain_4_2,1.035,99.288,7.862,5173,-0.943
GoalBrain_4_2,1.071,108.854,7.607,5160,-0.923
GoalBrain_4_2,1.070,118.489,7.674,5170,-0.910
GoalBrain_4_2,1.010,128.066,7.683,5171,-0.888
GoalBrain_4_2,1.006,137.731,7.754,5147,-0.859
GoalBrain_4_2,1.007,147.213,7.529,5171,-0.808
GoalBrain_4_2,1.020,156.577,7.475,5153,-0.769
GoalBrain_4_2,1.026,166.216,7.716,5129,-0.725
GoalBrain_4_2,1.011,175.682,7.555,5155,-0.666
GoalBrain_4_2,1.143,185.289,7.572,5165,-0.610
GoalBrain_4_2,1.019,195.098,7.826,5142,-0.531
GoalBrain_4_2,1.016,204.495,7.493,5123,-0.480
GoalBrain_4_2,1.088,214.145,7.638,5160,-0.420
GoalBrain_4_2,0.979,223.804,7.758,5140,-0.394
GoalBrain_4_2,0.983,233.038,7.370,5126,-0.378
GoalBrain_4_2,0.937,242.519,7.645,5179,-0.341
GoalBrain_4_2,1.015,252.135,7.676,5126,-0.300
GoalBrain_4_2,1.005,261.640,7.646,5176,-0.269
GoalBrain_4_2,0.946,271.175,7.677,5164,-0.243
GoalBrain_4_2,1.020,280.847,7.740,5171,-0.219
GoalBrain_4_2,1.074,290.745,7.876,5178,-0.194
GoalBrain_4_2,1.014,300.330,7.678,5160,-0.171
GoalBrain_4_2,1.044,310.088,7.793,5141,-0.150
GoalBrain_4_2,0.975,319.540,7.603,5129,-0.133
GoalBrain_4_2,0.990,329.178,7.734,5126,-0.117
GoalBrain_4_2,0.957,338.427,7.420,5160,-0.103
GoalBrain_4_2,1.055,348.110,7.689,5138,-0.092
GoalBrain_4_2,1.210,358.048,7.771,5144,-0.082
GoalBrain_4_2,1.015,367.797,7.793,5155,-0.066
GoalBrain_4_2,1.022,377.518,7.547,5150,-0.051
GoalBrain_4_2,1.000,387.091,7.685,5185,-0.040
GoalBrain_4_2,1.034,396.796,7.783,5152,-0.034
GoalBrain_4_2,0.997,406.330,7.636,5184,-0.024
GoalBrain_4_2,0.975,416.028,7.783,5164,-0.011
GoalBrain_4_2,1.120,425.647,7.587,5152,-0.004
GoalBrain_4_2,1.052,435.100,7.503,5133,0.004
GoalBrain_4_2,0.991,444.663,7.674,5143,0.021
GoalBrain_4_2,1.170,454.890,8.083,5183,0.034
GoalBrain_4_2,0.986,464.721,7.870,5154,0.044
GoalBrain_4_2,1.018,474.195,7.557,5126,0.059
GoalBrain_4_2,1.010,483.819,7.704,5121,0.065
GoalBrain_4_2,0.957,493.242,7.604,5172,0.073
GoalBrain_4_2,0.995,502.808,7.665,5172,0.084
GoalBrain_4_2,1.002,512.268,7.556,5145,0.091
GoalBrain_4_2,0.968,521.809,7.664,5137,0.100
GoalBrain_4_2,0.972,531.179,7.520,5158,0.107
GoalBrain_4_2,0.930,540.549,7.487,5206,0.115
GoalBrain_4_2,0.972,550.143,7.735,5181,0.124
GoalBrain_4_2,1.020,559.651,7.615,5127,0.131
GoalBrain_4_2,0.942,569.166,7.679,5171,0.139
GoalBrain_4_2,0.996,578.473,7.432,5127,0.147
GoalBrain_4_2,1.124,588.341,7.795,5156,0.152
GoalBrain_4_2,1.043,597.590,7.343,5127,0.156
GoalBrain_4_2,1.016,607.193,7.665,5182,0.164
GoalBrain_4_2,0.996,616.559,7.483,5131,0.171
GoalBrain_4_2,1.008,626.123,7.671,5144,0.176
GoalBrain_4_2,0.963,635.445,7.485,5134,0.182
GoalBrain_4_2,0.987,644.967,7.638,5131,0.187
GoalBrain_4_2,0.960,654.419,7.578,5161,0.192
GoalBrain_4_2,0.974,664.011,7.727,5170,0.199
GoalBrain_4_2,0.967,673.115,7.285,5139,0.203
GoalBrain_4_2,0.999,682.563,7.589,5147,0.208
GoalBrain_4_2,1.006,691.956,7.491,5138,0.214
GoalBrain_4_2,1.055,701.506,7.608,5128,0.221
GoalBrain_4_2,1.111,711.333,7.804,5163,0.224
GoalBrain_4_2,1.014,721.085,7.796,5126,0.222
GoalBrain_4_2,1.008,730.805,7.805,5124,0.222
GoalBrain_4_2,1.004,740.568,7.643,5154,0.224
GoalBrain_4_2,1.018,750.032,7.542,5138,0.225
GoalBrain_4_2,0.999,759.634,7.703,5141,0.227
GoalBrain_4_2,0.916,769.277,7.807,5136,0.227
GoalBrain_4_2,1.011,778.672,7.505,5133,0.228
GoalBrain_4_2,1.010,788.356,7.758,5144,0.228
GoalBrain_4_2,1.082,798.224,7.882,5136,0.228
GoalBrain_4_2,1.133,808.131,7.823,5168,0.231
GoalBrain_4_2,1.023,818.060,7.965,5185,0.234
GoalBrain_4_2,0.949,827.644,7.720,5130,0.234
GoalBrain_4_2,1.080,837.529,7.885,5132,0.235
GoalBrain_4_2,1.046,847.121,7.630,5147,0.236
GoalBrain_4_2,0.988,856.660,7.643,5155,0.238
GoalBrain_4_2,1.006,866.372,7.783,5124,0.241
GoalBrain_4_2,1.002,875.835,7.561,5138,0.244
GoalBrain_4_2,1.015,885.280,7.548,5178,0.243
GoalBrain_4_2,0.996,894.790,7.625,5138,0.243
GoalBrain_4_2,1.006,904.517,7.797,5164,0.244
GoalBrain_4_2,1.089,914.325,7.806,5173,0.245
GoalBrain_4_2,1.070,924.000,7.689,5145,0.248
GoalBrain_4_2,1.021,933.800,7.860,5172,0.250
GoalBrain_4_2,1.035,943.538,7.748,5149,0.249
GoalBrain_4_2,0.944,953.129,7.787,5180,0.252
GoalBrain_4_2,0.988,962.545,7.570,5131,0.252
GoalBrain_4_2,0.999,971.936,7.546,5185,0.251
GoalBrain_4_2,0.957,981.451,7.671,5144,0.247
GoalBrain_4_2,1.095,990.962,7.531,5167,0.249
GoalBrain_4_2,1.007,1000.449,7.608,5163,0.249
GoalBrain_4_2,0.969,1009.917,7.646,5168,0.251
GoalBrain_4_2,0.993,1019.289,7.488,5130,0.252
GoalBrain_4_2,1.010,1028.894,7.713,5243,0.254
GoalBrain_4_2,0.955,1038.686,7.916,5209,0.257
GoalBrain_4_2,0.967,1048.413,7.845,5162,0.258
GoalBrain_4_2,0.998,1058.357,7.987,5149,0.262
GoalBrain_4_2,1.012,1067.843,7.574,5122,0.264
GoalBrain_4_2,1.086,1077.757,7.914,5182,0.267
GoalBrain_4_2,1.091,1087.507,7.765,5146,0.271
GoalBrain_4_2,1.041,1097.389,7.901,5167,0.272
GoalBrain_4_2,0.980,1107.343,7.810,5130,0.273
GoalBrain_4_2,1.001,1116.882,7.640,5142,0.275
GoalBrain_4_2,1.018,1126.650,7.826,5177,0.276
GoalBrain_4_2,0.990,1136.055,7.532,5124,0.277
GoalBrain_4_2,1.126,1145.812,7.743,5153,0.279
GoalBrain_4_2,0.982,1155.744,8.015,5126,0.282
GoalBrain_4_2,1.031,1165.491,7.791,5148,0.282
GoalBrain_4_2,0.958,1174.978,7.619,5176,0.286
GoalBrain_4_2,0.995,1184.742,7.836,5143,0.287
GoalBrain_4_2,0.953,1194.453,7.838,5176,0.289
GoalBrain_4_2,1.014,1204.172,7.806,5155,0.290
GoalBrain_4_2,1.042,1213.866,7.754,5179,0.293
GoalBrain_4_2,1.414,1223.765,7.588,5123,0.294
GoalBrain_4_2,1.175,1234.965,8.882,5124,0.294
GoalBrain_4_2,1.144,1245.463,8.346,5131,0.296
GoalBrain_4_2,1.160,1255.945,8.313,5144,0.298
GoalBrain_4_2,1.210,1266.553,8.389,5129,0.298
GoalBrain_4_2,1.137,1277.002,8.304,5146,0.300
GoalBrain_4_2,1.159,1287.514,8.338,5185,0.302
GoalBrain_4_2,1.144,1298.189,8.488,5182,0.304
GoalBrain_4_2,1.150,1308.550,8.210,5124,0.307
GoalBrain_4_2,1.136,1319.263,8.547,5166,0.309
GoalBrain_4_2,1.134,1329.526,8.197,5136,0.310
GoalBrain_4_2,1.129,1340.172,8.485,5181,0.310
GoalBrain_4_2,1.162,1350.548,8.224,5138,0.311
GoalBrain_4_2,1.169,1360.766,8.087,5140,0.311
GoalBrain_4_2,1.154,1371.489,8.514,5178,0.311
GoalBrain_4_2,1.205,1382.231,8.454,5130,0.311
GoalBrain_4_2,1.185,1392.762,8.306,5129,0.313
GoalBrain_4_2,1.144,1403.239,8.324,5121,0.313
GoalBrain_4_2,1.184,1413.736,8.293,5140,0.314
GoalBrain_4_2,1.219,1424.327,8.401,5169,0.315
GoalBrain_4_2,1.195,1434.799,8.260,5128,0.316
GoalBrain_4_2,1.130,1445.437,8.536,5171,0.317
GoalBrain_4_2,1.267,1455.854,8.138,5123,0.317
GoalBrain_4_2,1.094,1466.500,8.502,5131,0.317
GoalBrain_4_2,1.145,1476.907,8.248,5126,0.319
GoalBrain_4_2,1.188,1487.479,8.386,5139,0.319
GoalBrain_4_2,1.180,1498.237,8.510,5162,0.321
GoalBrain_4_2,1.173,1509.122,8.472,5153,0.322
GoalBrain_4_2,1.158,1519.515,8.243,5159,0.322
GoalBrain_4_2,1.208,1530.048,8.303,5130,0.322
GoalBrain_4_2,1.178,1540.667,8.443,5135,0.325
GoalBrain_4_2,1.129,1551.159,8.361,5129,0.326
GoalBrain_4_2,1.218,1561.659,8.294,5176,0.326
GoalBrain_4_2,1.135,1572.210,8.399,5141,0.327
GoalBrain_4_2,1.197,1582.840,8.411,5132,0.329
GoalBrain_4_2,1.212,1593.619,8.515,5128,0.330
GoalBrain_4_2,1.218,1604.417,8.524,5137,0.332
GoalBrain_4_2,1.337,1615.940,9.062,5167,0.331
GoalBrain_4_2,1.288,1627.147,8.791,5134,0.333
GoalBrain_4_2,1.496,1637.985,8.279,5164,0.334
GoalBrain_4_2,1.228,1648.832,8.529,5123,0.335
GoalBrain_4_2,1.128,1659.258,8.274,5122,0.335
GoalBrain_4_2,1.170,1669.814,8.342,5181,0.335
GoalBrain_4_2,1.198,1680.788,8.682,5132,0.336
GoalBrain_4_2,1.229,1691.461,8.401,5167,0.337
GoalBrain_4_2,1.253,1702.236,8.477,5134,0.339
GoalBrain_4_2,1.213,1712.930,8.435,5169,0.339
GoalBrain_4_2,1.210,1723.580,8.414,5132,0.340
GoalBrain_4_2,1.195,1734.090,8.309,5149,0.340
GoalBrain_4_2,1.212,1744.846,8.550,5187,0.341
GoalBrain_4_2,1.184,1755.661,8.603,5144,0.342
GoalBrain_4_2,1.338,1766.628,8.590,5166,0.343
GoalBrain_4_2,1.220,1777.404,8.511,5174,0.345
GoalBrain_4_2,1.207,1788.057,8.428,5132,0.346
GoalBrain_4_2,1.274,1798.772,8.382,5138,0.346
GoalBrain_4_2,1.226,1809.624,8.569,5167,0.346
GoalBrain_4_2,1.202,1820.153,8.296,5134,0.348
GoalBrain_4_2,1.220,1830.762,8.329,5160,0.348
GoalBrain_4_2,1.155,1841.280,8.343,5159,0.350
GoalBrain_4_2,1.138,1851.797,8.313,5148,0.351
GoalBrain_4_2,1.166,1862.310,8.338,5146,0.352
GoalBrain_4_2,1.157,1874.055,9.355,5174,0.349
GoalBrain_4_2,1.292,1885.984,9.382,5155,0.350
GoalBrain_4_2,1.409,1897.502,8.966,5163,0.351
GoalBrain_4_2,1.317,1909.069,9.074,5198,0.353
GoalBrain_4_2,1.501,1921.082,9.100,5161,0.354
GoalBrain_4_2,1.268,1932.211,8.729,5121,0.356
GoalBrain_4_2,1.159,1942.940,8.525,5180,0.356
GoalBrain_4_2,1.136,1953.629,8.491,5169,0.357
GoalBrain_4_2,1.158,1964.231,8.446,5178,0.358
GoalBrain_4_2,1.157,1974.821,8.402,5154,0.359
GoalBrain_4_2,1.238,1985.439,8.353,5124,0.360
GoalBrain_4_2,1.274,1996.068,8.346,5128,0.361
GoalBrain_4_2,1.195,2006.684,8.387,5141,0.362
GoalBrain_4_2,1.164,2017.190,8.323,5134,0.362
GoalBrain_4_2,1.182,2027.893,8.504,5212,0.363
GoalBrain_4_2,1.134,2038.224,8.236,5143,0.364
GoalBrain_4_2,1.073,2048.830,8.531,5170,0.365
GoalBrain_4_2,1.362,2059.905,8.635,5143,0.365
GoalBrain_4_2,1.139,2070.436,8.335,5149,0.365
GoalBrain_4_2,1.213,2081.063,8.388,5134,0.366
GoalBrain_4_2,1.115,2091.627,8.399,5135,0.367
GoalBrain_4_2,1.094,2102.128,8.386,5121,0.367
GoalBrain_4_2,1.171,2112.773,8.468,5121,0.368
GoalBrain_4_2,1.179,2123.142,8.210,5126,0.368
GoalBrain_4_2,1.152,2133.659,8.304,5156,0.369
GoalBrain_4_2,1.150,2144.285,8.451,5124,0.370
GoalBrain_4_2,1.204,2155.029,8.461,5151,0.371
GoalBrain_4_2,1.096,2165.377,8.257,5165,0.372
GoalBrain_4_2,1.091,2175.898,8.421,5150,0.372
GoalBrain_4_2,1.146,2186.631,8.554,5164,0.373
GoalBrain_4_2,1.230,2196.989,8.126,5142,0.374
GoalBrain_4_2,1.185,2207.910,8.665,5137,0.374
GoalBrain_4_2,1.203,2218.645,8.460,5182,0.375
GoalBrain_4_2,1.151,2229.285,8.469,5179,0.377
GoalBrain_4_2,1.154,2240.063,8.604,5178,0.378
GoalBrain_4_2,1.183,2251.837,9.355,5142,0.378
GoalBrain_4_2,1.218,2262.568,8.454,5126,0.379
GoalBrain_4_2,1.428,2273.875,8.751,5180,0.380
GoalBrain_4_2,1.166,2284.564,8.462,5174,0.380
GoalBrain_4_2,1.199,2295.337,8.515,5154,0.381
GoalBrain_4_2,1.146,2306.001,8.482,5149,0.382
GoalBrain_4_2,1.173,2316.652,8.439,5175,0.382
GoalBrain_4_2,1.083,2327.343,8.540,5159,0.383
GoalBrain_4_2,1.199,2338.302,8.474,5144,0.384
GoalBrain_4_2,1.154,2349.059,8.560,5121,0.385
GoalBrain_4_2,1.106,2359.608,8.426,5176,0.386
GoalBrain_4_2,1.157,2370.159,8.396,5127,0.386
GoalBrain_4_2,1.180,2380.695,8.355,5178,0.386
GoalBrain_4_2,1.175,2391.309,8.414,5124,0.386
GoalBrain_4_2,1.190,2401.795,8.294,5144,0.386
GoalBrain_4_2,1.163,2412.375,8.412,5148,0.386
GoalBrain_4_2,1.178,2423.049,8.479,5153,0.387
GoalBrain_4_2,1.170,2433.606,8.377,5148,0.388
GoalBrain_4_2,1.237,2444.785,8.861,5184,0.388
GoalBrain_4_2,1.260,2455.886,8.746,5134,0.388
GoalBrain_4_2,1.265,2466.743,8.555,5121,0.388
GoalBrain_4_2,1.349,2477.859,8.658,5129,0.389
GoalBrain_4_2,1.205,2489.100,8.930,5135,0.388
GoalBrain_4_2,1.167,2499.738,8.416,5173,0.388
GoalBrain_4_2,1.211,2510.562,8.602,5164,0.388
GoalBrain_4_2,1.145,2521.632,8.822,5128,0.388
GoalBrain_4_2,1.267,2532.543,8.581,5124,0.388
GoalBrain_4_2,1.180,2544.139,9.218,5157,0.389
GoalBrain_4_2,1.247,2555.001,8.576,5137,0.388
GoalBrain_4_2,1.179,2565.858,8.634,5136,0.390
GoalBrain_4_2,1.236,2577.041,8.814,5125,0.390
GoalBrain_4_2,1.224,2588.369,8.960,5129,0.390
GoalBrain_4_2,1.212,2599.653,8.956,5181,0.390
GoalBrain_4_2,1.333,2610.968,8.877,5132,0.390
GoalBrain_4_2,1.167,2621.726,8.556,5169,0.390
GoalBrain_4_2,1.174,2632.448,8.499,5165,0.391
GoalBrain_4_2,1.152,2643.117,8.492,5131,0.390
GoalBrain_4_2,1.232,2653.880,8.475,5174,0.391
GoalBrain_4_2,1.472,2664.892,8.527,5125,0.391
GoalBrain_4_2,1.291,2675.812,8.601,5128,0.391
GoalBrain_4_2,1.193,2686.681,8.630,5187,0.391
GoalBrain_4_2,1.162,2697.557,8.658,5124,0.390
GoalBrain_4_2,1.196,2708.221,8.433,5130,0.390
GoalBrain_4_2,1.202,2719.000,8.519,5122,0.391
GoalBrain_4_2,1.157,2729.812,8.601,5159,0.391
GoalBrain_4_2,1.378,2740.817,8.556,5155,0.391
GoalBrain_4_2,1.243,2751.938,8.550,5141,0.391
GoalBrain_4_2,1.194,2762.719,8.587,5156,0.392
GoalBrain_4_2,1.167,2773.445,8.502,5136,0.391
GoalBrain_4_2,1.215,2784.158,8.431,5122,0.391
GoalBrain_4_2,1.261,2795.231,8.694,5134,0.391
GoalBrain_4_2,1.268,2806.013,8.457,5179,0.391
GoalBrain_4_2,1.339,2818.092,9.497,5145,0.391
GoalBrain_4_2,1.369,2829.758,9.080,5124,0.391
GoalBrain_4_2,1.241,2840.880,8.791,5174,0.391
GoalBrain_4_2,1.351,2851.646,8.380,5149,0.391
GoalBrain_4_2,1.083,2862.217,8.505,5152,0.391
GoalBrain_4_2,1.133,2872.664,8.306,5124,0.392
GoalBrain_4_2,1.141,2883.014,8.188,5125,0.391
GoalBrain_4_2,1.177,2893.803,8.564,5168,0.391
GoalBrain_4_2,1.103,2903.980,8.041,5137,0.391
GoalBrain_4_2,1.127,2914.761,8.596,5163,0.391
GoalBrain_4_2,1.204,2925.161,8.232,5131,0.391
GoalBrain_4_2,1.166,2935.744,8.384,5124,0.391
GoalBrain_4_2,1.185,2946.295,8.382,5141,0.391
GoalBrain_4_2,1.091,2956.840,8.451,5144,0.391
GoalBrain_4_2,1.167,2967.433,8.427,5169,0.391
GoalBrain_4_2,1.251,2978.099,8.438,5161,0.392
GoalBrain_4_2,1.249,2988.914,8.525,5171,0.392
GoalBrain_4_2,1.219,2999.832,8.650,5129,0.390
GoalBrain_4_2,1.315,3010.777,8.589,5123,0.390
GoalBrain_4_2,1.227,3021.765,8.663,5123,0.390
GoalBrain_4_2,1.179,3032.632,8.606,5182,0.391
GoalBrain_4_2,1.182,3043.360,8.481,5129,0.391
GoalBrain_4_2,1.121,3053.877,8.396,5137,0.392
GoalBrain_4_2,1.208,3064.604,8.461,5139,0.391
