Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.544,43.965,34.891,5127,-2.327
GoalBrain_4_2,3.330,83.827,32.577,5125,-2.329
GoalBrain_4_2,3.241,125.120,33.845,5122,-2.296
GoalBrain_4_2,3.106,165.092,32.795,5125,-2.274
GoalBrain_4_2,3.158,206.118,33.662,5123,-2.255
GoalBrain_4_2,2.985,246.552,33.349,5128,-2.241
GoalBrain_4_2,3.167,286.854,33.080,5122,-2.226
GoalBrain_4_2,3.163,327.295,33.186,5121,-2.211
GoalBrain_4_2,3.065,367.625,32.930,5124,-2.202
GoalBrain_4_2,2.982,407.174,32.586,5122,-2.194
GoalBrain_4_2,3.061,448.042,33.595,5127,-2.187
GoalBrain_4_2,3.416,490.078,34.192,5121,-2.182
GoalBrain_4_2,3.427,531.289,33.513,5128,-2.176
GoalBrain_4_2,3.315,572.333,33.529,5122,-2.168
GoalBrain_4_2,3.508,617.422,36.671,5121,-2.164
GoalBrain_4_2,3.151,660.200,35.054,5122,-2.161
GoalBrain_4_2,3.014,701.369,33.823,5126,-2.159
GoalBrain_4_2,3.080,741.794,32.969,5128,-2.156
GoalBrain_4_2,3.129,782.140,32.997,5125,-2.154
GoalBrain_4_2,3.093,822.412,32.989,5125,-2.153
GoalBrain_4_2,3.078,863.220,33.465,5126,-2.151
GoalBrain_4_2,3.015,903.115,32.755,5125,-2.149
GoalBrain_4_2,3.043,944.640,34.143,5125,-2.148
GoalBrain_4_2,3.177,985.366,33.244,5128,-2.147
GoalBrain_4_2,3.034,1025.246,32.869,5127,-2.145
GoalBrain_4_2,3.119,1065.362,32.669,5127,-2.144
GoalBrain_4_2,3.134,1105.314,32.720,5125,-2.143
GoalBrain_4_2,3.147,1145.716,33.016,5128,-2.142
GoalBrain_4_2,3.044,1185.726,32.990,5122,-2.141
GoalBrain_4_2,3.017,1224.888,32.239,5124,-2.142
GoalBrain_4_2,3.309,1264.889,32.720,5127,-2.140
GoalBrain_4_2,3.149,1306.113,33.768,5126,-2.139
GoalBrain_4_2,3.064,1345.745,32.547,5121,-2.139
GoalBrain_4_2,3.059,1385.617,32.767,5125,-2.137
