Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,4.066,49.325,38.912,5124,-1.083
GoalBrain_4_2,4.299,99.636,40.752,5127,-1.080
GoalBrain_4_2,3.572,145.793,37.777,5135,-1.088
GoalBrain_4_2,3.525,188.452,34.797,5150,-1.084
GoalBrain_4_2,3.584,229.898,33.708,5129,-1.080
GoalBrain_4_2,3.536,271.451,33.792,5136,-1.078
GoalBrain_4_2,3.480,312.156,33.129,5143,-1.072
GoalBrain_4_2,3.526,352.476,32.637,5138,-1.065
GoalBrain_4_2,3.506,392.575,32.527,5137,-1.062
GoalBrain_4_2,3.559,433.105,32.536,5121,-1.054
GoalBrain_4_2,3.519,473.875,33.058,5122,-1.052
GoalBrain_4_2,3.527,515.167,33.565,5198,-1.038
GoalBrain_4_2,3.538,557.582,34.438,5188,-1.025
GoalBrain_4_2,3.472,598.712,33.502,5239,-1.012
GoalBrain_4_2,3.999,640.892,33.901,5152,-0.996
GoalBrain_4_2,3.605,683.589,34.702,5181,-0.982
GoalBrain_4_2,3.516,724.322,33.002,5155,-0.971
GoalBrain_4_2,3.586,765.459,33.361,5158,-0.953
GoalBrain_4_2,3.445,805.878,32.569,5207,-0.936
GoalBrain_4_2,3.467,845.465,32.095,5143,-0.917
GoalBrain_4_2,3.518,885.782,32.730,5178,-0.901
GoalBrain_4_2,3.757,927.708,33.812,5193,-0.889
GoalBrain_4_2,3.803,970.639,34.754,5139,-0.874
GoalBrain_4_2,3.899,1014.849,35.684,5224,-0.856
GoalBrain_4_2,3.615,1056.060,33.404,5157,-0.840
GoalBrain_4_2,3.548,1097.075,33.353,5240,-0.825
GoalBrain_4_2,3.667,1138.088,33.228,5217,-0.810
GoalBrain_4_2,4.153,1179.996,33.553,5219,-0.798
GoalBrain_4_2,3.912,1221.837,33.407,5218,-0.781
GoalBrain_4_2,3.814,1263.523,33.635,5173,-0.766
GoalBrain_4_2,3.841,1304.289,32.805,5192,-0.757
GoalBrain_4_2,3.453,1344.362,32.588,5151,-0.746
GoalBrain_4_2,3.659,1384.441,32.382,5213,-0.733
GoalBrain_4_2,3.513,1423.268,31.360,5155,-0.725
GoalBrain_4_2,3.592,1461.114,30.380,5147,-0.715
GoalBrain_4_2,3.530,1498.907,30.402,5123,-0.707
GoalBrain_4_2,3.451,1536.388,30.179,5161,-0.695
GoalBrain_4_2,3.430,1573.183,29.360,5171,-0.688
GoalBrain_4_2,3.448,1611.331,30.773,5215,-0.679
