Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,0.989,10.989,7.953,5126,-1.008
GoalBrain_4_2,0.929,20.642,7.819,5123,-1.028
GoalBrain_4_2,0.995,30.436,7.869,5130,-1.023
GoalBrain_4_2,0.977,40.695,8.317,5125,-1.014
GoalBrain_4_2,1.325,51.029,8.033,5122,-1.005
GoalBrain_4_2,1.040,61.408,8.287,5145,-1.009
GoalBrain_4_2,1.069,71.091,7.718,5174,-1.012
GoalBrain_4_2,1.155,80.546,7.413,5129,-1.003
GoalBrain_4_2,1.241,92.112,9.126,5172,-0.998
GoalBrain_4_2,1.182,102.589,8.268,5145,-0.979
GoalBrain_4_2,1.166,112.743,7.999,5127,-0.963
GoalBrain_4_2,1.078,122.735,7.974,5140,-0.927
GoalBrain_4_2,1.166,132.976,8.069,5162,-0.915
GoalBrain_4_2,1.127,143.115,8.004,5168,-0.893
GoalBrain_4_2,1.134,153.307,8.043,5165,-0.872
GoalBrain_4_2,1.145,163.363,7.952,5134,-0.841
GoalBrain_4_2,1.192,173.543,8.007,5141,-0.825
GoalBrain_4_2,1.117,183.389,7.754,5123,-0.787
GoalBrain_4_2,1.127,193.478,7.995,5179,-0.761
GoalBrain_4_2,1.145,203.610,8.022,5168,-0.731
GoalBrain_4_2,1.135,213.858,8.095,5143,-0.680
GoalBrain_4_2,1.139,223.763,7.764,5121,-0.667
GoalBrain_4_2,1.116,233.699,7.842,5122,-0.643
GoalBrain_4_2,1.109,243.759,7.978,5135,-0.606
GoalBrain_4_2,1.077,254.405,8.503,5143,-0.541
GoalBrain_4_2,1.143,264.829,8.319,5163,-0.501
GoalBrain_4_2,1.074,275.297,8.373,5150,-0.477
GoalBrain_4_2,1.059,285.534,8.177,5146,-0.453
GoalBrain_4_2,1.073,295.808,8.149,5131,-0.431
GoalBrain_4_2,1.186,306.164,8.213,5130,-0.413
GoalBrain_4_2,1.109,316.334,8.067,5135,-0.394
GoalBrain_4_2,1.106,326.395,7.979,5126,-0.382
GoalBrain_4_2,1.083,336.362,7.907,5135,-0.374
GoalBrain_4_2,1.135,346.340,7.872,5173,-0.365
GoalBrain_4_2,1.126,356.495,8.011,5181,-0.349
GoalBrain_4_2,1.183,366.726,8.040,5129,-0.329
GoalBrain_4_2,1.099,377.648,8.694,5142,-0.312
GoalBrain_4_2,1.134,388.589,8.710,5155,-0.297
GoalBrain_4_2,1.052,399.034,8.165,5125,-0.280
GoalBrain_4_2,1.117,409.400,8.262,5166,-0.261
GoalBrain_4_2,1.078,419.654,8.165,5150,-0.252
GoalBrain_4_2,1.060,429.903,8.171,5156,-0.238
GoalBrain_4_2,1.032,439.793,7.877,5124,-0.225
GoalBrain_4_2,1.071,449.798,7.998,5174,-0.221
GoalBrain_4_2,1.060,459.772,7.996,5159,-0.210
GoalBrain_4_2,1.149,469.901,8.020,5169,-0.199
GoalBrain_4_2,1.305,480.952,8.629,5162,-0.187
GoalBrain_4_2,1.226,492.235,8.881,5168,-0.174
GoalBrain_4_2,1.137,502.840,8.388,5151,-0.156
GoalBrain_4_2,1.152,513.424,8.348,5154,-0.144
GoalBrain_4_2,1.133,523.301,7.735,5126,-0.136
GoalBrain_4_2,1.081,533.461,8.097,5150,-0.122
GoalBrain_4_2,1.056,543.506,8.005,5156,-0.115
GoalBrain_4_2,1.156,553.669,8.047,5159,-0.107
GoalBrain_4_2,1.291,564.029,8.116,5154,-0.096
GoalBrain_4_2,1.144,574.912,8.657,5123,-0.091
GoalBrain_4_2,1.181,585.503,8.390,5143,-0.087
GoalBrain_4_2,1.029,595.842,8.298,5146,-0.081
GoalBrain_4_2,1.043,605.891,8.048,5179,-0.075
GoalBrain_4_2,1.068,616.171,8.198,5168,-0.063
GoalBrain_4_2,1.141,626.700,8.363,5124,-0.046
GoalBrain_4_2,1.068,636.779,8.098,5128,-0.039
GoalBrain_4_2,1.091,647.335,8.380,5138,-0.031
GoalBrain_4_2,1.055,657.455,8.064,5146,-0.023
GoalBrain_4_2,1.122,667.683,8.150,5180,-0.017
GoalBrain_4_2,1.072,677.818,8.075,5148,-0.012
GoalBrain_4_2,1.138,687.950,8.028,5149,-0.007
GoalBrain_4_2,1.082,697.962,7.995,5148,-0.006
GoalBrain_4_2,1.072,708.388,8.346,5161,0.004
GoalBrain_4_2,1.095,718.680,8.201,5133,0.009
GoalBrain_4_2,1.074,728.888,8.140,5164,0.017
GoalBrain_4_2,1.069,739.174,8.190,5132,0.022
GoalBrain_4_2,1.060,749.087,7.894,5145,0.026
GoalBrain_4_2,1.048,759.107,8.013,5122,0.032
GoalBrain_4_2,1.078,769.191,8.007,5133,0.037
GoalBrain_4_2,1.042,779.158,7.970,5135,0.042
GoalBrain_4_2,1.081,789.379,7.969,5132,0.045
GoalBrain_4_2,1.153,799.667,8.136,5135,0.051
GoalBrain_4_2,1.203,809.759,8.024,5183,0.052
GoalBrain_4_2,1.154,819.842,7.936,5176,0.053
GoalBrain_4_2,1.305,830.458,8.248,5142,0.054
GoalBrain_4_2,1.233,840.904,8.183,5126,0.060
GoalBrain_4_2,1.207,851.690,8.451,5163,0.063
GoalBrain_4_2,1.164,861.785,7.916,5146,0.068
GoalBrain_4_2,1.041,872.257,8.384,5184,0.072
GoalBrain_4_2,1.060,882.690,8.381,5170,0.079
GoalBrain_4_2,1.098,892.839,8.090,5148,0.082
GoalBrain_4_2,1.035,902.720,7.885,5148,0.090
GoalBrain_4_2,1.075,912.809,8.073,5132,0.093
GoalBrain_4_2,1.169,923.466,8.407,5145,0.099
GoalBrain_4_2,1.173,933.632,7.998,5123,0.102
GoalBrain_4_2,1.116,943.797,8.032,5121,0.107
GoalBrain_4_2,1.130,953.683,7.790,5182,0.110
GoalBrain_4_2,1.114,963.624,7.806,5121,0.115
GoalBrain_4_2,1.094,973.881,8.126,5162,0.119
GoalBrain_4_2,1.435,984.939,8.526,5156,0.122
GoalBrain_4_2,1.124,996.075,8.884,5184,0.129
GoalBrain_4_2,1.091,1006.329,8.166,5149,0.131
GoalBrain_4_2,1.112,1016.400,7.952,5182,0.134
GoalBrain_4_2,1.105,1026.412,7.875,5158,0.139
GoalBrain_4_2,1.102,1036.592,8.066,5132,0.140
GoalBrain_4_2,1.120,1046.698,7.989,5124,0.146
GoalBrain_4_2,1.060,1056.712,7.969,5174,0.149
GoalBrain_4_2,1.062,1066.962,8.176,5140,0.152
GoalBrain_4_2,1.027,1077.139,8.147,5123,0.156
GoalBrain_4_2,1.125,1087.208,7.978,5133,0.159
GoalBrain_4_2,1.091,1097.296,8.078,5159,0.164
GoalBrain_4_2,1.056,1107.200,7.890,5123,0.166
GoalBrain_4_2,1.195,1117.815,8.342,5122,0.169
GoalBrain_4_2,1.111,1128.714,8.688,5127,0.175
GoalBrain_4_2,1.048,1138.761,8.046,5149,0.176
GoalBrain_4_2,1.077,1149.063,8.222,5123,0.179
GoalBrain_4_2,1.102,1159.249,8.106,5215,0.185
GoalBrain_4_2,1.061,1169.811,8.505,5168,0.188
GoalBrain_4_2,1.046,1179.841,8.031,5147,0.189
GoalBrain_4_2,1.038,1190.211,8.141,5144,0.190
GoalBrain_4_2,1.045,1200.215,8.013,5123,0.187
GoalBrain_4_2,1.065,1210.349,8.110,5137,0.186
GoalBrain_4_2,1.094,1220.637,8.181,5156,0.186
GoalBrain_4_2,1.159,1230.829,8.051,5164,0.189
GoalBrain_4_2,1.130,1241.260,8.286,5164,0.189
GoalBrain_4_2,1.320,1251.885,8.250,5170,0.189
GoalBrain_4_2,1.138,1262.864,8.701,5132,0.189
GoalBrain_4_2,1.142,1273.144,8.109,5139,0.188
GoalBrain_4_2,1.139,1283.287,8.001,5146,0.188
GoalBrain_4_2,1.089,1293.916,8.504,5141,0.191
GoalBrain_4_2,1.060,1304.025,8.078,5125,0.192
GoalBrain_4_2,1.076,1314.265,8.181,5163,0.191
GoalBrain_4_2,1.076,1324.524,8.217,5142,0.192
GoalBrain_4_2,1.055,1334.678,8.134,5143,0.193
GoalBrain_4_2,1.189,1345.160,8.261,5140,0.193
GoalBrain_4_2,1.143,1355.551,8.232,5137,0.192
GoalBrain_4_2,1.048,1365.610,8.030,5129,0.196
GoalBrain_4_2,1.052,1375.857,8.233,5146,0.197
GoalBrain_4_2,1.082,1386.045,8.106,5142,0.200
GoalBrain_4_2,1.042,1396.075,8.036,5140,0.203
GoalBrain_4_2,1.040,1406.052,7.990,5184,0.203
GoalBrain_4_2,1.068,1416.336,8.221,5178,0.205
GoalBrain_4_2,1.117,1426.968,8.430,5157,0.207
GoalBrain_4_2,1.128,1437.178,8.080,5133,0.209
GoalBrain_4_2,1.098,1447.297,8.033,5171,0.209
GoalBrain_4_2,1.133,1457.534,8.094,5155,0.210
GoalBrain_4_2,1.132,1467.642,8.002,5126,0.212
GoalBrain_4_2,1.044,1477.852,8.163,5127,0.216
GoalBrain_4_2,1.071,1487.875,8.017,5147,0.219
GoalBrain_4_2,1.076,1498.187,8.256,5174,0.218
GoalBrain_4_2,1.170,1508.467,8.127,5142,0.220
GoalBrain_4_2,1.138,1518.670,8.103,5172,0.221
GoalBrain_4_2,1.147,1528.930,8.114,5195,0.222
GoalBrain_4_2,1.110,1539.092,8.057,5136,0.224
GoalBrain_4_2,1.122,1549.376,8.174,5129,0.226
GoalBrain_4_2,1.147,1559.521,8.021,5177,0.228
GoalBrain_4_2,1.123,1570.453,8.690,5155,0.229
GoalBrain_4_2,1.152,1581.084,8.266,5182,0.230
GoalBrain_4_2,1.140,1591.146,7.955,5139,0.230
GoalBrain_4_2,1.163,1601.845,8.481,5177,0.232
GoalBrain_4_2,1.140,1612.312,8.292,5185,0.235
GoalBrain_4_2,1.156,1622.784,8.306,5132,0.237
GoalBrain_4_2,1.111,1633.157,8.232,5147,0.237
GoalBrain_4_2,1.151,1643.281,8.001,5140,0.239
GoalBrain_4_2,1.151,1653.595,8.181,5130,0.239
GoalBrain_4_2,1.242,1664.553,8.636,5172,0.240
GoalBrain_4_2,1.114,1675.235,8.514,5148,0.242
GoalBrain_4_2,1.133,1685.996,8.530,5173,0.242
GoalBrain_4_2,1.191,1696.528,8.260,5143,0.243
GoalBrain_4_2,1.151,1707.199,8.470,5178,0.244
GoalBrain_4_2,1.200,1718.150,8.637,5181,0.245
GoalBrain_4_2,1.159,1728.949,8.551,5160,0.245
GoalBrain_4_2,1.114,1739.275,8.218,5129,0.247
GoalBrain_4_2,1.081,1749.581,8.230,5148,0.248
GoalBrain_4_2,1.145,1760.551,8.745,5162,0.249
GoalBrain_4_2,1.311,1770.890,8.095,5152,0.250
GoalBrain_4_2,1.168,1781.825,8.692,5183,0.252
GoalBrain_4_2,1.124,1792.243,8.288,5145,0.254
GoalBrain_4_2,1.083,1802.517,8.186,5155,0.255
GoalBrain_4_2,1.122,1813.190,8.491,5143,0.257
GoalBrain_4_2,1.116,1823.503,8.197,5150,0.258
GoalBrain_4_2,1.170,1834.165,8.437,5172,0.258
GoalBrain_4_2,1.080,1844.843,8.580,5164,0.259
GoalBrain_4_2,1.089,1854.854,7.993,5144,0.260
GoalBrain_4_2,1.157,1865.314,8.285,5181,0.261
GoalBrain_4_2,1.128,1875.591,8.147,5138,0.262
GoalBrain_4_2,1.058,1885.973,8.320,5178,0.263
GoalBrain_4_2,1.081,1896.147,8.130,5166,0.264
GoalBrain_4_2,1.063,1906.237,8.057,5134,0.265
GoalBrain_4_2,1.098,1916.563,8.217,5197,0.266
GoalBrain_4_2,1.072,1926.910,8.244,5177,0.268
GoalBrain_4_2,1.103,1937.045,8.045,5157,0.269
GoalBrain_4_2,1.074,1947.246,8.153,5132,0.270
GoalBrain_4_2,1.139,1957.592,8.216,5150,0.271
GoalBrain_4_2,1.162,1967.686,7.949,5135,0.272
GoalBrain_4_2,1.169,1978.382,8.283,5170,0.273
GoalBrain_4_2,1.198,1988.679,8.080,5164,0.275
GoalBrain_4_2,1.160,1999.166,8.314,5207,0.278
GoalBrain_4_2,1.131,2010.110,8.720,5162,0.278
GoalBrain_4_2,1.106,2020.348,8.185,5174,0.279
GoalBrain_4_2,1.136,2030.906,8.418,5135,0.279
GoalBrain_4_2,1.101,2041.228,8.240,5160,0.280
GoalBrain_4_2,1.130,2051.597,8.252,5155,0.281
GoalBrain_4_2,1.126,2061.927,8.237,5163,0.282
GoalBrain_4_2,1.130,2072.284,8.188,5130,0.283
GoalBrain_4_2,1.119,2082.573,8.150,5185,0.284
GoalBrain_4_2,1.133,2092.762,8.044,5145,0.284
GoalBrain_4_2,1.113,2103.584,8.607,5181,0.286
GoalBrain_4_2,1.098,2114.796,8.985,5168,0.286
GoalBrain_4_2,1.082,2125.140,8.269,5182,0.285
GoalBrain_4_2,1.159,2135.706,8.401,5172,0.286
GoalBrain_4_2,1.193,2146.131,8.227,5182,0.286
GoalBrain_4_2,1.069,2156.315,8.194,5131,0.288
GoalBrain_4_2,1.101,2166.623,8.214,5169,0.288
GoalBrain_4_2,1.113,2177.052,8.313,5125,0.288
GoalBrain_4_2,1.111,2188.036,8.764,5142,0.288
GoalBrain_4_2,1.062,2198.492,8.341,5160,0.288
GoalBrain_4_2,1.088,2208.729,8.165,5169,0.289
GoalBrain_4_2,1.098,2219.080,8.269,5170,0.290
GoalBrain_4_2,1.115,2229.112,7.953,5124,0.289
GoalBrain_4_2,1.041,2239.556,8.392,5130,0.289
GoalBrain_4_2,1.104,2249.583,7.964,5122,0.289
GoalBrain_4_2,1.116,2259.782,8.083,5147,0.289
GoalBrain_4_2,1.092,2270.001,8.122,5173,0.290
GoalBrain_4_2,1.101,2280.371,8.271,5159,0.292
GoalBrain_4_2,1.227,2291.283,8.608,5152,0.293
GoalBrain_4_2,1.082,2301.652,8.294,5177,0.293
GoalBrain_4_2,1.166,2312.041,8.198,5138,0.293
GoalBrain_4_2,1.058,2322.259,8.184,5129,0.293
GoalBrain_4_2,1.088,2332.656,8.293,5142,0.292
GoalBrain_4_2,1.153,2342.918,8.149,5157,0.292
GoalBrain_4_2,1.124,2353.006,8.022,5172,0.292
GoalBrain_4_2,1.105,2363.263,8.173,5175,0.293
GoalBrain_4_2,1.154,2373.476,8.045,5146,0.293
GoalBrain_4_2,1.124,2383.898,8.051,5179,0.293
GoalBrain_4_2,1.125,2394.960,8.834,5133,0.293
GoalBrain_4_2,1.061,2405.096,8.125,5121,0.294
GoalBrain_4_2,1.097,2415.394,8.240,5157,0.294
GoalBrain_4_2,1.099,2426.026,8.523,5149,0.295
GoalBrain_4_2,1.060,2436.881,8.716,5163,0.296
GoalBrain_4_2,1.079,2447.252,8.280,5138,0.296
GoalBrain_4_2,1.135,2457.574,8.225,5165,0.295
GoalBrain_4_2,1.178,2468.321,8.506,5132,0.296
GoalBrain_4_2,1.153,2478.900,8.388,5130,0.297
GoalBrain_4_2,1.137,2489.337,8.254,5144,0.297
GoalBrain_4_2,1.116,2499.510,8.088,5148,0.297
GoalBrain_4_2,1.124,2510.117,8.421,5145,0.299
GoalBrain_4_2,1.206,2521.432,8.921,5181,0.298
GoalBrain_4_2,1.256,2532.625,8.814,5125,0.299
GoalBrain_4_2,1.123,2543.519,8.634,5170,0.298
GoalBrain_4_2,1.136,2554.920,9.091,5176,0.298
GoalBrain_4_2,1.466,2565.927,8.475,5158,0.298
GoalBrain_4_2,1.100,2576.957,8.829,5181,0.298
GoalBrain_4_2,1.157,2587.830,8.623,5162,0.298
GoalBrain_4_2,1.394,2599.484,9.112,5159,0.298
GoalBrain_4_2,1.076,2610.215,8.614,5165,0.299
GoalBrain_4_2,1.219,2620.852,8.408,5162,0.300
GoalBrain_4_2,1.057,2632.097,9.021,5152,0.300
GoalBrain_4_2,1.195,2642.485,8.249,5168,0.300
GoalBrain_4_2,1.069,2653.017,8.446,5152,0.300
GoalBrain_4_2,1.055,2663.126,8.072,5142,0.300
GoalBrain_4_2,1.115,2673.548,8.306,5145,0.300
GoalBrain_4_2,1.185,2684.143,8.363,5179,0.300
GoalBrain_4_2,1.150,2695.168,8.762,5175,0.300
GoalBrain_4_2,1.156,2705.923,8.540,5169,0.300
GoalBrain_4_2,1.132,2716.332,8.274,5127,0.300
GoalBrain_4_2,1.181,2727.071,8.543,5168,0.301
GoalBrain_4_2,1.160,2737.421,8.202,5184,0.301
GoalBrain_4_2,1.059,2747.700,8.225,5150,0.301
GoalBrain_4_2,1.140,2758.043,8.246,5181,0.301
GoalBrain_4_2,1.144,2768.394,8.240,5162,0.301
GoalBrain_4_2,1.068,2778.443,8.030,5162,0.301
GoalBrain_4_2,1.089,2788.786,8.067,5123,0.301
GoalBrain_4_2,1.085,2798.984,8.145,5178,0.301
GoalBrain_4_2,1.105,2809.157,8.132,5146,0.301
GoalBrain_4_2,1.071,2819.473,8.276,5181,0.301
GoalBrain_4_2,1.054,2829.432,7.946,5123,0.300
GoalBrain_4_2,1.077,2839.780,8.266,5180,0.300
GoalBrain_4_2,1.086,2849.992,8.197,5166,0.301
GoalBrain_4_2,1.050,2860.246,8.208,5184,0.300
GoalBrain_4_2,1.061,2870.484,8.219,5155,0.300
