Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,1.376,13.564,9.789,5127,-1.013
GoalBrain_4_2,1.340,25.459,9.384,5123,-1.003
GoalBrain_4_2,1.175,36.706,8.957,5175,-1.003
GoalBrain_4_2,1.248,47.775,8.742,5155,-1.007
GoalBrain_4_2,1.218,58.420,8.405,5153,-1.007
GoalBrain_4_2,1.218,69.041,8.369,5123,-1.001
GoalBrain_4_2,1.304,79.468,8.134,5185,-0.997
GoalBrain_4_2,1.200,90.101,8.382,5177,-0.998
GoalBrain_4_2,1.192,100.265,7.992,5122,-0.988
GoalBrain_4_2,1.316,110.711,8.130,5143,-0.981
GoalBrain_4_2,1.181,121.298,8.374,5126,-0.969
GoalBrain_4_2,1.134,131.486,8.055,5176,-0.967
GoalBrain_4_2,1.315,141.958,8.154,5182,-0.954
GoalBrain_4_2,1.076,152.308,8.246,5136,-0.941
GoalBrain_4_2,1.100,162.754,8.362,5183,-0.919
GoalBrain_4_2,1.293,173.074,8.039,5128,-0.902
GoalBrain_4_2,1.121,183.589,8.358,5160,-0.889
GoalBrain_4_2,1.156,193.850,8.070,5148,-0.880
GoalBrain_4_2,1.301,204.192,8.074,5161,-0.854
GoalBrain_4_2,1.217,214.578,8.158,5127,-0.844
GoalBrain_4_2,1.177,224.739,7.993,5147,-0.810
GoalBrain_4_2,1.240,235.185,8.207,5133,-0.788
GoalBrain_4_2,1.283,246.358,8.797,5185,-0.759
GoalBrain_4_2,1.234,257.705,8.963,5148,-0.727
GoalBrain_4_2,1.209,268.080,8.137,5138,-0.709
GoalBrain_4_2,1.222,278.675,8.321,5175,-0.669
GoalBrain_4_2,1.184,289.029,8.164,5165,-0.639
GoalBrain_4_2,1.306,299.750,8.337,5126,-0.604
GoalBrain_4_2,1.144,310.157,8.254,5159,-0.570
GoalBrain_4_2,1.140,320.617,8.267,5126,-0.526
GoalBrain_4_2,1.099,331.067,8.291,5157,-0.500
GoalBrain_4_2,1.118,341.235,8.062,5127,-0.467
GoalBrain_4_2,1.255,351.776,8.272,5148,-0.437
GoalBrain_4_2,1.142,362.731,8.704,5179,-0.394
GoalBrain_4_2,1.060,373.037,8.261,5164,-0.372
GoalBrain_4_2,1.214,383.499,8.240,5142,-0.344
GoalBrain_4_2,1.142,394.309,8.612,5160,-0.319
GoalBrain_4_2,1.111,404.926,8.454,5163,-0.289
GoalBrain_4_2,1.115,415.667,8.339,5138,-0.269
GoalBrain_4_2,1.116,426.336,8.441,5136,-0.251
GoalBrain_4_2,1.175,436.868,8.309,5183,-0.234
GoalBrain_4_2,1.187,447.263,8.178,5163,-0.225
GoalBrain_4_2,1.118,458.161,8.709,5185,-0.205
GoalBrain_4_2,1.190,468.643,8.264,5177,-0.189
GoalBrain_4_2,1.236,479.457,8.512,5171,-0.171
GoalBrain_4_2,1.093,490.251,8.609,5127,-0.150
GoalBrain_4_2,1.107,500.569,8.223,5161,-0.135
GoalBrain_4_2,1.111,511.136,8.430,5121,-0.120
GoalBrain_4_2,1.216,521.690,8.318,5142,-0.105
GoalBrain_4_2,1.195,532.206,8.273,5176,-0.091
GoalBrain_4_2,1.246,543.013,8.491,5141,-0.071
GoalBrain_4_2,1.195,553.500,8.294,5182,-0.060
GoalBrain_4_2,1.205,563.853,8.119,5143,-0.051
GoalBrain_4_2,1.188,574.335,8.289,5176,-0.045
GoalBrain_4_2,1.189,585.059,8.507,5168,-0.036
GoalBrain_4_2,1.204,595.634,8.354,5144,-0.028
GoalBrain_4_2,1.188,606.112,8.267,5146,-0.022
GoalBrain_4_2,1.255,616.788,8.397,5130,-0.011
GoalBrain_4_2,1.102,627.306,8.358,5135,0.001
GoalBrain_4_2,1.239,637.971,8.346,5145,0.011
GoalBrain_4_2,1.055,648.293,8.263,5130,0.018
GoalBrain_4_2,1.062,658.736,8.346,5164,0.026
GoalBrain_4_2,1.207,669.438,8.417,5133,0.034
GoalBrain_4_2,1.176,680.000,8.346,5126,0.046
GoalBrain_4_2,1.163,690.545,8.367,5148,0.052
GoalBrain_4_2,1.134,701.208,8.442,5155,0.061
GoalBrain_4_2,1.182,711.770,8.348,5123,0.065
GoalBrain_4_2,1.170,722.227,8.272,5126,0.074
GoalBrain_4_2,1.163,732.909,8.467,5140,0.083
GoalBrain_4_2,1.182,743.119,8.084,5126,0.088
GoalBrain_4_2,1.147,753.506,8.241,5178,0.089
GoalBrain_4_2,1.090,763.881,8.257,5133,0.095
GoalBrain_4_2,1.095,774.174,8.195,5126,0.099
GoalBrain_4_2,1.170,784.557,8.182,5128,0.103
GoalBrain_4_2,1.179,795.180,8.401,5166,0.106
GoalBrain_4_2,1.185,805.434,8.071,5157,0.110
GoalBrain_4_2,1.256,816.297,8.341,5163,0.112
GoalBrain_4_2,1.235,826.782,8.226,5153,0.119
GoalBrain_4_2,1.174,837.339,8.309,5181,0.126
GoalBrain_4_2,1.167,847.774,8.245,5135,0.133
GoalBrain_4_2,1.080,858.295,8.435,5141,0.137
GoalBrain_4_2,1.150,868.671,8.249,5146,0.141
GoalBrain_4_2,1.181,878.888,8.053,5126,0.145
GoalBrain_4_2,1.174,889.296,8.203,5183,0.148
GoalBrain_4_2,1.307,899.763,8.159,5143,0.154
GoalBrain_4_2,1.166,910.411,8.450,5173,0.161
GoalBrain_4_2,1.184,920.951,8.319,5160,0.167
GoalBrain_4_2,1.216,931.777,8.526,5149,0.173
GoalBrain_4_2,1.264,942.768,8.657,5121,0.176
GoalBrain_4_2,1.190,953.496,8.499,5153,0.178
GoalBrain_4_2,1.208,964.330,8.572,5149,0.180
GoalBrain_4_2,1.198,974.972,8.403,5151,0.182
GoalBrain_4_2,1.238,985.760,8.464,5136,0.181
GoalBrain_4_2,1.246,996.483,8.411,5128,0.184
GoalBrain_4_2,1.159,1006.975,8.266,5153,0.185
GoalBrain_4_2,1.141,1017.554,8.412,5179,0.185
GoalBrain_4_2,1.055,1028.094,8.435,5122,0.187
GoalBrain_4_2,1.156,1038.392,8.174,5135,0.186
GoalBrain_4_2,1.206,1048.885,8.288,5201,0.185
GoalBrain_4_2,1.207,1059.471,8.347,5147,0.185
GoalBrain_4_2,1.296,1070.380,8.561,5123,0.189
GoalBrain_4_2,1.198,1081.197,8.577,5130,0.192
GoalBrain_4_2,1.171,1091.973,8.551,5132,0.197
GoalBrain_4_2,1.400,1102.939,8.545,5136,0.199
GoalBrain_4_2,1.215,1113.566,8.367,5175,0.201
GoalBrain_4_2,1.174,1124.179,8.429,5128,0.203
GoalBrain_4_2,1.220,1134.901,8.437,5131,0.208
GoalBrain_4_2,1.195,1145.485,8.402,5155,0.208
GoalBrain_4_2,1.182,1156.126,8.399,5170,0.210
GoalBrain_4_2,1.237,1166.822,8.415,5229,0.211
GoalBrain_4_2,1.202,1177.414,8.347,5141,0.211
GoalBrain_4_2,1.086,1187.753,8.256,5153,0.211
GoalBrain_4_2,1.061,1198.258,8.411,5158,0.211
GoalBrain_4_2,1.088,1208.903,8.498,5130,0.213
GoalBrain_4_2,1.155,1219.422,8.300,5172,0.213
GoalBrain_4_2,1.052,1230.344,8.594,5151,0.214
GoalBrain_4_2,1.209,1240.948,8.384,5129,0.214
GoalBrain_4_2,1.238,1251.546,8.312,5127,0.217
GoalBrain_4_2,1.275,1262.417,8.558,5137,0.217
GoalBrain_4_2,1.200,1272.921,8.287,5139,0.217
GoalBrain_4_2,1.183,1283.438,8.336,5124,0.218
GoalBrain_4_2,1.154,1293.931,8.323,5161,0.218
GoalBrain_4_2,1.127,1304.494,8.423,5137,0.220
GoalBrain_4_2,1.136,1314.994,8.351,5160,0.219
GoalBrain_4_2,1.276,1325.732,8.374,5155,0.220
GoalBrain_4_2,1.178,1336.394,8.427,5180,0.221
GoalBrain_4_2,1.180,1346.914,8.345,5168,0.222
