Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,1.330,14.285,10.264,5138,-0.995
GoalBrain_4_2,1.383,27.280,10.275,5124,-0.990
GoalBrain_4_2,1.465,39.409,9.441,5127,-1.005
GoalBrain_4_2,1.402,50.692,8.779,5142,-0.994
GoalBrain_4_2,1.156,61.803,8.807,5134,-0.977
GoalBrain_4_2,1.445,73.207,8.835,5172,-0.967
GoalBrain_4_2,1.338,84.051,8.458,5129,-0.959
GoalBrain_4_2,1.365,94.963,8.453,5121,-0.952
GoalBrain_4_2,1.391,105.822,8.373,5175,-0.942
GoalBrain_4_2,1.367,116.654,8.416,5167,-0.927
GoalBrain_4_2,1.255,127.454,8.485,5184,-0.923
GoalBrain_4_2,1.205,138.353,8.604,5168,-0.888
GoalBrain_4_2,1.157,148.790,8.224,5135,-0.868
GoalBrain_4_2,1.397,159.722,8.465,5160,-0.856
GoalBrain_4_2,1.255,170.687,8.635,5133,-0.824
GoalBrain_4_2,1.448,181.425,8.278,5127,-0.791
GoalBrain_4_2,1.327,192.317,8.486,5125,-0.755
GoalBrain_4_2,1.368,203.296,8.513,5142,-0.715
GoalBrain_4_2,1.319,214.348,8.662,5129,-0.670
GoalBrain_4_2,1.222,225.291,8.647,5126,-0.603
GoalBrain_4_2,1.202,236.029,8.472,5172,-0.566
GoalBrain_4_2,1.180,246.881,8.582,5182,-0.518
GoalBrain_4_2,1.141,258.076,8.906,5180,-0.468
GoalBrain_4_2,1.236,268.954,8.575,5130,-0.443
GoalBrain_4_2,1.284,279.959,8.627,5122,-0.409
GoalBrain_4_2,1.379,291.098,8.649,5184,-0.373
GoalBrain_4_2,1.316,301.967,8.496,5149,-0.342
GoalBrain_4_2,1.438,312.854,8.378,5124,-0.311
GoalBrain_4_2,1.193,323.915,8.771,5143,-0.281
GoalBrain_4_2,1.113,334.703,8.605,5132,-0.248
GoalBrain_4_2,1.439,345.670,8.461,5129,-0.224
GoalBrain_4_2,1.290,356.751,8.716,5134,-0.206
GoalBrain_4_2,1.335,367.936,8.727,5134,-0.172
GoalBrain_4_2,1.270,379.152,8.836,5147,-0.151
GoalBrain_4_2,1.342,389.739,8.231,5127,-0.134
GoalBrain_4_2,1.113,400.923,8.955,5135,-0.111
GoalBrain_4_2,1.208,412.014,8.750,5185,-0.094
GoalBrain_4_2,1.302,422.867,8.509,5133,-0.076
GoalBrain_4_2,1.438,434.415,8.752,5154,-0.058
