Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,1.244,13.038,9.161,5124,-0.994
GoalBrain_4_2,1.319,24.838,9.288,5139,-0.999
GoalBrain_4_2,1.223,36.106,8.917,5153,-1.006
GoalBrain_4_2,1.261,47.296,8.840,5137,-0.990
GoalBrain_4_2,1.183,58.182,8.611,5143,-0.994
GoalBrain_4_2,1.194,69.189,8.726,5159,-0.976
GoalBrain_4_2,1.114,79.714,8.361,5132,-0.959
GoalBrain_4_2,1.199,90.605,8.587,5145,-0.940
GoalBrain_4_2,1.193,101.428,8.538,5159,-0.914
GoalBrain_4_2,1.370,112.613,8.705,5172,-0.879
GoalBrain_4_2,1.173,123.427,8.599,5178,-0.829
GoalBrain_4_2,1.121,134.370,8.717,5180,-0.813
GoalBrain_4_2,1.148,145.157,8.547,5130,-0.774
GoalBrain_4_2,1.290,156.161,8.611,5173,-0.700
GoalBrain_4_2,1.228,167.137,8.632,5142,-0.642
GoalBrain_4_2,1.125,178.100,8.713,5128,-0.595
GoalBrain_4_2,1.209,188.822,8.418,5183,-0.552
GoalBrain_4_2,1.180,199.760,8.671,5171,-0.497
GoalBrain_4_2,1.173,210.655,8.642,5131,-0.459
GoalBrain_4_2,1.142,221.423,8.567,5142,-0.419
GoalBrain_4_2,1.191,232.390,8.689,5167,-0.372
GoalBrain_4_2,1.180,243.401,8.761,5182,-0.361
GoalBrain_4_2,1.092,254.130,8.574,5131,-0.343
GoalBrain_4_2,1.189,265.088,8.700,5156,-0.331
GoalBrain_4_2,1.186,276.009,8.646,5134,-0.295
GoalBrain_4_2,1.103,286.553,8.390,5145,-0.279
GoalBrain_4_2,1.158,297.650,8.840,5170,-0.270
GoalBrain_4_2,1.175,308.338,8.456,5124,-0.248
GoalBrain_4_2,1.062,319.085,8.585,5122,-0.225
GoalBrain_4_2,1.156,330.079,8.718,5134,-0.202
GoalBrain_4_2,1.138,340.707,8.430,5135,-0.188
GoalBrain_4_2,1.121,351.575,8.668,5172,-0.174
GoalBrain_4_2,1.173,362.524,8.702,5137,-0.162
GoalBrain_4_2,1.298,373.435,8.566,5165,-0.146
GoalBrain_4_2,1.077,384.226,8.669,5150,-0.129
GoalBrain_4_2,1.175,395.113,8.643,5146,-0.117
GoalBrain_4_2,1.290,405.966,8.517,5182,-0.108
GoalBrain_4_2,1.083,416.821,8.721,5175,-0.093
GoalBrain_4_2,1.068,428.057,8.836,5154,-0.076
GoalBrain_4_2,1.249,438.761,8.412,5142,-0.069
GoalBrain_4_2,1.134,449.437,8.477,5130,-0.056
GoalBrain_4_2,1.108,460.404,8.747,5135,-0.042
GoalBrain_4_2,1.175,471.037,8.387,5149,-0.033
GoalBrain_4_2,1.069,481.790,8.615,5125,-0.023
GoalBrain_4_2,1.156,492.790,8.734,5166,-0.013
GoalBrain_4_2,1.165,503.623,8.585,5150,-0.002
GoalBrain_4_2,1.073,514.381,8.603,5149,0.011
GoalBrain_4_2,1.182,525.144,8.555,5154,0.021
GoalBrain_4_2,1.176,535.952,8.535,5136,0.028
GoalBrain_4_2,1.099,546.748,8.608,5131,0.032
GoalBrain_4_2,1.163,557.463,8.511,5139,0.044
GoalBrain_4_2,1.135,568.332,8.652,5141,0.051
GoalBrain_4_2,1.165,579.017,8.469,5136,0.058
GoalBrain_4_2,1.196,589.933,8.655,5164,0.064
GoalBrain_4_2,1.099,600.742,8.640,5123,0.075
GoalBrain_4_2,1.171,611.538,8.555,5150,0.080
GoalBrain_4_2,1.143,622.458,8.706,5212,0.084
GoalBrain_4_2,1.158,633.168,8.555,5149,0.088
GoalBrain_4_2,1.163,644.065,8.643,5145,0.092
GoalBrain_4_2,1.315,655.108,8.641,5146,0.093
GoalBrain_4_2,1.147,666.016,8.696,5131,0.097
GoalBrain_4_2,1.194,676.806,8.572,5162,0.099
GoalBrain_4_2,1.150,687.741,8.709,5167,0.099
GoalBrain_4_2,1.138,698.432,8.504,5126,0.104
GoalBrain_4_2,1.174,709.249,8.568,5253,0.110
GoalBrain_4_2,1.161,720.267,8.771,5141,0.112
GoalBrain_4_2,1.154,731.046,8.544,5125,0.114
GoalBrain_4_2,1.213,741.838,8.503,5158,0.116
GoalBrain_4_2,1.126,752.756,8.715,5173,0.120
GoalBrain_4_2,1.175,763.615,8.652,5148,0.125
GoalBrain_4_2,1.159,774.553,8.714,5145,0.132
GoalBrain_4_2,1.097,785.205,8.477,5230,0.136
GoalBrain_4_2,1.120,796.036,8.614,5153,0.139
GoalBrain_4_2,1.199,806.741,8.460,5162,0.144
GoalBrain_4_2,1.163,817.596,8.640,5124,0.150
GoalBrain_4_2,1.106,828.332,8.575,5135,0.155
GoalBrain_4_2,1.122,839.335,8.556,5171,0.157
GoalBrain_4_2,1.087,850.118,8.647,5137,0.163
GoalBrain_4_2,1.179,860.817,8.454,5123,0.166
GoalBrain_4_2,1.151,871.503,8.465,5128,0.171
GoalBrain_4_2,1.170,882.328,8.564,5165,0.171
GoalBrain_4_2,1.082,893.295,8.825,5140,0.174
GoalBrain_4_2,1.027,904.123,8.678,5126,0.176
GoalBrain_4_2,0.905,913.677,7.744,5135,0.177
GoalBrain_4_2,0.992,923.349,7.785,5184,0.177
GoalBrain_4_2,0.996,932.961,7.717,5170,0.179
GoalBrain_4_2,0.944,942.565,7.751,5151,0.184
GoalBrain_4_2,0.970,952.244,7.787,5138,0.187
GoalBrain_4_2,1.021,961.718,7.539,5141,0.187
GoalBrain_4_2,0.996,971.358,7.736,5162,0.192
GoalBrain_4_2,0.972,980.918,7.685,5125,0.196
GoalBrain_4_2,0.920,990.341,7.614,5164,0.199
GoalBrain_4_2,0.996,1000.058,7.801,5161,0.201
GoalBrain_4_2,0.992,1009.602,7.651,5148,0.205
GoalBrain_4_2,0.968,1019.186,7.727,5172,0.207
GoalBrain_4_2,0.927,1028.782,7.724,5159,0.209
GoalBrain_4_2,0.966,1038.178,7.557,5160,0.211
GoalBrain_4_2,0.991,1047.678,7.632,5158,0.213
GoalBrain_4_2,0.997,1057.462,7.874,5145,0.215
GoalBrain_4_2,0.977,1066.929,7.584,5144,0.219
GoalBrain_4_2,0.966,1076.567,7.775,5143,0.222
GoalBrain_4_2,1.106,1086.161,7.563,5154,0.225
GoalBrain_4_2,0.996,1095.671,7.615,5155,0.226
GoalBrain_4_2,0.950,1105.314,7.811,5164,0.227
GoalBrain_4_2,0.900,1114.655,7.550,5134,0.231
GoalBrain_4_2,0.986,1124.294,7.730,5127,0.233
GoalBrain_4_2,0.990,1133.821,7.689,5139,0.237
GoalBrain_4_2,1.009,1143.532,7.760,5139,0.240
GoalBrain_4_2,1.006,1152.987,7.551,5154,0.241
GoalBrain_4_2,0.941,1162.453,7.668,5137,0.243
GoalBrain_4_2,0.958,1172.113,7.761,5149,0.246
GoalBrain_4_2,0.996,1181.617,7.622,5139,0.250
GoalBrain_4_2,1.008,1191.059,7.545,5149,0.251
GoalBrain_4_2,1.005,1200.707,7.730,5136,0.253
GoalBrain_4_2,1.018,1210.497,7.853,5178,0.255
GoalBrain_4_2,0.983,1220.186,7.595,5142,0.258
GoalBrain_4_2,0.975,1229.764,7.685,5182,0.260
GoalBrain_4_2,1.009,1239.299,7.622,5133,0.263
GoalBrain_4_2,0.947,1248.838,7.674,5122,0.266
GoalBrain_4_2,0.941,1258.373,7.684,5171,0.270
GoalBrain_4_2,0.999,1268.277,7.979,5148,0.273
GoalBrain_4_2,0.932,1278.040,7.919,5158,0.275
GoalBrain_4_2,1.007,1287.865,7.925,5184,0.279
GoalBrain_4_2,1.014,1297.542,7.788,5154,0.276
GoalBrain_4_2,1.032,1307.276,7.806,5172,0.276
