Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,3.158,32.151,23.426,5166,-1.050
GoalBrain_4,3.049,60.696,21.655,5164,-1.083
GoalBrain_4,3.069,88.691,21.216,5135,-1.094
GoalBrain_4,3.073,116.321,20.967,5151,-1.118
GoalBrain_4,3.071,144.197,21.099,5216,-1.104
GoalBrain_4,3.137,171.596,20.597,5153,-1.114
GoalBrain_4,3.140,199.140,20.784,5225,-1.132
GoalBrain_4,3.134,227.234,21.518,5185,-1.121
GoalBrain_4,3.050,255.370,21.307,5182,-1.061
GoalBrain_4,3.066,283.397,20.983,5138,-1.018
GoalBrain_4,3.173,311.483,21.103,5192,-0.917
GoalBrain_4,3.396,342.229,23.076,5176,-0.766
GoalBrain_4,3.416,371.284,21.739,5127,-0.594
GoalBrain_4,3.307,399.796,21.409,5200,-0.525
GoalBrain_4,3.568,429.982,22.567,5132,-0.461
GoalBrain_4,3.597,462.123,24.080,5206,-0.395
GoalBrain_4,3.934,492.670,22.509,5169,-0.324
GoalBrain_4,3.376,522.651,22.429,5230,-0.261
GoalBrain_4,3.040,552.224,22.492,5218,-0.198
GoalBrain_4,3.776,582.526,22.317,5144,-0.154
GoalBrain_4,3.157,612.269,22.443,5172,-0.122
GoalBrain_4,3.133,640.405,21.267,5145,-0.096
GoalBrain_4,3.121,668.396,21.051,5143,-0.064
GoalBrain_4,3.066,697.667,22.094,5147,-0.040
GoalBrain_4,3.148,725.889,21.375,5168,-0.016
GoalBrain_4,3.094,753.930,21.285,5145,0.012
GoalBrain_4,3.371,781.755,20.812,5126,0.033
GoalBrain_4,3.076,809.284,20.768,5166,0.059
GoalBrain_4,3.081,837.091,20.781,5121,0.077
GoalBrain_4,3.122,864.893,20.994,5171,0.092
GoalBrain_4,3.018,892.390,20.768,5128,0.112
GoalBrain_4,3.352,920.196,20.787,5154,0.131
GoalBrain_4,3.167,948.703,21.552,5204,0.148
GoalBrain_4,3.777,980.452,23.951,5174,0.166
GoalBrain_4,3.183,1009.180,21.825,5227,0.176
GoalBrain_4,3.238,1037.182,21.129,5155,0.190
GoalBrain_4,3.105,1065.517,21.557,5246,0.197
GoalBrain_4,3.116,1093.382,21.115,5137,0.208
GoalBrain_4,3.173,1121.410,21.025,5124,0.218
GoalBrain_4,3.121,1149.535,21.288,5148,0.233
GoalBrain_4,3.142,1177.835,21.362,5176,0.244
GoalBrain_4,3.037,1206.635,22.040,5219,0.253
GoalBrain_4,3.157,1235.384,21.982,5207,0.253
GoalBrain_4,3.359,1263.856,21.477,5150,0.254
GoalBrain_4,3.092,1292.524,21.888,5201,0.259
GoalBrain_4,3.090,1321.613,22.185,5224,0.264
GoalBrain_4,3.068,1350.293,21.944,5219,0.269
GoalBrain_4,3.122,1378.941,21.655,5142,0.276
GoalBrain_4,3.062,1407.580,21.851,5167,0.277
GoalBrain_4,3.074,1436.038,21.754,5140,0.279
GoalBrain_4,3.158,1465.432,22.384,5225,0.289
GoalBrain_4,3.231,1494.520,22.102,5132,0.292
GoalBrain_4,3.081,1523.057,21.815,5126,0.296
GoalBrain_4,3.358,1551.956,21.983,5166,0.300
GoalBrain_4,3.174,1580.328,21.700,5129,0.303
GoalBrain_4,3.091,1609.973,22.684,5232,0.308
GoalBrain_4,3.195,1638.108,21.468,5129,0.307
GoalBrain_4,3.249,1667.472,22.037,5126,0.311
GoalBrain_4,3.117,1696.243,22.019,5130,0.314
GoalBrain_4,3.130,1725.205,22.055,5142,0.320
GoalBrain_4,3.193,1754.479,22.295,5223,0.326
GoalBrain_4,3.155,1783.661,22.284,5138,0.330
GoalBrain_4,3.242,1812.851,22.267,5152,0.337
GoalBrain_4,3.447,1842.161,22.155,5146,0.341
GoalBrain_4,3.157,1870.585,21.819,5138,0.342
GoalBrain_4,3.132,1899.344,22.069,5134,0.342
GoalBrain_4,3.216,1928.661,22.299,5188,0.344
GoalBrain_4,3.253,1958.473,22.423,5249,0.348
GoalBrain_4,3.062,1987.412,22.317,5247,0.351
GoalBrain_4,3.444,2018.225,23.257,5217,0.351
GoalBrain_4,3.363,2048.998,23.260,5197,0.353
GoalBrain_4,3.270,2079.672,23.298,5211,0.356
GoalBrain_4,3.200,2109.491,22.677,5178,0.359
GoalBrain_4,3.158,2139.112,22.527,5147,0.363
GoalBrain_4,3.296,2168.805,22.443,5130,0.365
GoalBrain_4,3.180,2198.222,22.391,5131,0.369
GoalBrain_4,3.375,2228.668,22.917,5247,0.372
GoalBrain_4,3.133,2256.821,21.473,5122,0.372
GoalBrain_4,3.157,2285.859,22.151,5249,0.374
GoalBrain_4,3.081,2313.685,21.672,5223,0.374
GoalBrain_4,3.181,2342.287,21.823,5131,0.374
GoalBrain_4,3.237,2372.399,22.975,5199,0.374
GoalBrain_4,3.162,2402.702,23.179,5188,0.376
GoalBrain_4,3.088,2432.098,22.338,5147,0.378
GoalBrain_4,3.097,2460.695,21.850,5186,0.378
GoalBrain_4,3.074,2488.551,21.652,5133,0.376
GoalBrain_4,3.337,2517.521,21.923,5142,0.377
GoalBrain_4,3.074,2546.388,22.131,5194,0.376
GoalBrain_4,3.136,2575.455,22.187,5163,0.376
GoalBrain_4,3.227,2604.580,22.266,5192,0.378
GoalBrain_4,3.082,2633.684,22.237,5210,0.380
GoalBrain_4,3.119,2661.871,21.728,5185,0.377
GoalBrain_4,3.393,2691.272,22.426,5181,0.379
GoalBrain_4,3.147,2721.599,23.129,5249,0.379
GoalBrain_4,3.167,2750.862,22.360,5210,0.382
GoalBrain_4,3.249,2780.656,22.532,5195,0.385
GoalBrain_4,3.162,2809.585,22.090,5171,0.388
GoalBrain_4,3.338,2837.661,21.657,5208,0.389
GoalBrain_4,3.116,2865.858,21.616,5146,0.388
GoalBrain_4,3.285,2895.107,22.172,5165,0.390
GoalBrain_4,3.128,2924.017,22.345,5195,0.391
GoalBrain_4,3.176,2952.959,22.040,5136,0.393
GoalBrain_4,3.245,2982.305,22.335,5189,0.392
GoalBrain_4,3.206,3011.519,22.312,5166,0.394
GoalBrain_4,3.125,3040.492,22.078,5188,0.397
GoalBrain_4,3.299,3070.298,22.373,5139,0.398
GoalBrain_4,3.276,3100.627,23.090,5247,0.403
GoalBrain_4,3.252,3130.443,22.578,5121,0.404
GoalBrain_4,3.559,3160.312,22.415,5126,0.406
GoalBrain_4,3.092,3188.753,22.190,5160,0.406
GoalBrain_4,3.229,3216.251,21.494,5180,0.401
GoalBrain_4,3.188,3245.300,22.178,5130,0.402
GoalBrain_4,3.154,3274.569,22.379,5247,0.401
GoalBrain_4,3.116,3303.441,22.137,5140,0.401
GoalBrain_4,3.214,3332.894,22.687,5247,0.402
GoalBrain_4,3.278,3361.920,22.108,5168,0.401
GoalBrain_4,3.084,3390.851,22.180,5206,0.403
GoalBrain_4,3.243,3418.776,21.787,5205,0.400
GoalBrain_4,3.312,3446.935,21.530,5124,0.400
GoalBrain_4,3.192,3475.751,21.925,5164,0.402
GoalBrain_4,3.159,3504.269,22.175,5229,0.402
GoalBrain_4,3.136,3533.028,22.277,5204,0.399
GoalBrain_4,3.091,3562.114,22.417,5224,0.401
GoalBrain_4,3.105,3591.466,22.600,5225,0.403
GoalBrain_4,3.152,3620.327,22.051,5134,0.403
GoalBrain_4,3.103,3648.476,21.621,5134,0.402
GoalBrain_4,3.115,3677.062,22.161,5185,0.402
GoalBrain_4,3.199,3704.713,21.786,5160,0.402
GoalBrain_4,3.160,3732.869,21.994,5121,0.396
GoalBrain_4,3.344,3762.870,22.966,5248,0.397
GoalBrain_4,3.190,3793.183,23.127,5185,0.398
GoalBrain_4,3.287,3821.803,21.992,5133,0.398
GoalBrain_4,3.210,3851.271,22.690,5216,0.396
GoalBrain_4,3.281,3881.675,23.317,5221,0.397
GoalBrain_4,3.405,3912.003,22.879,5181,0.398
GoalBrain_4,3.273,3942.393,23.070,5225,0.399
GoalBrain_4,3.186,3972.258,22.846,5140,0.400
GoalBrain_4,3.476,4000.953,21.929,5150,0.398
GoalBrain_4,3.281,4031.291,23.020,5154,0.401
GoalBrain_4,3.393,4061.404,22.779,5137,0.401
GoalBrain_4,3.605,4091.705,23.050,5234,0.400
GoalBrain_4,3.192,4120.553,22.486,5160,0.400
GoalBrain_4,3.166,4149.539,22.244,5166,0.399
GoalBrain_4,3.260,4179.670,22.831,5123,0.400
GoalBrain_4,3.246,4209.096,22.335,5131,0.402
GoalBrain_4,3.237,4239.211,22.826,5133,0.402
GoalBrain_4,3.317,4269.581,23.129,5234,0.405
GoalBrain_4,3.185,4300.077,23.285,5226,0.406
GoalBrain_4,3.125,4329.159,22.228,5158,0.406
GoalBrain_4,3.194,4358.688,22.513,5229,0.408
GoalBrain_4,3.136,4388.089,22.410,5151,0.411
GoalBrain_4,3.189,4417.072,22.203,5136,0.412
GoalBrain_4,3.225,4445.503,22.093,5131,0.411
GoalBrain_4,3.406,4475.362,22.488,5138,0.411
GoalBrain_4,3.224,4506.577,23.998,5189,0.413
GoalBrain_4,3.315,4537.930,24.013,5177,0.415
GoalBrain_4,3.306,4569.155,24.148,5156,0.415
GoalBrain_4,3.096,4598.733,22.753,5178,0.416
GoalBrain_4,3.163,4627.753,22.509,5153,0.415
GoalBrain_4,3.270,4657.469,22.704,5134,0.416
GoalBrain_4,3.746,4689.079,24.067,5236,0.416
GoalBrain_4,3.263,4719.610,23.440,5225,0.417
GoalBrain_4,3.425,4750.394,23.645,5153,0.418
GoalBrain_4,3.780,4781.204,23.607,5160,0.418
GoalBrain_4,3.699,4812.420,23.949,5180,0.414
GoalBrain_4,3.589,4844.115,23.956,5172,0.415
GoalBrain_4,3.300,4876.211,24.607,5208,0.416
GoalBrain_4,3.699,4908.267,24.219,5236,0.417
GoalBrain_4,3.349,4939.996,24.200,5196,0.418
GoalBrain_4,3.477,4970.721,23.466,5173,0.418
GoalBrain_4,3.200,5000.920,23.238,5121,0.418
GoalBrain_4,3.249,5031.650,23.685,5226,0.418
GoalBrain_4,3.159,5062.400,23.511,5172,0.418
GoalBrain_4,3.253,5093.377,23.556,5181,0.419
GoalBrain_4,3.418,5124.133,23.374,5229,0.419
GoalBrain_4,3.406,5154.679,23.216,5178,0.420
GoalBrain_4,3.265,5184.974,23.361,5170,0.419
GoalBrain_4,3.278,5215.221,23.388,5189,0.418
GoalBrain_4,3.226,5244.909,22.750,5142,0.420
GoalBrain_4,3.198,5275.501,23.506,5234,0.422
GoalBrain_4,3.086,5304.756,22.533,5134,0.423
GoalBrain_4,3.088,5333.596,22.587,5147,0.422
GoalBrain_4,3.235,5364.537,23.526,5175,0.423
GoalBrain_4,3.456,5395.118,23.356,5154,0.422
GoalBrain_4,3.322,5426.814,24.270,5125,0.423
GoalBrain_4,3.308,5457.806,23.631,5205,0.424
GoalBrain_4,3.155,5487.862,23.538,5211,0.423
GoalBrain_4,3.233,5517.785,22.939,5187,0.424
GoalBrain_4,3.164,5547.740,23.099,5196,0.426
GoalBrain_4,3.270,5581.576,25.967,5159,0.427
GoalBrain_4,3.485,5612.479,23.530,5234,0.428
