Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_1,3.325,31.179,22.478,5201,-1.057
GoalBrain_4_1,3.179,60.616,22.369,5149,-1.047
GoalBrain_4_1,3.169,89.390,21.890,5139,-0.959
GoalBrain_4_1,3.186,117.704,21.416,5133,-0.870
GoalBrain_4_1,3.210,146.573,21.876,5242,-0.810
GoalBrain_4_1,3.088,175.244,21.869,5198,-0.713
GoalBrain_4_1,3.081,203.922,21.959,5193,-0.634
GoalBrain_4_1,3.200,233.097,22.155,5213,-0.503
GoalBrain_4_1,3.128,262.194,22.099,5230,-0.364
GoalBrain_4_1,3.230,291.411,21.967,5142,-0.226
GoalBrain_4_1,3.194,320.203,21.850,5175,-0.191
GoalBrain_4_1,3.098,348.846,21.831,5183,-0.126
GoalBrain_4_1,3.101,377.449,21.813,5180,-0.085
GoalBrain_4_1,3.215,406.352,21.933,5217,-0.044
GoalBrain_4_1,3.160,435.268,21.993,5228,-0.016
GoalBrain_4_1,3.121,463.918,21.806,5175,0.011
GoalBrain_4_1,3.198,492.464,21.577,5126,0.059
GoalBrain_4_1,3.156,521.139,21.897,5206,0.089
GoalBrain_4_1,3.147,549.904,21.839,5179,0.112
GoalBrain_4_1,3.338,578.948,21.736,5123,0.134
GoalBrain_4_1,3.191,607.617,21.652,5194,0.153
GoalBrain_4_1,3.143,635.665,21.217,5131,0.169
GoalBrain_4_1,3.516,666.459,23.064,5149,0.181
GoalBrain_4_1,3.582,696.998,22.744,5153,0.205
GoalBrain_4_1,3.670,727.632,22.735,5129,0.222
GoalBrain_4_1,3.563,758.463,23.162,5150,0.212
GoalBrain_4_1,3.495,789.101,23.030,5126,0.202
GoalBrain_4_1,3.565,819.764,23.282,5184,0.188
GoalBrain_4_1,3.603,850.827,23.183,5147,0.182
GoalBrain_4_1,3.571,881.826,23.231,5153,0.184
GoalBrain_4_1,3.533,912.336,22.799,5121,0.187
GoalBrain_4_1,3.569,941.738,22.665,5134,0.180
GoalBrain_4_1,3.462,972.686,23.296,5227,0.182
GoalBrain_4_1,3.431,1003.588,23.203,5211,0.185
GoalBrain_4_1,3.511,1034.233,22.996,5187,0.187
GoalBrain_4_1,3.404,1064.585,22.894,5154,0.182
GoalBrain_4_1,3.530,1095.110,22.882,5151,0.188
GoalBrain_4_1,3.417,1125.843,23.161,5189,0.198
GoalBrain_4_1,3.480,1156.458,23.056,5192,0.205
