Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,3.373,32.067,23.316,5129,-1.030
GoalBrain_4_2,3.484,62.358,22.761,5126,-1.037
GoalBrain_4_2,4.026,93.682,23.136,5139,-0.998
GoalBrain_4_2,3.363,124.125,22.883,5181,-0.942
GoalBrain_4_2,3.310,154.103,22.599,5175,-0.866
GoalBrain_4_2,3.302,183.388,22.034,5180,-0.714
GoalBrain_4_2,3.459,212.703,22.015,5135,-0.595
GoalBrain_4_2,3.634,241.997,21.812,5154,-0.478
GoalBrain_4_2,3.615,271.976,22.248,5127,-0.334
GoalBrain_4_2,3.498,301.862,22.209,5145,-0.236
GoalBrain_4_2,3.203,330.743,21.769,5134,-0.140
GoalBrain_4_2,3.195,359.137,21.486,5137,-0.070
GoalBrain_4_2,3.347,388.308,21.917,5237,-0.004
GoalBrain_4_2,3.230,417.095,21.697,5167,0.043
GoalBrain_4_2,3.211,445.815,21.702,5162,0.102
GoalBrain_4_2,3.355,474.726,21.793,5240,0.102
GoalBrain_4_2,3.276,503.396,21.596,5200,0.106
GoalBrain_4_2,3.262,531.705,21.378,5156,0.124
GoalBrain_4_2,3.414,562.126,22.818,5150,0.140
GoalBrain_4_2,3.827,593.288,22.892,5247,0.158
GoalBrain_4_2,3.212,623.598,22.937,5133,0.170
GoalBrain_4_2,3.519,653.087,22.131,5161,0.186
GoalBrain_4_2,3.602,682.532,22.037,5183,0.200
GoalBrain_4_2,3.416,712.249,22.200,5146,0.213
GoalBrain_4_2,3.569,741.774,22.172,5200,0.228
GoalBrain_4_2,3.270,770.810,21.871,5177,0.243
GoalBrain_4_2,3.219,799.064,21.349,5128,0.258
GoalBrain_4_2,3.243,827.903,21.808,5153,0.269
GoalBrain_4_2,3.249,856.708,21.540,5144,0.282
GoalBrain_4_2,3.557,885.309,21.286,5124,0.289
GoalBrain_4_2,3.509,914.242,21.572,5138,0.299
GoalBrain_4_2,3.222,942.358,21.201,5153,0.308
GoalBrain_4_2,3.246,971.432,21.892,5174,0.316
GoalBrain_4_2,3.391,1000.901,22.086,5210,0.323
GoalBrain_4_2,3.264,1029.805,21.749,5137,0.331
GoalBrain_4_2,3.294,1058.551,21.574,5152,0.339
GoalBrain_4_2,3.364,1088.921,22.842,5126,0.346
GoalBrain_4_2,3.369,1117.481,21.331,5140,0.352
GoalBrain_4_2,3.433,1147.939,22.613,5216,0.359
GoalBrain_4_2,3.219,1176.131,21.241,5142,0.364
GoalBrain_4_2,3.294,1204.680,21.414,5121,0.370
GoalBrain_4_2,3.255,1232.673,21.002,5127,0.376
GoalBrain_4_2,3.225,1261.099,21.493,5206,0.380
GoalBrain_4_2,3.481,1290.831,22.265,5201,0.386
GoalBrain_4_2,3.246,1319.856,21.844,5175,0.390
GoalBrain_4_2,3.279,1348.190,21.183,5146,0.396
GoalBrain_4_2,3.413,1377.307,21.745,5140,0.403
GoalBrain_4_2,3.426,1407.546,22.566,5155,0.395
GoalBrain_4_2,3.258,1438.100,23.103,5208,0.385
GoalBrain_4_2,3.196,1466.767,21.594,5128,0.378
GoalBrain_4_2,3.919,1496.219,21.680,5145,0.374
GoalBrain_4_2,3.596,1526.216,22.310,5149,0.371
GoalBrain_4_2,3.475,1556.395,22.593,5233,0.365
GoalBrain_4_2,3.482,1585.983,22.087,5165,0.361
GoalBrain_4_2,3.754,1617.090,23.088,5143,0.355
GoalBrain_4_2,3.755,1647.080,22.180,5157,0.350
GoalBrain_4_2,3.647,1676.586,21.917,5133,0.347
GoalBrain_4_2,3.490,1706.263,21.913,5138,0.348
GoalBrain_4_2,3.624,1735.949,22.058,5142,0.344
GoalBrain_4_2,3.435,1765.079,21.804,5145,0.342
GoalBrain_4_2,3.419,1794.456,22.078,5125,0.339
GoalBrain_4_2,3.214,1824.586,22.828,5196,0.337
GoalBrain_4_2,3.241,1852.459,20.959,5158,0.336
GoalBrain_4_2,3.229,1880.429,20.987,5169,0.336
GoalBrain_4_2,3.203,1908.981,21.616,5234,0.336
GoalBrain_4_2,3.207,1937.017,21.185,5153,0.335
GoalBrain_4_2,3.193,1965.066,21.193,5164,0.336
GoalBrain_4_2,3.256,1993.556,21.378,5169,0.336
GoalBrain_4_2,3.345,2021.543,21.097,5122,0.336
GoalBrain_4_2,3.310,2049.483,20.954,5144,0.336
GoalBrain_4_2,3.266,2077.667,21.266,5172,0.336
GoalBrain_4_2,3.318,2105.930,21.243,5176,0.336
