Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,2.866,35.442,27.845,5124,-0.949
GoalBrain_4_2,2.694,68.539,26.879,5137,-0.949
GoalBrain_4_2,3.009,101.349,26.355,5150,-0.948
GoalBrain_4_2,2.778,134.082,26.474,5141,-0.907
GoalBrain_4_2,2.943,167.057,26.519,5140,-0.882
GoalBrain_4_2,3.205,203.696,29.330,5141,-0.841
GoalBrain_4_2,4.051,241.437,29.579,5124,-0.761
GoalBrain_4_2,3.297,278.667,29.853,5132,-0.705
GoalBrain_4_2,3.206,315.261,29.484,5228,-0.634
GoalBrain_4_2,3.236,350.959,28.788,5160,-0.615
GoalBrain_4_2,3.287,387.417,29.194,5231,-0.517
GoalBrain_4_2,3.127,424.068,29.658,5188,-0.457
GoalBrain_4_2,3.337,460.617,29.370,5232,-0.399
GoalBrain_4_2,3.452,497.820,29.536,5135,-0.347
GoalBrain_4_2,3.134,535.904,30.595,5127,-0.277
GoalBrain_4_2,3.244,572.301,29.134,5154,-0.231
GoalBrain_4_2,3.050,608.596,29.316,5135,-0.178
GoalBrain_4_2,3.437,645.664,29.710,5157,-0.132
GoalBrain_4_2,3.085,682.115,29.301,5146,-0.095
GoalBrain_4_2,3.382,718.142,28.699,5190,-0.067
GoalBrain_4_2,3.074,753.897,28.974,5162,-0.048
GoalBrain_4_2,3.075,789.638,28.793,5136,-0.033
GoalBrain_4_2,3.062,825.430,28.902,5186,-0.015
GoalBrain_4_2,3.105,861.049,28.631,5149,0.003
GoalBrain_4_2,3.158,896.901,28.775,5191,0.019
GoalBrain_4_2,3.076,932.378,28.526,5125,0.032
GoalBrain_4_2,3.051,967.855,28.596,5134,0.047
GoalBrain_4_2,3.027,1002.958,28.385,5135,0.051
GoalBrain_4_2,3.084,1038.573,28.460,5132,0.072
GoalBrain_4_2,3.107,1073.738,28.355,5148,0.085
GoalBrain_4_2,3.103,1109.209,28.606,5165,0.099
GoalBrain_4_2,3.166,1144.382,28.254,5177,0.099
GoalBrain_4_2,3.109,1179.627,28.451,5196,0.107
GoalBrain_4_2,3.119,1215.347,28.751,5169,0.117
GoalBrain_4_2,3.101,1250.386,28.347,5158,0.123
GoalBrain_4_2,3.103,1286.013,28.633,5150,0.140
GoalBrain_4_2,3.053,1321.616,28.722,5191,0.155
GoalBrain_4_2,3.055,1357.209,28.792,5223,0.158
GoalBrain_4_2,3.433,1393.766,29.198,5139,0.163
GoalBrain_4_2,3.090,1429.608,28.923,5134,0.178
GoalBrain_4_2,3.296,1465.942,29.262,5157,0.185
GoalBrain_4_2,3.168,1502.341,29.502,5149,0.186
GoalBrain_4_2,3.290,1539.140,29.527,5173,0.189
GoalBrain_4_2,3.326,1575.889,29.426,5122,0.193
GoalBrain_4_2,3.430,1613.877,30.329,5156,0.197
GoalBrain_4_2,3.212,1652.595,31.168,5215,0.185
GoalBrain_4_2,3.689,1690.586,30.115,5124,0.189
GoalBrain_4_2,3.480,1730.653,31.786,5235,0.191
GoalBrain_4_2,3.186,1768.157,30.264,5128,0.188
GoalBrain_4_2,3.598,1804.387,28.692,5121,0.190
GoalBrain_4_2,3.587,1844.154,31.683,5202,0.192
GoalBrain_4_2,3.266,1882.769,31.168,5130,0.193
GoalBrain_4_2,3.259,1920.909,30.547,5198,0.194
GoalBrain_4_2,3.092,1956.749,28.900,5128,0.194
GoalBrain_4_2,3.519,1994.724,30.207,5181,0.195
GoalBrain_4_2,3.607,2032.538,30.055,5176,0.194
GoalBrain_4_2,3.084,2071.476,31.513,5170,0.195
GoalBrain_4_2,3.208,2108.014,29.255,5180,0.199
GoalBrain_4_2,3.382,2146.865,31.263,5196,0.201
GoalBrain_4_2,3.155,2183.829,29.792,5142,0.201
GoalBrain_4_2,3.360,2221.407,30.338,5160,0.204
GoalBrain_4_2,3.532,2258.396,29.455,5146,0.213
GoalBrain_4_2,3.130,2295.842,30.289,5145,0.217
GoalBrain_4_2,3.187,2333.101,30.026,5153,0.223
GoalBrain_4_2,3.464,2371.679,30.907,5207,0.229
GoalBrain_4_2,3.350,2409.390,30.237,5135,0.235
GoalBrain_4_2,3.580,2447.592,30.085,5197,0.238
GoalBrain_4_2,3.393,2485.858,30.602,5172,0.242
GoalBrain_4_2,3.209,2522.904,29.806,5157,0.244
GoalBrain_4_2,3.285,2559.917,29.687,5139,0.243
GoalBrain_4_2,3.268,2596.109,28.952,5154,0.246
GoalBrain_4_2,3.245,2632.026,28.889,5129,0.247
GoalBrain_4_2,3.112,2668.016,28.958,5156,0.249
GoalBrain_4_2,3.105,2704.085,29.017,5141,0.253
GoalBrain_4_2,3.106,2739.738,28.780,5137,0.252
GoalBrain_4_2,3.348,2775.985,28.977,5143,0.255
GoalBrain_4_2,3.217,2812.914,29.597,5211,0.257
GoalBrain_4_2,3.069,2849.031,29.160,5195,0.258
GoalBrain_4_2,3.133,2885.324,29.278,5145,0.260
GoalBrain_4_2,3.097,2921.756,29.452,5136,0.265
GoalBrain_4_2,3.134,2957.803,29.041,5137,0.265
GoalBrain_4_2,3.208,2994.449,29.531,5237,0.268
GoalBrain_4_2,3.426,3032.323,30.288,5175,0.269
GoalBrain_4_2,3.268,3069.511,29.755,5150,0.269
GoalBrain_4_2,3.170,3105.407,28.979,5160,0.272
GoalBrain_4_2,3.183,3141.678,29.208,5128,0.272
GoalBrain_4_2,3.274,3179.091,29.847,5191,0.275
GoalBrain_4_2,3.245,3215.460,29.308,5124,0.277
GoalBrain_4_2,3.176,3251.143,29.113,5179,0.277
