Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4_2,15.573,45.610,25.242,2564,-1.021
GoalBrain_4_2,15.358,89.309,25.896,2565,-1.028
GoalBrain_4_2,15.757,134.495,26.878,2562,-1.023
GoalBrain_4_2,15.743,178.087,25.385,2565,-1.022
GoalBrain_4_2,15.532,220.411,24.503,2615,-1.027
GoalBrain_4_2,15.615,263.500,25.191,2600,-1.030
GoalBrain_4_2,15.751,306.439,24.904,2561,-1.029
GoalBrain_4_2,16.035,348.735,23.983,2563,-1.030
GoalBrain_4_2,15.893,391.881,25.026,2562,-1.031
GoalBrain_4_2,15.953,434.670,24.492,2561,-1.033
GoalBrain_4_2,16.032,478.901,25.841,2620,-1.034
GoalBrain_4_2,15.946,521.397,24.363,2561,-1.030
GoalBrain_4_2,16.052,564.988,25.316,2577,-1.033
GoalBrain_4_2,15.897,607.525,24.433,2577,-1.033
GoalBrain_4_2,16.051,650.191,24.405,2618,-1.035
GoalBrain_4_2,15.848,693.818,25.477,2601,-1.034
GoalBrain_4_2,15.869,737.541,25.638,2601,-1.028
GoalBrain_4_2,16.219,781.204,25.180,2596,-1.021
GoalBrain_4_2,16.223,826.639,26.307,2612,-1.023
GoalBrain_4_2,15.729,869.360,24.724,2621,-1.020
GoalBrain_4_2,16.350,912.711,24.851,2597,-1.016
GoalBrain_4_2,16.757,956.901,25.132,2589,-1.013
GoalBrain_4_2,16.023,1001.361,25.991,2570,-1.002
GoalBrain_4_2,16.000,1045.184,25.431,2618,-0.999
GoalBrain_4_2,15.821,1089.446,25.967,2589,-0.995
GoalBrain_4_2,15.896,1132.255,24.845,2570,-0.986
GoalBrain_4_2,15.855,1175.415,25.080,2591,-0.985
GoalBrain_4_2,16.115,1218.484,24.727,2567,-0.976
GoalBrain_4_2,16.164,1261.355,24.518,2587,-0.967
GoalBrain_4_2,15.971,1305.410,25.681,2614,-0.958
GoalBrain_4_2,16.207,1349.605,25.640,2571,-0.943
GoalBrain_4_2,16.012,1391.952,24.063,2573,-0.939
GoalBrain_4_2,16.219,1435.754,25.228,2563,-0.929
GoalBrain_4_2,19.755,1482.711,24.903,2589,-0.915
GoalBrain_4_2,15.506,1525.731,25.246,2582,-0.916
GoalBrain_4_2,15.709,1568.765,25.042,2577,-0.903
GoalBrain_4_2,15.894,1611.894,25.014,2614,-0.895
GoalBrain_4_2,16.848,1656.449,25.424,2566,-0.884
GoalBrain_4_2,16.724,1703.213,26.940,2613,-0.869
GoalBrain_4_2,16.690,1747.952,25.683,2561,-0.855
GoalBrain_4_2,16.807,1793.484,26.350,2618,-0.844
GoalBrain_4_2,17.877,1839.767,26.062,2604,-0.844
GoalBrain_4_2,17.924,1887.157,26.888,2573,-0.819
GoalBrain_4_2,17.384,1933.557,26.614,2580,-0.806
GoalBrain_4_2,16.414,1979.530,27.012,2579,-0.785
GoalBrain_4_2,15.978,2023.749,26.032,2609,-0.775
GoalBrain_4_2,17.177,2068.226,25.209,2564,-0.770
GoalBrain_4_2,17.442,2115.808,27.621,2597,-0.754
GoalBrain_4_2,15.673,2158.638,24.880,2589,-0.745
GoalBrain_4_2,15.732,2200.724,24.151,2562,-0.730
GoalBrain_4_2,16.903,2245.630,25.611,2579,-0.713
GoalBrain_4_2,17.286,2290.631,25.426,2591,-0.699
GoalBrain_4_2,18.397,2339.469,27.810,2612,-0.665
GoalBrain_4_2,17.765,2385.915,26.292,2603,-0.643
GoalBrain_4_2,16.925,2430.645,25.430,2593,-0.626
GoalBrain_4_2,15.930,2474.791,25.787,2565,-0.615
GoalBrain_4_2,17.080,2520.975,26.620,2596,-0.598
GoalBrain_4_2,17.014,2567.250,26.400,2563,-0.586
GoalBrain_4_2,17.140,2612.829,26.049,2566,-0.568
GoalBrain_4_2,17.830,2658.874,25.920,2566,-0.555
GoalBrain_4_2,16.024,2702.548,25.339,2574,-0.536
GoalBrain_4_2,17.208,2747.867,26.160,2612,-0.535
GoalBrain_4_2,17.928,2793.678,25.587,2586,-0.525
GoalBrain_4_2,16.503,2836.629,24.147,2579,-0.511
GoalBrain_4_2,15.625,2880.956,26.223,2619,-0.491
GoalBrain_4_2,15.902,2924.179,24.970,2623,-0.476
GoalBrain_4_2,15.823,2967.803,25.535,2593,-0.466
GoalBrain_4_2,17.661,3014.889,26.904,2592,-0.441
GoalBrain_4_2,17.926,3061.264,26.163,2577,-0.427
GoalBrain_4_2,17.134,3107.510,26.702,2624,-0.413
GoalBrain_4_2,16.192,3152.478,26.304,2585,-0.395
GoalBrain_4_2,16.818,3197.388,25.783,2612,-0.380
GoalBrain_4_2,21.260,3249.221,27.980,2566,-0.374
GoalBrain_4_2,16.187,3296.492,28.415,2624,-0.365
GoalBrain_4_2,17.446,3343.931,27.483,2593,-0.357
GoalBrain_4_2,15.640,3388.178,26.193,2582,-0.347
GoalBrain_4_2,16.578,3433.348,25.782,2615,-0.338
GoalBrain_4_2,17.054,3480.076,27.177,2592,-0.326
GoalBrain_4_2,15.472,3524.132,26.221,2572,-0.317
GoalBrain_4_2,17.055,3569.449,25.907,2583,-0.305
GoalBrain_4_2,17.025,3615.823,26.845,2598,-0.294
GoalBrain_4_2,16.199,3660.897,26.452,2609,-0.288
GoalBrain_4_2,16.005,3704.388,25.320,2588,-0.286
GoalBrain_4_2,17.011,3749.170,25.465,2605,-0.270
GoalBrain_4_2,15.470,3793.834,26.762,2602,-0.259
GoalBrain_4_2,17.078,3839.377,26.041,2611,-0.249
GoalBrain_4_2,17.061,3885.047,26.201,2584,-0.240
GoalBrain_4_2,15.691,3929.169,26.047,2571,-0.230
GoalBrain_4_2,15.853,3972.075,24.807,2571,-0.224
GoalBrain_4_2,19.478,4020.234,26.376,2595,-0.214
