Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
GoalBrain_4,1.788,30.545,23.254,5134,-0.939
GoalBrain_4,1.595,57.377,21.520,5122,-0.980
GoalBrain_4,1.593,84.235,21.487,5188,-0.987
GoalBrain_4,1.550,111.495,21.930,5230,-0.928
GoalBrain_4,1.576,138.057,21.338,5176,-0.849
GoalBrain_4,1.522,164.561,21.448,5168,-0.807
GoalBrain_4,1.542,191.521,21.775,5154,-0.733
GoalBrain_4,1.668,218.973,22.066,5203,-0.653
GoalBrain_4,1.590,245.167,21.809,5160,-0.653
GoalBrain_4,1.668,272.863,22.769,5160,-0.653
GoalBrain_4,1.585,299.768,22.280,5167,-0.708
GoalBrain_4,1.591,327.039,22.069,5248,-0.637
GoalBrain_4,1.522,353.779,21.625,5180,-0.630
GoalBrain_4,1.551,379.635,21.210,5127,-0.623
GoalBrain_4,1.587,405.414,21.402,5160,-0.623
GoalBrain_4,1.560,431.660,21.529,5238,-0.649
GoalBrain_4,1.528,457.307,21.376,5160,-0.649
GoalBrain_4,1.667,484.148,21.935,5157,-0.658
GoalBrain_4,1.548,510.419,21.808,5227,-0.681
GoalBrain_4,1.564,536.942,21.793,5161,-0.688
GoalBrain_4,1.522,563.700,21.705,5136,-0.584
GoalBrain_4,1.524,589.844,21.472,5141,-0.506
GoalBrain_4,1.496,615.778,21.647,5160,-0.506
GoalBrain_4,1.509,641.465,21.459,5160,-0.506
GoalBrain_4,1.566,667.185,21.430,5160,-0.506
GoalBrain_4,1.523,692.609,21.213,5160,-0.506
GoalBrain_4,1.547,719.085,21.421,5213,-0.513
GoalBrain_4,1.548,745.414,21.342,5160,-0.428
GoalBrain_4,1.533,772.294,22.012,5249,-0.423
GoalBrain_4,1.534,798.033,21.247,5160,-0.423
GoalBrain_4,1.569,823.730,21.379,5160,-0.423
GoalBrain_4,1.531,849.021,21.090,5160,-0.423
GoalBrain_4,1.536,874.905,21.337,5192,-0.461
GoalBrain_4,1.529,900.630,21.022,5132,-0.453
GoalBrain_4,1.551,925.808,20.958,5160,-0.453
GoalBrain_4,1.525,951.693,21.224,5202,-0.456
GoalBrain_4,1.559,977.296,21.026,5180,-0.442
GoalBrain_4,1.508,1003.583,21.330,5172,-0.391
